kolumna,status,powod,non_null,dtype
curve_t0_event_ts_ms,rejected,absolute_or_event_timestamp,1708,int64
end_10s_ts_ms,rejected,absolute_or_event_timestamp,1708,int64
eval_count,rejected,blocked_pattern:eval,1708,int64
pdd_hard_fail_evaluated,rejected,blocked_pattern:eval,1708,bool
total_tx_evaluated,rejected,blocked_pattern:eval,1708,int64
unique_signers_evaluated,rejected,blocked_pattern:eval,1708,int64
unique_tx_evaluated,rejected,blocked_pattern:eval,1708,int64
curve_finality,rejected,blocked_pattern:final,1708,str
curve_finality_is_finalized,rejected,blocked_pattern:final,1708,bool
finalize_lag_ms,rejected,blocked_pattern:final,1708,int64
static_fee_profile_ratio,rejected,blocked_pattern:profile,487,float64
delta_net_quote_sol_1s_to_2s,rejected,blocked_pattern:quote,1593,float64
delta_net_quote_sol_1s_to_3s,rejected,blocked_pattern:quote,1571,float64
delta_net_quote_sol_2s_to_3s,rejected,blocked_pattern:quote,1571,float64
net_quote_in_15s,rejected,blocked_pattern:quote,1708,float64
net_quote_in_30s,rejected,blocked_pattern:quote,1708,float64
rate_net_quote_sol_per_s_1s_to_2s,rejected,blocked_pattern:quote,1593,float64
rate_net_quote_sol_per_s_1s_to_3s,rejected,blocked_pattern:quote,1571,float64
rollout_namespace,rejected,blocked_pattern:rollout,1708,str
early_slot_volume_dominance_buy,rejected,blocked_pattern:slot,1705,float64
timestamp,rejected,blocked_pattern:timestamp,1708,str
top1_wallet_share,rejected,blocked_pattern:wall,1275,float64
ab_fail_count_window,rejected,blocked_prefix,1708,int64
aps_regime,rejected,blocked_prefix,1708,str
aps_shadow_branch1_sniped,rejected,blocked_prefix,1708,float64
aps_shadow_branch3_hhi,rejected,blocked_prefix,1708,float64
aps_shadow_confidence_min,rejected,blocked_prefix,1708,float64
aps_shadow_entry_drift_max,rejected,blocked_prefix,1708,float64
aps_shadow_prosperity_mcap,rejected,blocked_prefix,1708,float64
aps_shadow_prosperity_would_pass,rejected,blocked_prefix,1708,bool
aps_shadow_thresholds,rejected,blocked_prefix,1708,str
curve_t0_clock_source,rejected,blocked_prefix,1708,str
gatekeeper_first_kill_gate,rejected,blocked_prefix,573,str
gatekeeper_first_kill_reason,rejected,blocked_prefix,573,str
gatekeeper_terminal_gate,rejected,blocked_prefix,1708,str
gatekeeper_v2_replay_missing_fields,rejected,blocked_prefix,44,object
gatekeeper_version,rejected,blocked_prefix,1708,str
legacy_soft_flags,rejected,blocked_prefix,1708,str
legacy_soft_points,rejected,blocked_prefix,1708,int64
legacy_soft_threshold,rejected,blocked_prefix,1708,int64
max_avg_inner_ix_count_50tx,rejected,blocked_prefix,1708,float64
max_avg_interval_ms,rejected,blocked_prefix,1708,float64
max_avg_tx_sol,rejected,blocked_prefix,1708,float64
max_bonding_progress_pct,rejected,blocked_prefix,1708,float64
max_burst_ratio,rejected,blocked_prefix,1708,float64
max_buy_ratio,rejected,blocked_prefix,1708,float64
max_compute_unit_cluster_dominance,rejected,blocked_prefix,1708,float64
max_dev_buy_sol,rejected,blocked_prefix,1708,float64
max_dev_buyer_infrastructure_affinity,rejected,blocked_prefix,1708,float64
max_dev_tx_ratio,rejected,blocked_prefix,1708,float64
max_dev_volume_ratio,rejected,blocked_prefix,1708,float64
max_early_slot_volume_dominance_buy,rejected,blocked_prefix,1708,float64
max_early_top3_buy_volume_pct_3s,rejected,blocked_prefix,1708,float64
max_funding_source_concentration,rejected,blocked_prefix,1708,float64
max_hhi,rejected,blocked_prefix,1708,float64
max_interval_cv,rejected,blocked_prefix,1708,float64
max_jito_tip_intensity,rejected,blocked_prefix,1708,float64
max_price_change_ratio,rejected,blocked_prefix,1708,float64
max_same_ms_tx_ratio,rejected,blocked_prefix,1708,float64
max_sell_buy_ratio,rejected,blocked_prefix,1708,float64
max_signer_cross_pool_velocity,rejected,blocked_prefix,1708,float64
max_single_sell_impact_pct,rejected,blocked_prefix,1708,float64
max_single_tx_price_impact_pct,rejected,blocked_prefix,1708,float64
max_soft_points,rejected,blocked_prefix,1708,int64
max_soft_score,rejected,blocked_prefix,1708,int64
max_sol_buy_ratio,rejected,blocked_prefix,1708,float64
max_static_fee_profile_ratio,rejected,blocked_prefix,1708,float64
max_timing_entropy,rejected,blocked_prefix,1708,float64
