family,name,rule,source,runtime_input
template,T1_BREAKOUT_RETEST_RECLAIM,impulse + controlled pullback + reclaim + concentration not worsening,PR-RCE-A0 predeclared,False
template,T2_STAIRSTEP_CONTINUATION,higher_low_count>=2 + dwell above levels + MAE guard,PR-RCE-A0 predeclared,False
template,T3_HOT_SESSION_RECLAIM_WITH_TOXICITY_DECAY,hot session rate + reclaim + toxicity decay + concentration guard,PR-RCE-A0 predeclared,False
exit_grid,target_bps,600,fixed,False
exit_grid,target_bps,900,fixed,False
exit_grid,target_bps,1200,fixed,False
exit_grid,stop_bps,-250,fixed,False
exit_grid,stop_bps,-400,fixed,False
exit_grid,stop_bps,-600,fixed,False
exit_grid,max_hold_ms,10000,fixed,False
exit_grid,max_hold_ms,20000,fixed,False
exit_grid,max_hold_ms,30000,fixed,False
forbidden,final_pnl,not_used,leakage_guard,False
forbidden,target,not_used,leakage_guard,False
forbidden,stop,not_used,leakage_guard,False
forbidden,timeout,not_used,leakage_guard,False
forbidden,path_after_decision_horizon,not_used,leakage_guard,False
forbidden,pool_id_as_feature,not_used,leakage_guard,False
forbidden,mint_as_feature,not_used,leakage_guard,False
forbidden,signer_id_as_feature,not_used,leakage_guard,False
