fixture,variant,target_bps,stop_bps,max_hold_ms,result,pnl_bps,exit_age_ms,source,tie,timeout_class,pass,notes
target_before_stop,stop_first_on_equal_timestamp,1000,-500,10000,TARGET,1000,1000,exact_levels,False,,True,synthetic_contract_fixture
target_before_stop,target_first_on_equal_timestamp,1000,-500,10000,TARGET,1000,1000,exact_levels,False,,True,synthetic_contract_fixture
target_before_stop,ambiguous_tie_excluded,1000,-500,10000,TARGET,1000,1000,exact_levels,False,,True,synthetic_contract_fixture
target_before_stop,path_approx_fallback_only,1000,-500,10000,TARGET,1000,1000,path_approx,False,,True,synthetic_contract_fixture
target_before_stop,exact_levels_only,1000,-500,10000,TARGET,1000,1000,exact_levels,False,,True,synthetic_contract_fixture
stop_before_target,stop_first_on_equal_timestamp,1000,-500,10000,STOP,-500,1000,exact_levels,False,,True,synthetic_contract_fixture
stop_before_target,target_first_on_equal_timestamp,1000,-500,10000,STOP,-500,1000,exact_levels,False,,True,synthetic_contract_fixture
stop_before_target,ambiguous_tie_excluded,1000,-500,10000,STOP,-500,1000,exact_levels,False,,True,synthetic_contract_fixture
stop_before_target,path_approx_fallback_only,1000,-500,10000,STOP,-500,1000,path_approx,False,,True,synthetic_contract_fixture
stop_before_target,exact_levels_only,1000,-500,10000,STOP,-500,1000,exact_levels,False,,True,synthetic_contract_fixture
target_and_stop_same_timestamp,stop_first_on_equal_timestamp,1000,-500,10000,STOP,-500,1000,exact_levels,True,,True,synthetic_contract_fixture
target_and_stop_same_timestamp,target_first_on_equal_timestamp,1000,-500,10000,TARGET,1000,1000,exact_levels,True,,True,synthetic_contract_fixture
target_and_stop_same_timestamp,ambiguous_tie_excluded,1000,-500,10000,AMBIGUOUS_TIE_EXCLUDED,,1000,exact_levels,True,,True,synthetic_contract_fixture
target_and_stop_same_timestamp,path_approx_fallback_only,1000,-500,10000,TARGET,1000,1000,path_approx,True,,True,synthetic_contract_fixture
target_and_stop_same_timestamp,exact_levels_only,1000,-500,10000,TARGET,1000,1000,exact_levels,True,,True,synthetic_contract_fixture
sparse_path_timeout,stop_first_on_equal_timestamp,1000,-500,10000,TIMEOUT,100,9000,path_approx,False,positive_timeout,True,synthetic_contract_fixture
sparse_path_timeout,target_first_on_equal_timestamp,1000,-500,10000,TIMEOUT,100,9000,path_approx,False,positive_timeout,True,synthetic_contract_fixture
sparse_path_timeout,ambiguous_tie_excluded,1000,-500,10000,TIMEOUT,100,9000,path_approx,False,positive_timeout,True,synthetic_contract_fixture
sparse_path_timeout,path_approx_fallback_only,1000,-500,10000,TIMEOUT,100,9000,path_approx,False,positive_timeout,True,synthetic_contract_fixture
sparse_path_timeout,exact_levels_only,1000,-500,10000,NOT_EVALUABLE,,,exact_levels_missing,False,,True,synthetic_contract_fixture
no_path_point_before_max_hold,stop_first_on_equal_timestamp,1000,-500,10000,TIMEOUT,100,60000,path_approx,False,positive_timeout,True,synthetic_contract_fixture
no_path_point_before_max_hold,target_first_on_equal_timestamp,1000,-500,10000,TIMEOUT,100,60000,path_approx,False,positive_timeout,True,synthetic_contract_fixture
