anchor,guard_name,early_horizon_ms,r49_scope_pass,r50_scope_pass,fixed_pair_passing_both,r49_action_precision,r50_action_precision,r49_paired_delta_sum_bps,r50_paired_delta_sum_bps,r49_target_cut_damage_ratio,r50_target_cut_damage_ratio,r49_cost100_improvement_vs_anchor_bps,r50_cost100_improvement_vs_anchor_bps
M0_ALL / 6000 / -6000 / 120000,G0_NONE,10000,False,False,False,0.7295158286778398,0.7597701149425288,426059,571588,0.40633133215612643,0.3766901769759775,0,0
M0_ALL / 6000 / -6000 / 120000,G0_NONE,20000,False,False,False,0.7295158286778398,0.7597701149425288,426059,571588,0.40633133215612643,0.3766901769759775,0,0
M0_ALL / 6000 / -6000 / 120000,G0_NONE,30000,False,False,False,0.7295158286778398,0.7597701149425288,426059,571588,0.40633133215612643,0.3766901769759775,0,0
M0_ALL / 6000 / -6000 / 120000,G0_NONE,45000,False,False,False,0.7295158286778398,0.7597701149425288,426059,571588,0.40633133215612643,0.3766901769759775,0,0
M0_ALL / 6000 / -6000 / 120000,G1_STEADY_EARLY_STRENGTH,10000,False,False,False,0.7479338842975206,0.777218376337319,339326,507573,0.36177229923283244,0.32588365331475116,-86733,-64015
M0_ALL / 6000 / -6000 / 120000,G1_STEADY_EARLY_STRENGTH,20000,False,False,False,0.7510309278350515,0.7740717432347388,347045,441529,0.37728883132186986,0.35696401050910576,-79014,-130059
M0_ALL / 6000 / -6000 / 120000,G1_STEADY_EARLY_STRENGTH,30000,False,False,False,0.7526936890713186,0.7747183979974969,365277,464614,0.3741746016761882,0.34996769179016524,-60782,-106974
M0_ALL / 6000 / -6000 / 120000,G1_STEADY_EARLY_STRENGTH,45000,False,False,False,0.7521761392729135,0.7741734248284466,354310,470308,0.37549570829844214,0.3480463967729565,-71749,-101280
M0_ALL / 6000 / -6000 / 120000,G2_RECOVERY_AFTER_EARLY_DRAWDOWN,10000,False,False,False,0.7350993377483444,0.7636786961583236,462473,589601,0.3843700486843148,0.36022394335675134,36414,18013
M0_ALL / 6000 / -6000 / 120000,G2_RECOVERY_AFTER_EARLY_DRAWDOWN,20000,False,False,False,0.736441484300666,0.7671554252199414,458396,606076,0.3889460050423756,0.36104839592504256,32337,34488
M0_ALL / 6000 / -6000 / 120000,G2_RECOVERY_AFTER_EARLY_DRAWDOWN,30000,False,False,False,0.7347908745247148,0.7692307692307693,422175,618514,0.39849603528733707,0.35936488817393464,-3884,46926
M0_ALL / 6000 / -6000 / 120000,G2_RECOVERY_AFTER_EARLY_DRAWDOWN,45000,False,False,False,0.7345679012345679,0.7698646262507357,428577,614998,0.3975801510478225,0.3612096785969831,2518,43410
M0_ALL / 6000 / -6000 / 120000,G3_LOW_VOL_CONTINUATION,10000,False,False,False,0.7326024785510009,0.7641843971631206,399945,530332,0.4148053017835389,0.37501658494073414,-26114,-41256
M0_ALL / 6000 / -6000 / 120000,G3_LOW_VOL_CONTINUATION,20000,False,False,False,0.7329192546583851,0.7620730270906949,379947,514040,0.42057938124823346,0.3824591949892973,-46112,-57548
M0_ALL / 6000 / -6000 / 120000,G3_LOW_VOL_CONTINUATION,30000,False,False,False,0.7325692454632283,0.7620730270906949,378774,514040,0.42057938124823346,0.3824591949892973,-47285,-57548
M0_ALL / 6000 / -6000 / 120000,G3_LOW_VOL_CONTINUATION,45000,False,False,False,0.7325692454632283,0.7620730270906949,378774,514040,0.42057938124823346,0.3824591949892973,-47285,-57548
M0_ALL / 6000 / -6000 / 120000,G4_DELAYED_DECISION_4000,10000,False,False,False,0.72678916827853,0.7584134615384616,413612,472643,0.3859596952727072,0.38046521031217395,-12447,-98945
M0_ALL / 6000 / -6000 / 120000,G4_DELAYED_DECISION_4000,20000,False,False,False,0.72678916827853,0.7584134615384616,413612,472643,0.3859596952727072,0.38046521031217395,-12447,-98945
M0_ALL / 6000 / -6000 / 120000,G4_DELAYED_DECISION_4000,30000,False,False,False,0.72678916827853,0.7584134615384616,413612,472643,0.3859596952727072,0.38046521031217395,-12447,-98945
M0_ALL / 6000 / -6000 / 120000,G4_DELAYED_DECISION_4000,45000,False,False,False,0.72678916827853,0.7584134615384616,413612,472643,0.3859596952727072,0.38046521031217395,-12447,-98945
M0_ALL / 6000 / -6000 / 120000,G5_DELAYED_DECISION_8000,10000,False,False,False,0.7205808713069605,0.7528373266078184,411949,410276,0.36479864078554014,0.38064656965967697,-14110,-161312
M0_ALL / 6000 / -6000 / 120000,G5_DELAYED_DECISION_8000,20000,False,False,False,0.7205808713069605,0.7528373266078184,411949,410276,0.36479864078554014,0.38064656965967697,-14110,-161312
M0_ALL / 6000 / -6000 / 120000,G5_DELAYED_DECISION_8000,30000,False,False,False,0.7205808713069605,0.7528373266078184,411949,410276,0.36479864078554014,0.38064656965967697,-14110,-161312
M0_ALL / 6000 / -6000 / 120000,G5_DELAYED_DECISION_8000,45000,False,False,False,0.7205808713069605,0.7528373266078184,411949,410276,0.36479864078554014,0.38064656965967697,-14110,-161312
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G0_NONE,10000,False,False,False,0.7351377477042049,0.7645296584781306,442815,439644,0.22391198215115862,0.3295397323051803,0,0
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G0_NONE,20000,False,False,False,0.7351377477042049,0.7645296584781306,442815,439644,0.22391198215115862,0.3295397323051803,0,0
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G0_NONE,30000,False,False,False,0.7351377477042049,0.7645296584781306,442815,439644,0.22391198215115862,0.3295397323051803,0,0
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G0_NONE,45000,False,False,False,0.7351377477042049,0.7645296584781306,442815,439644,0.22391198215115862,0.3295397323051803,0,0
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G1_STEADY_EARLY_STRENGTH,10000,False,False,False,0.7522788203753351,0.7775590551181102,372147,376576,0.190231766400419,0.30726699479717906,-70668,-63068
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G1_STEADY_EARLY_STRENGTH,20000,False,False,False,0.759349593495935,0.7763769077637691,382272,322851,0.19316219026619558,0.31713311605195577,-60543,-116793
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G1_STEADY_EARLY_STRENGTH,30000,False,False,False,0.7603885590933621,0.7765326301911668,406214,336420,0.18974226553402365,0.32036690454768346,-36601,-103224
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G1_STEADY_EARLY_STRENGTH,45000,False,False,False,0.7603661820140011,0.7772667542706965,400461,351870,0.190378481881156,0.3097488763801727,-42354,-87774
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G2_RECOVERY_AFTER_EARLY_DRAWDOWN,10000,False,False,False,0.7398134511536574,0.7662416514875531,477221,460297,0.20868474367971557,0.3073866116090912,34406,20653
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G2_RECOVERY_AFTER_EARLY_DRAWDOWN,20000,False,False,False,0.7432296890672017,0.7741336633663366,458689,478572,0.18833399033900286,0.2881101881092459,15874,38928
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G2_RECOVERY_AFTER_EARLY_DRAWDOWN,30000,False,False,False,0.742728184553661,0.7737135771853689,428432,467216,0.1977564016965983,0.29633931309971495,-14383,27572
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G2_RECOVERY_AFTER_EARLY_DRAWDOWN,45000,False,False,False,0.7436154231347021,0.7732919254658385,442203,442601,0.19221826533274494,0.31288960092148455,-612,2957
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G3_LOW_VOL_CONTINUATION,10000,False,False,False,0.7379891035165924,0.7689463955637708,414754,440498,0.22654164989661588,0.32499271054321177,-28061,854
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G3_LOW_VOL_CONTINUATION,20000,False,False,False,0.7415506958250497,0.7659963436928702,424867,412873,0.22823402745832147,0.3334705718950543,-17948,-26771
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G3_LOW_VOL_CONTINUATION,30000,False,False,False,0.7411823149528067,0.7655298416565165,424012,410320,0.22823402745832147,0.3334705718950543,-18803,-29324
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G3_LOW_VOL_CONTINUATION,45000,False,False,False,0.7411823149528067,0.7655298416565165,424012,410320,0.22823402745832147,0.3334705718950543,-18803,-29324
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G4_DELAYED_DECISION_4000,10000,False,False,False,0.7294058911632552,0.759748427672956,443988,382535,0.20296714653779532,0.3321620632915329,1173,-57109
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G4_DELAYED_DECISION_4000,20000,False,False,False,0.7294058911632552,0.759748427672956,443988,382535,0.20296714653779532,0.3321620632915329,1173,-57109
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G4_DELAYED_DECISION_4000,30000,False,False,False,0.7294058911632552,0.759748427672956,443988,382535,0.20296714653779532,0.3321620632915329,1173,-57109
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G4_DELAYED_DECISION_4000,45000,False,False,False,0.7294058911632552,0.759748427672956,443988,382535,0.20296714653779532,0.3321620632915329,1173,-57109
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G5_DELAYED_DECISION_8000,10000,False,False,False,0.7216174183514774,0.7475214805023133,371123,333349,0.20028438721826813,0.327702721370355,-71692,-106295
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G5_DELAYED_DECISION_8000,20000,False,False,False,0.7216174183514774,0.7475214805023133,371123,333349,0.20028438721826813,0.327702721370355,-71692,-106295
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G5_DELAYED_DECISION_8000,30000,False,False,False,0.7216174183514774,0.7475214805023133,371123,333349,0.20028438721826813,0.327702721370355,-71692,-106295
M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G5_DELAYED_DECISION_8000,45000,False,False,False,0.7216174183514774,0.7475214805023133,371123,333349,0.20028438721826813,0.327702721370355,-71692,-106295
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G0_NONE,10000,False,False,False,0.6524459613196815,0.7136986301369863,67513,498371,0.21134851617433772,0.12227115724957699,0,0
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G0_NONE,20000,False,False,False,0.6524459613196815,0.7136986301369863,67513,498371,0.21134851617433772,0.12227115724957699,0,0
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G0_NONE,30000,False,False,False,0.6524459613196815,0.7136986301369863,67513,498371,0.21134851617433772,0.12227115724957699,0,0
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G0_NONE,45000,False,False,False,0.6524459613196815,0.7136986301369863,67513,498371,0.21134851617433772,0.12227115724957699,0,0
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G1_STEADY_EARLY_STRENGTH,10000,False,False,False,0.6703155183515775,0.731614859742229,75038,466385,0.16251828909216634,0.09111126284882896,7525,-31986
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G1_STEADY_EARLY_STRENGTH,20000,False,False,False,0.6698717948717948,0.7270659590598939,52336,407922,0.18704051322686305,0.10738651520600659,-15177,-90449
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G1_STEADY_EARLY_STRENGTH,30000,False,False,False,0.6713375796178344,0.7275471698113207,60300,430995,0.182909875210555,0.10473068695182311,-7213,-67376
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G1_STEADY_EARLY_STRENGTH,45000,False,False,False,0.6713286713286714,0.7276147479307751,53307,431976,0.18406770402216768,0.10462214141261093,-14206,-66395
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G2_RECOVERY_AFTER_EARLY_DRAWDOWN,10000,False,False,False,0.6562318840579711,0.7159722222222222,96335,512245,0.19282218625184663,0.1144943996069102,28822,13874
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G2_RECOVERY_AFTER_EARLY_DRAWDOWN,20000,False,False,False,0.6569428238039673,0.7178770949720671,91881,492284,0.20366720806651287,0.12437510213620621,24368,-6087
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G2_RECOVERY_AFTER_EARLY_DRAWDOWN,30000,False,False,False,0.6569598136284217,0.7173761339846476,89769,489789,0.20271023963646098,0.12453189039307572,22256,-8582
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G2_RECOVERY_AFTER_EARLY_DRAWDOWN,45000,False,False,False,0.6565950029052876,0.7180739706908583,92565,493295,0.20191448900664516,0.1243426559729043,25052,-5076
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G3_LOW_VOL_CONTINUATION,10000,False,False,False,0.6540035067212157,0.7171145685997171,51369,447430,0.21870835778644665,0.12282032690203563,-16144,-50941
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G3_LOW_VOL_CONTINUATION,20000,False,False,False,0.6578793204452256,0.7159971811134602,59102,440677,0.2181347252839953,0.12303785413856043,-8411,-57694
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G3_LOW_VOL_CONTINUATION,30000,False,False,False,0.6574941451990632,0.7159971811134602,58181,440677,0.2181347252839953,0.12303785413856043,-9332,-57694
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G3_LOW_VOL_CONTINUATION,45000,False,False,False,0.6574941451990632,0.7159971811134602,58181,440677,0.2181347252839953,0.12303785413856043,-9332,-57694
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G4_DELAYED_DECISION_4000,10000,False,False,False,0.637409200968523,0.7047970479704797,64289,398254,0.19947434597156818,0.11308796269263087,-3224,-100117
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G4_DELAYED_DECISION_4000,20000,False,False,False,0.637409200968523,0.7047970479704797,64289,398254,0.19947434597156818,0.11308796269263087,-3224,-100117
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G4_DELAYED_DECISION_4000,30000,False,False,False,0.637409200968523,0.7047970479704797,64289,398254,0.19947434597156818,0.11308796269263087,-3224,-100117
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G4_DELAYED_DECISION_4000,45000,False,False,False,0.637409200968523,0.7047970479704797,64289,398254,0.19947434597156818,0.11308796269263087,-3224,-100117
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G5_DELAYED_DECISION_8000,10000,False,False,False,0.6290115532734275,0.6973788721207307,59409,345923,0.17655802207197935,0.10128049288152527,-8104,-152448
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G5_DELAYED_DECISION_8000,20000,False,False,False,0.6290115532734275,0.6973788721207307,59409,345923,0.17655802207197935,0.10128049288152527,-8104,-152448
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G5_DELAYED_DECISION_8000,30000,False,False,False,0.6290115532734275,0.6973788721207307,59409,345923,0.17655802207197935,0.10128049288152527,-8104,-152448
M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G5_DELAYED_DECISION_8000,45000,False,False,False,0.6290115532734275,0.6973788721207307,59409,345923,0.17655802207197935,0.10128049288152527,-8104,-152448
