scope,anchor,mask_name,target_bps,stop_bps,max_hold_ms,guard_name,early_horizon_ms,segment,supported_rows,unsupported_rows,action_taken_count,no_action_count,baseline_target_count,baseline_stop_count,baseline_timeout_count,baseline_sum_after_cost_bps,baseline_avg_after_cost_bps,baseline_median_after_cost_bps,tsv2_sum_after_cost_bps,tsv2_avg_after_cost_bps,tsv2_median_after_cost_bps,delta_sum_bps,delta_avg_bps,delta_median_bps,action_delta_avg_bps,action_delta_median_bps,beneficial_exit_count,harmful_exit_count,neutral_exit_count,exit_action_precision,exit_action_precision_denominator,exit_action_precision_wilson95_lower,saved_stop_count,saved_stop_damage_bps,target_cut_count,target_cut_damage_bps,timeout_improved_count,timeout_improved_bps,generic_beneficial_count,generic_beneficial_bps,gross_saved_damage_bps,harmful_damage_bps,target_cut_damage_ratio,target_cut_damage_guard_pass,target_cut_count_guard_pass,target_cut_count_guard_limit,stale_no_action_exclusions,no_candidate_exclusions,not_active_exit_eligible_exclusions,candidate_after_baseline_exclusions,candidate_after_max_hold_exclusions,ambiguous_unjoined_exclusions,lifecycle_without_exit_replay_exclusions,exact_rows,path_approx_rows,baseline_unavailable_rows,max_consecutive_harmful_actions,classification_counts,exclusion_counts,segment_target_cut_damage_guard_pass
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G0_NONE,10000,train,1583,0,1550,33,54,45,1484,-756172,-477.68288060644346,-202.0,-522914,-330.3310170562224,-202.0,233258,147.3518635502211,0.0,150.48903225806453,0.0,553,216,781,0.7191157347204161,769,0.686321997493627,35,166147,38,220836,518,534045,0,0,700192,466934,0.3153934920707463,False,True,86.80000000000001,7,26,0,0,0,0,0,1583,0,0,4,"{""cut_target"": 38, ""harmful_exit"": 178, ""neutral_exit"": 781, ""no_active_exit"": 33, ""saved_stop"": 35, ""timeout_improved"": 518}","{""no_candidate"": 26, ""none"": 1550, ""stale_data_no_action"": 7}",False
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G0_NONE,10000,validation,1583,0,1528,55,82,62,1439,-595310,-376.0644346178143,-202.0,-501144,-316.5786481364498,-202.0,94166,59.4857864813645,0.0,61.62696335078534,0.0,536,209,783,0.7194630872483222,745,0.686140072784427,37,157291,54,282940,499,456600,0,0,613891,519725,0.46089615257431693,False,True,86.9,1,51,0,2,1,0,0,1583,0,0,3,"{""cut_target"": 54, ""harmful_exit"": 155, ""neutral_exit"": 783, ""no_active_exit"": 55, ""saved_stop"": 37, ""timeout_improved"": 499}","{""candidate_after_baseline_exit"": 2, ""candidate_after_max_hold"": 1, ""no_candidate"": 51, ""none"": 1528, ""stale_data_no_action"": 1}",False
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G0_NONE,10000,holdout,1582,0,1540,42,56,38,1488,-582382,-368.1302149178255,-202.0,-483747,-305.7819216182048,-202.0,98635,62.348293299620735,0.0,64.0487012987013,0.0,478,156,906,0.7539432176656151,634,0.7189532893322834,26,102562,37,223603,452,373468,0,0,476030,377395,0.4697245971892528,False,True,71.2,7,33,0,0,2,0,0,1582,0,0,2,"{""cut_target"": 37, ""harmful_exit"": 119, ""neutral_exit"": 906, ""no_active_exit"": 42, ""saved_stop"": 26, ""timeout_improved"": 452}","{""candidate_after_max_hold"": 2, ""no_candidate"": 33, ""none"": 1540, ""stale_data_no_action"": 7}",False
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G0_NONE,20000,train,1583,0,1550,33,54,45,1484,-756172,-477.68288060644346,-202.0,-522914,-330.3310170562224,-202.0,233258,147.3518635502211,0.0,150.48903225806453,0.0,553,216,781,0.7191157347204161,769,0.686321997493627,35,166147,38,220836,518,534045,0,0,700192,466934,0.3153934920707463,False,True,86.80000000000001,7,26,0,0,0,0,0,1583,0,0,4,"{""cut_target"": 38, ""harmful_exit"": 178, ""neutral_exit"": 781, ""no_active_exit"": 33, ""saved_stop"": 35, ""timeout_improved"": 518}","{""no_candidate"": 26, ""none"": 1550, ""stale_data_no_action"": 7}",False
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G0_NONE,20000,validation,1583,0,1528,55,82,62,1439,-595310,-376.0644346178143,-202.0,-501144,-316.5786481364498,-202.0,94166,59.4857864813645,0.0,61.62696335078534,0.0,536,209,783,0.7194630872483222,745,0.686140072784427,37,157291,54,282940,499,456600,0,0,613891,519725,0.46089615257431693,False,True,86.9,1,51,0,2,1,0,0,1583,0,0,3,"{""cut_target"": 54, ""harmful_exit"": 155, ""neutral_exit"": 783, ""no_active_exit"": 55, ""saved_stop"": 37, ""timeout_improved"": 499}","{""candidate_after_baseline_exit"": 2, ""candidate_after_max_hold"": 1, ""no_candidate"": 51, ""none"": 1528, ""stale_data_no_action"": 1}",False
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G0_NONE,20000,holdout,1582,0,1540,42,56,38,1488,-582382,-368.1302149178255,-202.0,-483747,-305.7819216182048,-202.0,98635,62.348293299620735,0.0,64.0487012987013,0.0,478,156,906,0.7539432176656151,634,0.7189532893322834,26,102562,37,223603,452,373468,0,0,476030,377395,0.4697245971892528,False,True,71.2,7,33,0,0,2,0,0,1582,0,0,2,"{""cut_target"": 37, ""harmful_exit"": 119, ""neutral_exit"": 906, ""no_active_exit"": 42, ""saved_stop"": 26, ""timeout_improved"": 452}","{""candidate_after_max_hold"": 2, ""no_candidate"": 33, ""none"": 1540, ""stale_data_no_action"": 7}",False
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G0_NONE,30000,train,1583,0,1550,33,54,45,1484,-756172,-477.68288060644346,-202.0,-522914,-330.3310170562224,-202.0,233258,147.3518635502211,0.0,150.48903225806453,0.0,553,216,781,0.7191157347204161,769,0.686321997493627,35,166147,38,220836,518,534045,0,0,700192,466934,0.3153934920707463,False,True,86.80000000000001,7,26,0,0,0,0,0,1583,0,0,4,"{""cut_target"": 38, ""harmful_exit"": 178, ""neutral_exit"": 781, ""no_active_exit"": 33, ""saved_stop"": 35, ""timeout_improved"": 518}","{""no_candidate"": 26, ""none"": 1550, ""stale_data_no_action"": 7}",False
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G0_NONE,30000,validation,1583,0,1528,55,82,62,1439,-595310,-376.0644346178143,-202.0,-501144,-316.5786481364498,-202.0,94166,59.4857864813645,0.0,61.62696335078534,0.0,536,209,783,0.7194630872483222,745,0.686140072784427,37,157291,54,282940,499,456600,0,0,613891,519725,0.46089615257431693,False,True,86.9,1,51,0,2,1,0,0,1583,0,0,3,"{""cut_target"": 54, ""harmful_exit"": 155, ""neutral_exit"": 783, ""no_active_exit"": 55, ""saved_stop"": 37, ""timeout_improved"": 499}","{""candidate_after_baseline_exit"": 2, ""candidate_after_max_hold"": 1, ""no_candidate"": 51, ""none"": 1528, ""stale_data_no_action"": 1}",False
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G0_NONE,30000,holdout,1582,0,1540,42,56,38,1488,-582382,-368.1302149178255,-202.0,-483747,-305.7819216182048,-202.0,98635,62.348293299620735,0.0,64.0487012987013,0.0,478,156,906,0.7539432176656151,634,0.7189532893322834,26,102562,37,223603,452,373468,0,0,476030,377395,0.4697245971892528,False,True,71.2,7,33,0,0,2,0,0,1582,0,0,2,"{""cut_target"": 37, ""harmful_exit"": 119, ""neutral_exit"": 906, ""no_active_exit"": 42, ""saved_stop"": 26, ""timeout_improved"": 452}","{""candidate_after_max_hold"": 2, ""no_candidate"": 33, ""none"": 1540, ""stale_data_no_action"": 7}",False
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G0_NONE,45000,train,1583,0,1550,33,54,45,1484,-756172,-477.68288060644346,-202.0,-522914,-330.3310170562224,-202.0,233258,147.3518635502211,0.0,150.48903225806453,0.0,553,216,781,0.7191157347204161,769,0.686321997493627,35,166147,38,220836,518,534045,0,0,700192,466934,0.3153934920707463,False,True,86.80000000000001,7,26,0,0,0,0,0,1583,0,0,4,"{""cut_target"": 38, ""harmful_exit"": 178, ""neutral_exit"": 781, ""no_active_exit"": 33, ""saved_stop"": 35, ""timeout_improved"": 518}","{""no_candidate"": 26, ""none"": 1550, ""stale_data_no_action"": 7}",False
