scope,anchor,mask_name,target_bps,stop_bps,max_hold_ms,guard_name,early_horizon_ms,positions_with_exit_replay,positions_with_tsv2_windows,candidate_positions,exact_join_rate,supported_rows,action_taken_count,exit_action_precision,wilson_lower95,paired_delta_sum_bps,paired_delta_avg_bps,paired_delta_median_bps,baseline_cost100_sum_bps,tsv2_cost100_sum_bps,baseline_cost200_sum_bps,tsv2_cost200_sum_bps,anchor_tsv2_cost100_sum_bps,anchor_tsv2_cost200_sum_bps,cost100_improvement_vs_unguarded_anchor_bps,cost200_improvement_vs_unguarded_anchor_bps,target_cut_damage_ratio,target_cut_count,target_cut_damage_bps,saved_stop_count,saved_stop_damage_bps,timeout_improved_count,target_cut_count_guard_limit,target_cut_count_guard_pass,max_consecutive_harmful_actions,aggregate_pass,segment_target_cut_guard_pass,scope_pass,anchor_target_cut_count,anchor_target_cut_damage_bps,guarded_target_cut_damage_bps,target_cut_damage_reduction_bps,target_cut_damage_reduction_rate,anchor_saved_stop_damage_bps,guarded_saved_stop_damage_bps,saved_stop_damage_retained_rate,anchor_timeout_improved_count,guarded_timeout_improved_count,timeout_improved_count_retained_rate,top5_target_cut_winner_count,top5_target_cut_winners_protected,top5_target_cut_winners_protected_rate,top10_target_cut_winner_count,top10_target_cut_winners_protected,top10_target_cut_winners_protected_rate,guarded_cost0_baseline_sum_after_cost_bps,guarded_cost0_baseline_avg_after_cost_bps,guarded_cost0_baseline_median_after_cost_bps,guarded_cost0_tsv2_sum_after_cost_bps,guarded_cost0_tsv2_avg_after_cost_bps,guarded_cost0_tsv2_median_after_cost_bps,guarded_cost0_delta_sum_bps,guarded_cost0_delta_avg_bps,guarded_cost0_delta_median_bps,anchor_cost0_baseline_sum_after_cost_bps,anchor_cost0_baseline_avg_after_cost_bps,anchor_cost0_baseline_median_after_cost_bps,anchor_cost0_tsv2_sum_after_cost_bps,anchor_cost0_tsv2_avg_after_cost_bps,anchor_cost0_tsv2_median_after_cost_bps,anchor_cost0_delta_sum_bps,anchor_cost0_delta_avg_bps,anchor_cost0_delta_median_bps,guarded_cost50_baseline_sum_after_cost_bps,guarded_cost50_baseline_avg_after_cost_bps,guarded_cost50_baseline_median_after_cost_bps,guarded_cost50_tsv2_sum_after_cost_bps,guarded_cost50_tsv2_avg_after_cost_bps,guarded_cost50_tsv2_median_after_cost_bps,guarded_cost50_delta_sum_bps,guarded_cost50_delta_avg_bps,guarded_cost50_delta_median_bps,anchor_cost50_baseline_sum_after_cost_bps,anchor_cost50_baseline_avg_after_cost_bps,anchor_cost50_baseline_median_after_cost_bps,anchor_cost50_tsv2_sum_after_cost_bps,anchor_cost50_tsv2_avg_after_cost_bps,anchor_cost50_tsv2_median_after_cost_bps,anchor_cost50_delta_sum_bps,anchor_cost50_delta_avg_bps,anchor_cost50_delta_median_bps,guarded_cost100_baseline_sum_after_cost_bps,guarded_cost100_baseline_avg_after_cost_bps,guarded_cost100_baseline_median_after_cost_bps,guarded_cost100_tsv2_sum_after_cost_bps,guarded_cost100_tsv2_avg_after_cost_bps,guarded_cost100_tsv2_median_after_cost_bps,guarded_cost100_delta_sum_bps,guarded_cost100_delta_avg_bps,guarded_cost100_delta_median_bps,anchor_cost100_baseline_sum_after_cost_bps,anchor_cost100_baseline_avg_after_cost_bps,anchor_cost100_baseline_median_after_cost_bps,anchor_cost100_tsv2_sum_after_cost_bps,anchor_cost100_tsv2_avg_after_cost_bps,anchor_cost100_tsv2_median_after_cost_bps,anchor_cost100_delta_sum_bps,anchor_cost100_delta_avg_bps,anchor_cost100_delta_median_bps,guarded_cost150_baseline_sum_after_cost_bps,guarded_cost150_baseline_avg_after_cost_bps,guarded_cost150_baseline_median_after_cost_bps,guarded_cost150_tsv2_sum_after_cost_bps,guarded_cost150_tsv2_avg_after_cost_bps,guarded_cost150_tsv2_median_after_cost_bps,guarded_cost150_delta_sum_bps,guarded_cost150_delta_avg_bps,guarded_cost150_delta_median_bps,anchor_cost150_baseline_sum_after_cost_bps,anchor_cost150_baseline_avg_after_cost_bps,anchor_cost150_baseline_median_after_cost_bps,anchor_cost150_tsv2_sum_after_cost_bps,anchor_cost150_tsv2_avg_after_cost_bps,anchor_cost150_tsv2_median_after_cost_bps,anchor_cost150_delta_sum_bps,anchor_cost150_delta_avg_bps,anchor_cost150_delta_median_bps,guarded_cost200_baseline_sum_after_cost_bps,guarded_cost200_baseline_avg_after_cost_bps,guarded_cost200_baseline_median_after_cost_bps,guarded_cost200_tsv2_sum_after_cost_bps,guarded_cost200_tsv2_avg_after_cost_bps,guarded_cost200_tsv2_median_after_cost_bps,guarded_cost200_delta_sum_bps,guarded_cost200_delta_avg_bps,guarded_cost200_delta_median_bps,anchor_cost200_baseline_sum_after_cost_bps,anchor_cost200_baseline_avg_after_cost_bps,anchor_cost200_baseline_median_after_cost_bps,anchor_cost200_tsv2_sum_after_cost_bps,anchor_cost200_tsv2_avg_after_cost_bps,anchor_cost200_tsv2_median_after_cost_bps,anchor_cost200_delta_sum_bps,anchor_cost200_delta_avg_bps,anchor_cost200_delta_median_bps
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G0_NONE,10000,4748,5604,5485,1.0,4748,4618,0.7295158286778398,0.7103330535808028,426059,89.7344144903117,0.0,-1933864,-1507805,-2408664,-1982605,-1507805,-1982605,0,0,0.40633133215612643,129,727379,98,426000,1469,244.9,True,4,False,False,False,129,727379,727379,0,0.0,426000,426000,1.0,1469,1469,1.0,7,0,0.0,13,0,0.0,-1459064,-307.30075821398486,-102.0,-1033005,-217.56634372367313,-102.0,426059,89.7344144903117,0.0,-1459064,-307.30075821398486,-102.0,-1033005,-217.56634372367313,-102.0,426059,89.7344144903117,0.0,-1696464,-357.30075821398486,-152.0,-1270405,-267.5663437236731,-152.0,426059,89.7344144903117,0.0,-1696464,-357.30075821398486,-152.0,-1270405,-267.5663437236731,-152.0,426059,89.7344144903117,0.0,-1933864,-407.30075821398486,-202.0,-1507805,-317.5663437236731,-202.0,426059,89.7344144903117,0.0,-1933864,-407.30075821398486,-202.0,-1507805,-317.5663437236731,-202.0,426059,89.7344144903117,0.0,-2171264,-457.30075821398486,-252.0,-1745205,-367.5663437236731,-252.0,426059,89.7344144903117,0.0,-2171264,-457.30075821398486,-252.0,-1745205,-367.5663437236731,-252.0,426059,89.7344144903117,0.0,-2408664,-507.30075821398486,-302.0,-1982605,-417.5663437236731,-302.0,426059,89.7344144903117,0.0,-2408664,-507.30075821398486,-302.0,-1982605,-417.5663437236731,-302.0,426059,89.7344144903117,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G0_NONE,20000,4748,5604,5485,1.0,4748,4618,0.7295158286778398,0.7103330535808028,426059,89.7344144903117,0.0,-1933864,-1507805,-2408664,-1982605,-1507805,-1982605,0,0,0.40633133215612643,129,727379,98,426000,1469,244.9,True,4,False,False,False,129,727379,727379,0,0.0,426000,426000,1.0,1469,1469,1.0,7,0,0.0,13,0,0.0,-1459064,-307.30075821398486,-102.0,-1033005,-217.56634372367313,-102.0,426059,89.7344144903117,0.0,-1459064,-307.30075821398486,-102.0,-1033005,-217.56634372367313,-102.0,426059,89.7344144903117,0.0,-1696464,-357.30075821398486,-152.0,-1270405,-267.5663437236731,-152.0,426059,89.7344144903117,0.0,-1696464,-357.30075821398486,-152.0,-1270405,-267.5663437236731,-152.0,426059,89.7344144903117,0.0,-1933864,-407.30075821398486,-202.0,-1507805,-317.5663437236731,-202.0,426059,89.7344144903117,0.0,-1933864,-407.30075821398486,-202.0,-1507805,-317.5663437236731,-202.0,426059,89.7344144903117,0.0,-2171264,-457.30075821398486,-252.0,-1745205,-367.5663437236731,-252.0,426059,89.7344144903117,0.0,-2171264,-457.30075821398486,-252.0,-1745205,-367.5663437236731,-252.0,426059,89.7344144903117,0.0,-2408664,-507.30075821398486,-302.0,-1982605,-417.5663437236731,-302.0,426059,89.7344144903117,0.0,-2408664,-507.30075821398486,-302.0,-1982605,-417.5663437236731,-302.0,426059,89.7344144903117,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G0_NONE,30000,4748,5604,5485,1.0,4748,4618,0.7295158286778398,0.7103330535808028,426059,89.7344144903117,0.0,-1933864,-1507805,-2408664,-1982605,-1507805,-1982605,0,0,0.40633133215612643,129,727379,98,426000,1469,244.9,True,4,False,False,False,129,727379,727379,0,0.0,426000,426000,1.0,1469,1469,1.0,7,0,0.0,13,0,0.0,-1459064,-307.30075821398486,-102.0,-1033005,-217.56634372367313,-102.0,426059,89.7344144903117,0.0,-1459064,-307.30075821398486,-102.0,-1033005,-217.56634372367313,-102.0,426059,89.7344144903117,0.0,-1696464,-357.30075821398486,-152.0,-1270405,-267.5663437236731,-152.0,426059,89.7344144903117,0.0,-1696464,-357.30075821398486,-152.0,-1270405,-267.5663437236731,-152.0,426059,89.7344144903117,0.0,-1933864,-407.30075821398486,-202.0,-1507805,-317.5663437236731,-202.0,426059,89.7344144903117,0.0,-1933864,-407.30075821398486,-202.0,-1507805,-317.5663437236731,-202.0,426059,89.7344144903117,0.0,-2171264,-457.30075821398486,-252.0,-1745205,-367.5663437236731,-252.0,426059,89.7344144903117,0.0,-2171264,-457.30075821398486,-252.0,-1745205,-367.5663437236731,-252.0,426059,89.7344144903117,0.0,-2408664,-507.30075821398486,-302.0,-1982605,-417.5663437236731,-302.0,426059,89.7344144903117,0.0,-2408664,-507.30075821398486,-302.0,-1982605,-417.5663437236731,-302.0,426059,89.7344144903117,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G0_NONE,45000,4748,5604,5485,1.0,4748,4618,0.7295158286778398,0.7103330535808028,426059,89.7344144903117,0.0,-1933864,-1507805,-2408664,-1982605,-1507805,-1982605,0,0,0.40633133215612643,129,727379,98,426000,1469,244.9,True,4,False,False,False,129,727379,727379,0,0.0,426000,426000,1.0,1469,1469,1.0,7,0,0.0,13,0,0.0,-1459064,-307.30075821398486,-102.0,-1033005,-217.56634372367313,-102.0,426059,89.7344144903117,0.0,-1459064,-307.30075821398486,-102.0,-1033005,-217.56634372367313,-102.0,426059,89.7344144903117,0.0,-1696464,-357.30075821398486,-152.0,-1270405,-267.5663437236731,-152.0,426059,89.7344144903117,0.0,-1696464,-357.30075821398486,-152.0,-1270405,-267.5663437236731,-152.0,426059,89.7344144903117,0.0,-1933864,-407.30075821398486,-202.0,-1507805,-317.5663437236731,-202.0,426059,89.7344144903117,0.0,-1933864,-407.30075821398486,-202.0,-1507805,-317.5663437236731,-202.0,426059,89.7344144903117,0.0,-2171264,-457.30075821398486,-252.0,-1745205,-367.5663437236731,-252.0,426059,89.7344144903117,0.0,-2171264,-457.30075821398486,-252.0,-1745205,-367.5663437236731,-252.0,426059,89.7344144903117,0.0,-2408664,-507.30075821398486,-302.0,-1982605,-417.5663437236731,-302.0,426059,89.7344144903117,0.0,-2408664,-507.30075821398486,-302.0,-1982605,-417.5663437236731,-302.0,426059,89.7344144903117,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G1_STEADY_EARLY_STRENGTH,10000,4748,5604,5485,1.0,4748,4401,0.7479338842975206,0.7281145878411813,339326,71.46714406065712,0.0,-1933864,-1594538,-2408664,-2069338,-1507805,-1982605,-86733,-86733,0.36177229923283244,80,511605,78,313942,1370,215.0,True,4,False,False,False,129,727379,511605,215774,0.29664590261748003,426000,313942,0.7369530516431925,1469,1370,0.9326072157930565,7,1,0.14285714285714285,13,4,0.3076923076923077,-1459064,-307.30075821398486,-102.0,-1119738,-235.83361415332772,-102.0,339326,71.46714406065712,0.0,-1459064,-307.30075821398486,-102.0,-1033005,-217.56634372367313,-102.0,426059,89.7344144903117,0.0,-1696464,-357.30075821398486,-152.0,-1357138,-285.83361415332774,-152.0,339326,71.46714406065712,0.0,-1696464,-357.30075821398486,-152.0,-1270405,-267.5663437236731,-152.0,426059,89.7344144903117,0.0,-1933864,-407.30075821398486,-202.0,-1594538,-335.83361415332774,-202.0,339326,71.46714406065712,0.0,-1933864,-407.30075821398486,-202.0,-1507805,-317.5663437236731,-202.0,426059,89.7344144903117,0.0,-2171264,-457.30075821398486,-252.0,-1831938,-385.83361415332774,-252.0,339326,71.46714406065712,0.0,-2171264,-457.30075821398486,-252.0,-1745205,-367.5663437236731,-252.0,426059,89.7344144903117,0.0,-2408664,-507.30075821398486,-302.0,-2069338,-435.83361415332774,-302.0,339326,71.46714406065712,0.0,-2408664,-507.30075821398486,-302.0,-1982605,-417.5663437236731,-302.0,426059,89.7344144903117,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G1_STEADY_EARLY_STRENGTH,20000,4748,5604,5485,1.0,4748,4406,0.7510309278350515,0.7313055184754162,347045,73.09288121314238,0.0,-1933864,-1586819,-2408664,-2061619,-1507805,-1982605,-79014,-79014,0.37728883132186986,83,539168,82,329912,1375,219.5,True,4,False,False,False,129,727379,539168,188211,0.2587523148179972,426000,329912,0.7744413145539906,1469,1375,0.9360108917631041,7,0,0.0,13,0,0.0,-1459064,-307.30075821398486,-102.0,-1112019,-234.20787700084247,-102.0,347045,73.09288121314238,0.0,-1459064,-307.30075821398486,-102.0,-1033005,-217.56634372367313,-102.0,426059,89.7344144903117,0.0,-1696464,-357.30075821398486,-152.0,-1349419,-284.2078770008425,-152.0,347045,73.09288121314238,0.0,-1696464,-357.30075821398486,-152.0,-1270405,-267.5663437236731,-152.0,426059,89.7344144903117,0.0,-1933864,-407.30075821398486,-202.0,-1586819,-334.2078770008425,-202.0,347045,73.09288121314238,0.0,-1933864,-407.30075821398486,-202.0,-1507805,-317.5663437236731,-202.0,426059,89.7344144903117,0.0,-2171264,-457.30075821398486,-252.0,-1824219,-384.2078770008425,-252.0,347045,73.09288121314238,0.0,-2171264,-457.30075821398486,-252.0,-1745205,-367.5663437236731,-252.0,426059,89.7344144903117,0.0,-2408664,-507.30075821398486,-302.0,-2061619,-434.2078770008425,-302.0,347045,73.09288121314238,0.0,-2408664,-507.30075821398486,-302.0,-1982605,-417.5663437236731,-302.0,426059,89.7344144903117,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G1_STEADY_EARLY_STRENGTH,30000,4748,5604,5485,1.0,4748,4415,0.7526936890713186,0.7330545900891962,365277,76.93281381634372,0.0,-1933864,-1568587,-2408664,-2043387,-1507805,-1982605,-60782,-60782,0.3741746016761882,83,543028,84,336379,1383,222.3,True,4,False,False,False,129,727379,543028,184351,0.2534455902631228,426000,336379,0.7896220657276996,1469,1383,0.9414567733151804,7,0,0.0,13,0,0.0,-1459064,-307.30075821398486,-102.0,-1093787,-230.3679443976411,-102.0,365277,76.93281381634372,0.0,-1459064,-307.30075821398486,-102.0,-1033005,-217.56634372367313,-102.0,426059,89.7344144903117,0.0,-1696464,-357.30075821398486,-152.0,-1331187,-280.3679443976411,-152.0,365277,76.93281381634372,0.0,-1696464,-357.30075821398486,-152.0,-1270405,-267.5663437236731,-152.0,426059,89.7344144903117,0.0,-1933864,-407.30075821398486,-202.0,-1568587,-330.3679443976411,-202.0,365277,76.93281381634372,0.0,-1933864,-407.30075821398486,-202.0,-1507805,-317.5663437236731,-202.0,426059,89.7344144903117,0.0,-2171264,-457.30075821398486,-252.0,-1805987,-380.3679443976411,-252.0,365277,76.93281381634372,0.0,-2171264,-457.30075821398486,-252.0,-1745205,-367.5663437236731,-252.0,426059,89.7344144903117,0.0,-2408664,-507.30075821398486,-302.0,-2043387,-430.3679443976411,-302.0,365277,76.93281381634372,0.0,-2408664,-507.30075821398486,-302.0,-1982605,-417.5663437236731,-302.0,426059,89.7344144903117,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G1_STEADY_EARLY_STRENGTH,45000,4748,5604,5485,1.0,4748,4419,0.7521761392729135,0.7325452786041948,354310,74.62299915754002,0.0,-1933864,-1579554,-2408664,-2054354,-1507805,-1982605,-71749,-71749,0.37549570829844214,83,543028,84,330093,1385,222.5,True,4,False,False,False,129,727379,543028,184351,0.2534455902631228,426000,330093,0.7748661971830986,1469,1385,0.9428182437031994,7,0,0.0,13,0,0.0,-1459064,-307.30075821398486,-102.0,-1104754,-232.6777590564448,-102.0,354310,74.62299915754002,0.0,-1459064,-307.30075821398486,-102.0,-1033005,-217.56634372367313,-102.0,426059,89.7344144903117,0.0,-1696464,-357.30075821398486,-152.0,-1342154,-282.6777590564448,-152.0,354310,74.62299915754002,0.0,-1696464,-357.30075821398486,-152.0,-1270405,-267.5663437236731,-152.0,426059,89.7344144903117,0.0,-1933864,-407.30075821398486,-202.0,-1579554,-332.6777590564448,-202.0,354310,74.62299915754002,0.0,-1933864,-407.30075821398486,-202.0,-1507805,-317.5663437236731,-202.0,426059,89.7344144903117,0.0,-2171264,-457.30075821398486,-252.0,-1816954,-382.6777590564448,-252.0,354310,74.62299915754002,0.0,-2171264,-457.30075821398486,-252.0,-1745205,-367.5663437236731,-252.0,426059,89.7344144903117,0.0,-2408664,-507.30075821398486,-302.0,-2054354,-432.6777590564448,-302.0,354310,74.62299915754002,0.0,-2408664,-507.30075821398486,-302.0,-1982605,-417.5663437236731,-302.0,426059,89.7344144903117,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G2_RECOVERY_AFTER_EARLY_DRAWDOWN,10000,4748,5604,5485,1.0,4748,4584,0.7350993377483444,0.7158742076596731,462473,97.40374894692502,0.0,-1933864,-1471391,-2408664,-1946191,-1507805,-1982605,36414,36414,0.3843700486843148,119,674167,93,403205,1461,239.1,True,3,False,False,False,129,727379,674167,53212,0.07315581010724807,426000,403205,0.9464906103286385,1469,1461,0.9945541184479237,7,0,0.0,13,1,0.07692307692307693,-1459064,-307.30075821398486,-102.0,-996591,-209.89700926705981,-102.0,462473,97.40374894692502,0.0,-1459064,-307.30075821398486,-102.0,-1033005,-217.56634372367313,-102.0,426059,89.7344144903117,0.0,-1696464,-357.30075821398486,-152.0,-1233991,-259.8970092670598,-152.0,462473,97.40374894692502,0.0,-1696464,-357.30075821398486,-152.0,-1270405,-267.5663437236731,-152.0,426059,89.7344144903117,0.0,-1933864,-407.30075821398486,-202.0,-1471391,-309.8970092670598,-202.0,462473,97.40374894692502,0.0,-1933864,-407.30075821398486,-202.0,-1507805,-317.5663437236731,-202.0,426059,89.7344144903117,0.0,-2171264,-457.30075821398486,-252.0,-1708791,-359.8970092670598,-252.0,462473,97.40374894692502,0.0,-2171264,-457.30075821398486,-252.0,-1745205,-367.5663437236731,-252.0,426059,89.7344144903117,0.0,-2408664,-507.30075821398486,-302.0,-1946191,-409.8970092670598,-302.0,462473,97.40374894692502,0.0,-2408664,-507.30075821398486,-302.0,-1982605,-417.5663437236731,-302.0,426059,89.7344144903117,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,M0_ALL,6000,-6000,120000,G2_RECOVERY_AFTER_EARLY_DRAWDOWN,20000,4748,5604,5485,1.0,4748,4572,0.736441484300666,0.7171885511645543,458396,96.54507160909857,0.0,-1933864,-1475468,-2408664,-1950268,-1507805,-1982605,32337,32337,0.3889460050423756,119,674164,93,392504,1455,238.5,True,3,False,False,False,129,727379,674164,53215,0.07315993450457052,426000,392504,0.9213708920187793,1469,1455,0.9904697072838666,7,0,0.0,13,1,0.07692307692307693,-1459064,-307.30075821398486,-102.0,-1000668,-210.75568660488628,-102.0,458396,96.54507160909857,0.0,-1459064,-307.30075821398486,-102.0,-1033005,-217.56634372367313,-102.0,426059,89.7344144903117,0.0,-1696464,-357.30075821398486,-152.0,-1238068,-260.75568660488625,-152.0,458396,96.54507160909857,0.0,-1696464,-357.30075821398486,-152.0,-1270405,-267.5663437236731,-152.0,426059,89.7344144903117,0.0,-1933864,-407.30075821398486,-202.0,-1475468,-310.75568660488625,-202.0,458396,96.54507160909857,0.0,-1933864,-407.30075821398486,-202.0,-1507805,-317.5663437236731,-202.0,426059,89.7344144903117,0.0,-2171264,-457.30075821398486,-252.0,-1712868,-360.75568660488625,-252.0,458396,96.54507160909857,0.0,-2171264,-457.30075821398486,-252.0,-1745205,-367.5663437236731,-252.0,426059,89.7344144903117,0.0,-2408664,-507.30075821398486,-302.0,-1950268,-410.75568660488625,-302.0,458396,96.54507160909857,0.0,-2408664,-507.30075821398486,-302.0,-1982605,-417.5663437236731,-302.0,426059,89.7344144903117,0.0
