scope,classifier,target_bps,stop_bps,max_hold_ms,roundtrip_cost_bps,retained_count,sum_pnl_after_cost_bps,avg_pnl_after_cost_bps,median_pnl_after_cost_bps,nonloss_count,precision,wilson_lower95,max_consecutive_losses
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-300,20000,100,3633,-630301,-173.4932562620424,-202.0,281,0.07734654555463805,0.0690993905371989,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-300,20000,200,3633,-993601,-273.4932562620424,-302.0,268,0.0737682356179466,0.06571119334798678,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-300,30000,100,3633,-633042,-174.24772914946325,-202.0,283,0.0778970547756675,0.06962114244858646,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-300,30000,200,3633,-996342,-274.2477291494632,-302.0,272,0.07486925406000551,0.06675311578915243,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-300,40000,100,3633,-624624,-171.9306358381503,-202.0,299,0.0823011285439031,0.07379963976674973,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-300,40000,200,3633,-987924,-271.9306358381503,-302.0,291,0.08009909165978531,0.07170941075862874,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-500,20000,100,3633,-740567,-203.84448114505918,-202.0,298,0.08202587393338838,0.07353825639257429,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-500,20000,200,3633,-1103867,-303.8444811450592,-302.0,282,0.07762180016515277,0.06936025050628747,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-500,30000,100,3633,-750255,-206.51114781172583,-202.0,308,0.08477842003853564,0.07615340262934363,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-500,30000,200,3633,-1113555,-306.51114781172583,-302.0,295,0.0812001101018442,0.07275428473420342,85
