scope,classifier,target_bps,stop_bps,max_hold_ms,roundtrip_cost_bps,top_positive_fraction_removed,retained_count_before_tail_removal,removed_count,removed_sum_bps,sum_pnl_after_tail_removal_bps,avg_pnl_after_tail_removal_bps,median_pnl_after_tail_removal_bps,tail_dependency_flag
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-300,20000,100,0.05,3633,182,163800,-794101,-230.1075050709939,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-300,20000,100,0.1,3633,281,205221,-835522,-249.2607398568019,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-300,30000,100,0.05,3633,182,163800,-796842,-230.90176760359316,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-300,30000,100,0.1,3633,283,220638,-853680,-254.82985074626865,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-300,40000,100,0.05,3633,182,163800,-788424,-228.46247464503043,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-300,40000,100,0.1,3633,299,237889,-862513,-258.70215956808636,-203.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-500,20000,100,0.05,3633,182,163800,-904367,-262.05940307157346,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-500,20000,100,0.1,3633,298,216065,-956632,-286.8461769115442,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-500,30000,100,0.05,3633,182,163800,-914055,-264.8667053028108,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-500,30000,100,0.1,3633,308,235888,-986143,-296.58436090225564,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-500,40000,100,0.05,3633,182,163800,-908180,-263.16430020283974,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-500,40000,100,0.1,3633,326,258148,-1002528,-303.1533111581494,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-700,20000,100,0.05,3633,182,163800,-999533,-289.6357577513764,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-700,20000,100,0.1,3633,311,223760,-1059493,-318.9322697170379,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-700,30000,100,0.05,3633,182,163800,-1012541,-293.4050999710229,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-700,30000,100,0.1,3633,328,248904,-1097645,-332.1164901664145,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-700,40000,100,0.05,3633,182,163800,-1012015,-293.25268038249783,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-700,40000,100,0.1,3633,346,274276,-1122491,-341.4940675387892,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-1000,20000,100,0.05,3633,182,163800,-1115936,-323.3659808751087,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-1000,20000,100,0.1,3633,323,230759,-1182895,-357.3700906344411,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-1000,30000,100,0.05,3633,182,163800,-1141390,-330.7418139669661,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-1000,30000,100,0.1,3633,341,259122,-1236712,-375.6719319562576,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-1000,40000,100,0.05,3633,182,163800,-1147317,-332.45928716314114,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1000,-1000,40000,100,0.1,3633,362,287307,-1270824,-388.5123815346989,-202.0,True
