decision_id,lookup_wallet,decision_ts_ms,found_5m,found_15m,found_30m,found_60m,latest_funding_age_ms,funding_amount_lamports,source_wallet,miss_reason,diagnosed_bottleneck
AmKBzCm9FBzRn5AZsCX3iuCYyM1pdpYh3Zyi2jT2PUhx:1781390338389:1781390340389:REJECT,9kSfeFnxeJorQBCgV2nsMVZFw8XBj6XuVAkXB2uDAntd,1781390348391,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
AmKBzCm9FBzRn5AZsCX3iuCYyM1pdpYh3Zyi2jT2PUhx:1781390338389:1781390340389:REJECT,G8JrssqNMps3aRWbb6SVUSA9XTVMCcm4uYnAe47iHKNX,1781390348391,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
D71143tkKGvuFNpyU4RkopJank5GyJeNfgPTBUdqyFYR:1781390345519:1781390347519:REJECT,bwamJzztZsepfkteWRChggmXuiiCQvpLqPietdNfSXa,1781390355520,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
D71143tkKGvuFNpyU4RkopJank5GyJeNfgPTBUdqyFYR:1781390345519:1781390347519:REJECT,ATMwbTX7Tos4WXngT8JPyerjCshrvjBPJ2bjk38LDCLR,1781390355520,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
D71143tkKGvuFNpyU4RkopJank5GyJeNfgPTBUdqyFYR:1781390345519:1781390347519:REJECT,GonzYBmkVpdVvad5mDGTEa6PoYN9Cq9dVuX3cybkDavj,1781390355520,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
D71143tkKGvuFNpyU4RkopJank5GyJeNfgPTBUdqyFYR:1781390345519:1781390347519:REJECT,4gLZztSiwUnQtbqzc6sJrTjfgA5RCweHgokiLgEWPn3u,1781390355520,True,True,True,True,2403,1,AUXgM2xyEpiaaohdecB1SRpoGMj8nPrmEAwmZjtFCAk7,INBOUND_EXISTS_BUT_BELOW_ABS_STORE_THRESHOLD,THRESHOLD_FILTER
D71143tkKGvuFNpyU4RkopJank5GyJeNfgPTBUdqyFYR:1781390345519:1781390347519:REJECT,4TS24wgLBMucbZt7zqhM3KakXwdNTT2ECxDXEpsn5AhZ,1781390355520,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
5P4RPmK4djk1kReaiow7RibSF5AfHwTz2Qnfpvmk9erc:1781390356599:1781390358599:REJECT,EPT79Cs9y6XheWdZBHxouDSearGve1JsduWFbnWzpump,1781390366600,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
5P4RPmK4djk1kReaiow7RibSF5AfHwTz2Qnfpvmk9erc:1781390356599:1781390358599:REJECT,DQApNebkK5wCmy92T5c4Z9NePWjP7dC4avpLMzuxadxR,1781390366600,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
5P4RPmK4djk1kReaiow7RibSF5AfHwTz2Qnfpvmk9erc:1781390356599:1781390358599:REJECT,EWN2jiTcDm9quDNPH3Hg5sswnFXzV1VPokM3HVAuU3Le,1781390366600,True,True,True,True,6678,1,39gF9mhzw94pqZkqYQUb2o7e4HeuGbgQNCJCgfsZo7nH,,ATTRIBUTION_HIT
5P4RPmK4djk1kReaiow7RibSF5AfHwTz2Qnfpvmk9erc:1781390356599:1781390358599:REJECT,4SZ3aHHSFiU9uUfYeqp33JVNHHnpvbbEiWL9rdJSAk1B,1781390366600,True,True,True,True,2531,1,42nuTzctuRVHRmj6UaW6Bx97S5RjBsZL5HXwCh63zZK8,,ATTRIBUTION_HIT
5P4RPmK4djk1kReaiow7RibSF5AfHwTz2Qnfpvmk9erc:1781390356599:1781390358599:REJECT,Fd99bKtitnBLa35nvK5P6QRe2vJELdAi4gAMXWkQ9tH8,1781390366600,True,True,True,True,14781,10210010000,21A3uhp5oGfRJYBj8zSzKUBKAYe6bSMWJ4vfe6fwZHbd,,ATTRIBUTION_HIT
5P4RPmK4djk1kReaiow7RibSF5AfHwTz2Qnfpvmk9erc:1781390356599:1781390358599:REJECT,43nm5mSmZpSQiVavfCezxak8taJG3vdowtzzZf6kvmFU,1781390366600,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
5P4RPmK4djk1kReaiow7RibSF5AfHwTz2Qnfpvmk9erc:1781390356599:1781390358599:REJECT,JJY6NUPV3ugqCk3ANLd8P9hJnuAKq36GDvnHLJ2zd3y,1781390366600,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
5P4RPmK4djk1kReaiow7RibSF5AfHwTz2Qnfpvmk9erc:1781390356599:1781390358599:REJECT,2rfgPfXNabM7KU2Ufq4A7TXBwi452ZNckywquiasNPJu,1781390366600,True,True,True,True,2531,1,42nuTzctuRVHRmj6UaW6Bx97S5RjBsZL5HXwCh63zZK8,,ATTRIBUTION_HIT
5P4RPmK4djk1kReaiow7RibSF5AfHwTz2Qnfpvmk9erc:1781390356599:1781390358599:REJECT,FG2SBztwJ43UPT5G2on86xEY2qnP9fAQVfe8GdqjLXkt,1781390366600,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
5P4RPmK4djk1kReaiow7RibSF5AfHwTz2Qnfpvmk9erc:1781390356599:1781390358599:REJECT,72Wnh18jdHESqZEM4v5BdfjgexUAkU7HvFpofRznRgCd,1781390366600,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
5P4RPmK4djk1kReaiow7RibSF5AfHwTz2Qnfpvmk9erc:1781390356599:1781390358599:REJECT,ER2Sw2apZfEYZTjSZeY83cz2cwQdBcWJuqSpoY8pRZ34,1781390366600,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
5P4RPmK4djk1kReaiow7RibSF5AfHwTz2Qnfpvmk9erc:1781390356599:1781390358599:REJECT,5QCW52ch3uEKfYFdjqXajJbCDAx75scPrYtaX9vXxsnG,1781390366600,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
5P4RPmK4djk1kReaiow7RibSF5AfHwTz2Qnfpvmk9erc:1781390356599:1781390358599:REJECT,8PLB6gP2ymxTNPVEYgbjcWFH9nM9F3MYjFcoEhQLwjVs,1781390366600,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
5P4RPmK4djk1kReaiow7RibSF5AfHwTz2Qnfpvmk9erc:1781390356599:1781390358599:REJECT,5c3QbNinkHzve5ZrAszXDYwhVhNH4Syh89c8uqzeRMyR,1781390366600,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
DFqPV3gFDxeToYtnCDPjjktfvUppSfdUdhD6zmYFZY4v:1781390357967:1781390359967:TIMEOUT,G2HTmsBxQTdHNx5PDt33jRRTqaW5mcZNZLZkojg83G52,1781390367971,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
AngTwW6yxYstLhcksiwwxNZgfheN9SZS8v2hpA92GAKc:1781390362201:1781390364201:REJECT,bwamJzztZsepfkteWRChggmXuiiCQvpLqPietdNfSXa,1781390372202,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
AngTwW6yxYstLhcksiwwxNZgfheN9SZS8v2hpA92GAKc:1781390362201:1781390364201:REJECT,ASY5YdzR8GGCGBc9WBH1KifG1MGGAsGodB9KxsfvNznK,1781390372202,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
9EvKgaeGDYagxQ662gG2tUxskGyLcXrxnhwAVhGqCe7N:1781390364202:1781390366202:REJECT,AxjK7Ct3h2maMn88zKNvuvaLGrYVQdUa4zPQM9HmhbgN,1781390374204,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
9EvKgaeGDYagxQ662gG2tUxskGyLcXrxnhwAVhGqCe7N:1781390364202:1781390366202:REJECT,BwWK17cbHxwWBKZkUYvzxLcNQ1YVyaFezduWbtm2de6s,1781390374204,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
FVxytDDS5QTvfN6oXHcwCzpdRRjMz3YTCwh3YMaezo1H:1781390367347:1781390369347:TIMEOUT,G8JrssqNMps3aRWbb6SVUSA9XTVMCcm4uYnAe47iHKNX,1781390377354,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
EHKFmGFfprfDyb1R2mPNrVP7pCySM9wQenRjXRa2UFyc:1781390369455:1781390371455:TIMEOUT,4Aw5MXWL7fgtJ2bCRqXJJKKnTKmcrLvJjkPJoeHjgaFU,1781390379455,False,False,False,False,,,,NO_INBOUND_TRANSFER_OBSERVED,DIRECT_FUNDING_NOT_OBSERVED_60M
