metric,r27_lookback_300s,r27b_lookback_1800s,unit,notes
funding_events_rows,413579,841796,count,
system_transfers_raw_rows,413579,841796,count,
lookup_rows,2370,4870,count,
runtime_hits,96,400,count,
runtime_hit_rate_pct,4.050632911392405,8.213552361396303,pct,
unique_decisions_total,329,624,count,
unique_decisions_hit,77,207,count,
unique_decision_coverage_pct,23.404255319148938,33.17307692307692,pct,
buy_decisions_total,63,111,count,
buy_decisions_hit,19,47,count,
buy_decision_coverage_pct,30.158730158730158,42.34234234234234,pct,
raw_inbound_found_5m,419,997,rows,offline audit raw inbound before current attribution thresholds
raw_inbound_found_15m,618,1438,rows,offline audit raw inbound before current attribution thresholds
raw_inbound_found_30m,634,1782,rows,offline audit raw inbound before current attribution thresholds
raw_inbound_found_60m,634,1877,rows,offline audit raw inbound before current attribution thresholds
decision_fsc_status_clean,4,14,rows,
buy_fsc_status_clean,2,1,rows,
decision_fsc_status_degraded,436,704,rows,
buy_fsc_status_degraded,61,110,rows,
decision_fsc_status_unavailable,0,0,rows,
buy_fsc_status_unavailable,0,0,rows,
decision_fsc_status_missing,0,0,rows,
buy_fsc_status_missing,0,0,rows,
lookup_miss_reason_FSC_ABS_ATTRIBUTION_TOO_SMALL,10,41,rows,
lookup_miss_reason_FSC_GLOBAL_RECIPIENT_EVICTED,0,56,rows,
lookup_miss_reason_FSC_LOW_ATTRIBUTION_CONFIDENCE,0,41,rows,
lookup_miss_reason_FSC_NO_PREBUY_TRANSFER_IN_WINDOW,1,1,rows,
lookup_miss_reason_FSC_NO_RETAINED_RECIPIENT_HISTORY,2221,4158,rows,
lookup_miss_reason_FSC_RELATIVE_FUNDING_TOO_SMALL,42,126,rows,
lookup_miss_reason_FSC_SAME_SLOT_ORDERING_UNAVAILABLE,0,47,rows,
lookup_miss_reason_none,96,400,rows,
diagnostic_miss_reason_INBOUND_EXISTS_BUT_BELOW_ABS_ATTRIBUTION_THRESHOLD,10,41,rows,
diagnostic_miss_reason_INBOUND_EXISTS_BUT_BELOW_ABS_STORE_THRESHOLD,270,1070,rows,
diagnostic_miss_reason_INBOUND_EXISTS_BUT_BELOW_REL_THRESHOLD,42,126,rows,
diagnostic_miss_reason_INBOUND_EXISTS_BUT_PRUNED_BY_WINDOW,0,56,rows,
diagnostic_miss_reason_NO_INBOUND_TRANSFER_OBSERVED,1951,3088,rows,
diagnostic_miss_reason_SAME_SLOT_ORDERING,0,47,rows,
diagnostic_miss_reason_UNKNOWN,1,42,rows,
diagnostic_miss_reason_none,96,400,rows,
disk_reports,203M,442M,du -sh,
disk_nln_capture,1.2G,2.4G,du -sh,
disk_rollout_logs,450M,915M,du -sh,
disk_datasets,53M,122M,du -sh,
