policy,policy_kind,target_bps,stop_bps,max_hold_ms,input_count,eligible_count,excluded_count,target_count,stop_count,timeout_count,target_rate,stop_rate,timeout_rate,positive_timeout_count,negative_timeout_count,negative_timeout_rate,avg_pnl_bps,median_pnl_bps,sum_pnl_bps,profit_factor,max_consecutive_losses
S0,candidate_ladder,100,-100,10000,4317,4317,0,458,3028,831,0.10609219365299977,0.7014130182997452,0.19249478804725503,50,114,0.1371841155234657,-60.68890433171184,-100.0,-261994.0,0.1540475875274053,26
S0,candidate_ladder,100,-200,10000,4317,4317,0,481,1260,2576,0.1114199675700718,0.2918693537178596,0.5967106787120686,55,1854,0.71972049689441,-91.97498262682419,-102.0,-397056.0,0.11245428778354986,26
S0,candidate_ladder,100,-300,10000,4317,4317,0,485,1120,2712,0.1123465369469539,0.25943942552698634,0.6282140375260598,55,1990,0.7337758112094396,-119.34630530460969,-102.0,-515218.0,0.08960182073274597,26
S0,candidate_ladder,100,-500,10000,4317,4317,0,499,941,2877,0.11558952976604123,0.21797544591151263,0.6664350243224462,57,2153,0.7483489746263469,-164.79198517488996,-102.0,-711407.0,0.06842077005776154,26
S0,candidate_ladder,100,-700,10000,4317,4317,0,506,793,3018,0.1172110261755849,0.18369237896687515,0.6990965948575399,60,2291,0.7591119946984758,-202.1308779244846,-102.0,-872599.0,0.057368168044895515,26
S0,candidate_ladder,100,-1000,10000,4317,4317,0,515,646,3156,0.11929580727356962,0.1496409543664582,0.7310632383599722,61,2428,0.7693282636248415,-248.1772063933287,-102.0,-1071381.0,0.04806157055744562,26
S0,candidate_ladder,100,-1500,10000,4317,4317,0,523,494,3300,0.1211489460273338,0.11443131804493861,0.7644197359277276,61,2572,0.7793939393939394,-310.39865647440354,-102.0,-1339991.0,0.03935240446689794,26
S0,candidate_ladder,100,-2000,10000,4317,4317,0,530,403,3384,0.12277044243687746,0.09335186472087098,0.7838776928422516,61,2656,0.7848699763593381,-357.5788742182071,-102.0,-1543668.0,0.03476107699811163,26
S0,candidate_ladder,100,-3000,10000,4317,4317,0,536,259,3522,0.1241602965022006,0.05999536715311559,0.8158443363446838,61,2794,0.7932992617830777,-424.5494556404911,-102.0,-1832780.0,0.029747396996885077,26
S0,candidate_ladder,100,-5000,10000,4317,4317,0,539,110,3668,0.12485522353486217,0.025480657864257586,0.8496641186008802,62,2939,0.8012540894220284,-495.13458420199214,-102.0,-2137496.0,0.025782292585813358,26
S0,candidate_ladder,100,-6000,10000,4317,4317,0,540,61,3716,0.1250868658790827,0.014130182997451933,0.8607829511234654,62,2987,0.803821313240043,-506.8746814917767,-102.0,-2188178.0,0.025243602456471403,26
S0,candidate_ladder,200,-100,10000,4317,4317,0,427,3033,857,0.09891128098216354,0.7025712300208478,0.19851748899698865,75,115,0.13418903150525088,-50.78573083159601,-100.0,-219242.0,0.29340823318218,26
S0,candidate_ladder,200,-200,10000,4317,4317,0,445,1265,2607,0.10308084317813296,0.29302756543896225,0.6038915913829048,85,1855,0.7115458381281166,-81.72596710678712,-102.0,-352811.0,0.21325165796245668,26
S0,candidate_ladder,200,-300,10000,4317,4317,0,449,1125,2743,0.10400741255501506,0.26059763724808893,0.635394950196896,85,1991,0.7258476121035363,-109.12045401899468,-102.0,-471073.0,0.16992126927739717,26
S0,candidate_ladder,200,-500,10000,4317,4317,0,461,945,2911,0.10678712068566133,0.21890201528839473,0.674310864025944,89,2155,0.7402954311233253,-154.44637479731296,-102.0,-666745.0,0.12963366668798815,26
S0,candidate_ladder,200,-700,10000,4317,4317,0,468,796,3053,0.10840861709520501,0.1843873059995367,0.7072040769052583,92,2294,0.7513920733704553,-191.73685429696548,-102.0,-827728.0,0.10861844301575507,26
