field,family,decision_time_safe,used_by_ladder,finite_count,coverage,min,max,primary_source,source_counts,note
buy_count,traction,True,True,4317,1.0,4.0,511.0,buy_count,"{""buy_count"": 4317}",top-level Gatekeeper decision row / MFS tx_intel
total_tx,traction,True,False,4317,1.0,7.0,891.0,materialized_feature_snapshot.tx_intel_features.tx_count,"{""materialized_feature_snapshot.tx_intel_features.tx_count"": 4317}",mapped from tx_intel_features.tx_count when top-level total_tx is absent
total_volume_sol,traction,True,False,4317,1.0,0.081375423,575.2675667670009,total_volume_sol,"{""total_volume_sol"": 4317}",top-level / MFS tx_intel
sol_buy_ratio,traction,True,True,4317,1.0,0.20593274556981628,1.0,sol_buy_ratio,"{""sol_buy_ratio"": 4317}",top-level / MFS tx_intel
buy_ratio,traction,True,False,4317,1.0,0.2,1.0,buy_ratio,"{""buy_ratio"": 4317}",top-level / MFS tx_intel
current_market_cap_sol,overextension,True,True,4317,1.0,2.623173068,734.474641554,current_market_cap_sol,"{""current_market_cap_sol"": 4317}",decision snapshot account market cap
bonding_progress_pct,overextension,True,True,4317,1.0,3.0,100.0,bonding_progress_pct,"{""bonding_progress_pct"": 4317}",decision snapshot bonding progress
price_change_ratio,overextension,True,True,4317,1.0,0.05041872284915061,30.313375994823165,price_change_ratio,"{""price_change_ratio"": 4317}",top-level Gatekeeper decision row
max_single_tx_price_impact_pct_observed,overextension,True,True,4317,1.0,0.12426530436666372,704.5225969602985,max_single_tx_price_impact_pct_observed,"{""max_single_tx_price_impact_pct_observed"": 4317}",observed pre-entry price impact cap
entry_drift_pct,overextension,True,False,0,0.0,,,unavailable,"{""unavailable"": 4317}",inventory only when top-level PDD drift exists
unique_ratio,organicity,True,True,4317,1.0,0.030456852791878174,1.0,unique_ratio,"{""unique_ratio"": 4317}",top-level or tx_intel unique signer ratio
unique_signers,organicity,True,False,4317,1.0,4.0,248.0,materialized_feature_snapshot.tx_intel_features.unique_signers,"{""materialized_feature_snapshot.tx_intel_features.unique_signers"": 4317}",inventory signer broadening
hhi,organicity,True,True,4317,1.0,0.004856126705720722,0.7708333333333335,hhi,"{""hhi"": 4317}",top-level / tx_intel concentration
top3_signer_volume_ratio,organicity,True,True,4317,1.0,0.07809291367749849,0.9999999986363636,top3_signer_volume_ratio,"{""top3_signer_volume_ratio"": 4317}",preferred PR4 ratio-scale field; observed scale=ratio_0_1
top3_volume_pct,organicity,True,False,4317,1.0,0.07809291367749849,0.9999999986363636,top3_volume_pct,"{""top3_volume_pct"": 4317}",legacy compatibility field; scale audited before use; observed scale=ratio_0_1
same_ms_tx_ratio,organicity,True,False,4317,1.0,0.0,0.6666666666666666,same_ms_tx_ratio,"{""same_ms_tx_ratio"": 4317}",top-level / tx_intel timing concentration
avg_cpi_depth_50tx,execution_toxicity,True,True,4313,0.9990734306231179,2.0,4.0,avg_cpi_depth_50tx,"{""avg_cpi_depth_50tx"": 4313, ""unavailable"": 4}","pre-entry alpha fingerprint diagnostic field, not alpha_31100"
compute_unit_cluster_dominance,execution_toxicity,True,True,3461,0.8017141533472318,0.125,0.9411764705882353,compute_unit_cluster_dominance,"{""compute_unit_cluster_dominance"": 3461, ""unavailable"": 856}",optional toxicity cap when coverage is adequate
jito_tip_intensity,execution_toxicity,True,False,4028,0.9330553625202687,0.0,1.0,jito_tip_intensity,"{""jito_tip_intensity"": 4028, ""unavailable"": 289}",inventory only; not used in A0 ladder
burst_ratio,execution_toxicity,True,False,4317,1.0,0.00684931506849315,1.0,burst_ratio,"{""burst_ratio"": 4317}",inventory only; not used in A0 ladder
max_single_sell_impact_pct_observed,execution_toxicity,True,False,4317,1.0,0.0,366.0218170268214,max_single_sell_impact_pct_observed,"{""max_single_sell_impact_pct_observed"": 4317}",inventory toxicity field
dev_tx_ratio,dev_cross_pool_guard,True,True,4317,1.0,0.0,0.7647058823529411,dev_tx_ratio,"{""dev_tx_ratio"": 4317}",optional C5 guard
dev_volume_ratio,dev_cross_pool_guard,True,True,4317,1.0,0.0,0.9972525248806259,dev_volume_ratio,"{""dev_volume_ratio"": 4317}",optional C5 guard
signer_cross_pool_velocity,dev_cross_pool_guard,True,True,4317,1.0,0.0,1.0,signer_cross_pool_velocity,"{""signer_cross_pool_velocity"": 4317}",optional C5 guard when coverage is adequate
cpv_other_pool_activity,dev_cross_pool_guard,True,True,4317,1.0,0.0,10.0,cpv_other_pool_activity,"{""cpv_other_pool_activity"": 4317}",optional C5 guard when coverage is adequate
flipper_presence_ratio,dev_cross_pool_guard,True,True,3264,0.7560806115357888,0.0,1.0,flipper_presence_ratio,"{""flipper_presence_ratio"": 3264, ""unavailable"": 1053}",optional C5 guard
