policy,policy_kind,segment,count,retained_pct_of_total,target_bps,stop_bps,max_hold_ms,gross_eligible_count,gross_excluded_count,gross_target_count,gross_stop_count,gross_timeout_count,gross_target_rate,gross_stop_rate,gross_timeout_rate,gross_positive_timeout_count,gross_negative_timeout_count,gross_negative_timeout_rate,gross_avg_pnl_bps,gross_median_pnl_bps,gross_sum_pnl_bps,gross_profit_factor,gross_max_consecutive_losses,cost100_eligible_count,cost100_excluded_count,cost100_target_count,cost100_stop_count,cost100_timeout_count,cost100_target_rate,cost100_stop_rate,cost100_timeout_rate,cost100_positive_timeout_count,cost100_negative_timeout_count,cost100_negative_timeout_rate,cost100_avg_pnl_bps,cost100_median_pnl_bps,cost100_sum_pnl_bps,cost100_profit_factor,cost100_max_consecutive_losses
S0,candidate_ladder,train,1439,0.3333333333333333,10000,-200,120000,1439,0,21,810,608,0.014593467685892982,0.5628908964558721,0.4225156358582349,77,531,0.8733552631578947,83.14871438498957,-200.0,119651.0,1.5394568956577803,61,1439,0,21,810,608,0.014593467685892982,0.5628908964558721,0.4225156358582349,71,537,0.8832236842105263,-16.851285615010426,-300.0,-24249.0,0.9319530695342031,61
S0,candidate_ladder,validation,1439,0.3333333333333333,10000,-200,120000,1439,0,19,845,575,0.01320361362056984,0.5872133425990271,0.39958304378040305,58,517,0.8991304347826087,59.32314107018763,-200.0,85366.0,1.3781205152282916,99,1439,0,19,845,575,0.01320361362056984,0.5872133425990271,0.39958304378040305,53,522,0.9078260869565218,-40.67685892981237,-300.0,-58534.0,0.838435529057812,99
S0,candidate_ladder,holdout,1439,0.3333333333333333,10000,-200,120000,1439,0,17,891,531,0.0118137595552467,0.6191799861014593,0.3690062543432939,71,460,0.8662900188323918,66.23349548297429,-200.0,95310.0,1.4151891896601294,96,1439,0,17,891,531,0.0118137595552467,0.6191799861014593,0.3690062543432939,68,463,0.871939736346516,-33.76650451702571,-300.0,-48590.0,0.8667949645810031,96
S1_F5,candidate_ladder,train,297,0.06879777623349548,7500,-100,30000,297,0,7,228,62,0.02356902356902357,0.7676767676767676,0.20875420875420875,59,3,0.04838709677419355,431.56228956228955,-100.0,128174.0,6.5810328311416875,22,297,0,7,228,62,0.02356902356902357,0.7676767676767676,0.20875420875420875,58,4,0.06451612903225806,331.56228956228955,-200.0,98474.0,3.136234462112502,25
S1_F5,candidate_ladder,validation,399,0.09242529534398888,7500,-100,30000,399,0,3,351,45,0.007518796992481203,0.8796992481203008,0.11278195488721804,43,2,0.044444444444444446,197.5689223057644,-100.0,78830.0,3.2419726401410656,41,399,0,3,351,45,0.007518796992481203,0.8796992481203008,0.11278195488721804,41,4,0.08888888888888889,97.56892230576442,-200.0,38930.0,1.5514398628836918,41
S1_F5,candidate_ladder,holdout,458,0.10609219365299977,7500,-100,30000,458,0,5,375,78,0.010917030567685589,0.8187772925764192,0.1703056768558952,76,2,0.02564102564102564,288.6593886462882,-100.0,132206.0,4.516304058726528,26,458,0,5,375,78,0.010917030567685589,0.8187772925764192,0.1703056768558952,72,6,0.07692307692307693,188.65938864628822,-200.0,86406.0,2.1445412880493815,26
C1,candidate_ladder,train,201,0.046560111188325225,7500,-100,30000,201,0,7,146,48,0.03482587064676617,0.7263681592039801,0.23880597014925373,46,2,0.041666666666666664,495.55721393034827,-100.0,99607.0,7.790306087667871,16,201,0,7,146,48,0.03482587064676617,0.7263681592039801,0.23880597014925373,45,3,0.0625,395.55721393034827,-200.0,79507.0,3.6951525423728815,18
C1,candidate_ladder,validation,261,0.06045865184155664,7500,-100,30000,261,0,0,230,31,0.0,0.8812260536398467,0.11877394636015326,30,1,0.03225806451612903,181.1455938697318,-100.0,47279.0,3.054090454881175,31,261,0,0,230,31,0.0,0.8812260536398467,0.11877394636015326,29,2,0.06451612903225806,81.1455938697318,-200.0,21179.0,1.4587376537861723,31
C1,candidate_ladder,holdout,306,0.07088255733148019,7500,-100,30000,306,0,3,247,56,0.00980392156862745,0.8071895424836601,0.1830065359477124,54,2,0.03571428571428571,286.6372549019608,-100.0,87711.0,4.537019114444713,28,306,0,3,247,56,0.00980392156862745,0.8071895424836601,0.1830065359477124,52,4,0.07142857142857142,186.63725490196077,-200.0,57111.0,2.147291026336407,28
C2,candidate_ladder,train,100,0.02316423442205235,10000,-200,40000,100,0,3,68,29,0.03,0.68,0.29,22,7,0.2413793103448276,591.88,-200.0,59188.0,5.04565960355434,12,100,0,3,68,29,0.03,0.68,0.29,22,7,0.2413793103448276,491.88,-300.0,49188.0,3.222684139177587,12
