policy,policy_kind,count,retained_pct,selected_target_bps,selected_stop_bps,selected_max_hold_ms,selected_exit_source,gross_eligible_count,gross_excluded_count,gross_target_count,gross_stop_count,gross_timeout_count,gross_target_rate,gross_stop_rate,gross_timeout_rate,gross_positive_timeout_count,gross_negative_timeout_count,gross_negative_timeout_rate,gross_avg_pnl_bps,gross_median_pnl_bps,gross_sum_pnl_bps,gross_profit_factor,gross_max_consecutive_losses,cost100_eligible_count,cost100_excluded_count,cost100_target_count,cost100_stop_count,cost100_timeout_count,cost100_target_rate,cost100_stop_rate,cost100_timeout_rate,cost100_positive_timeout_count,cost100_negative_timeout_count,cost100_negative_timeout_rate,cost100_avg_pnl_bps,cost100_median_pnl_bps,cost100_sum_pnl_bps,cost100_profit_factor,cost100_max_consecutive_losses
S0,candidate_ladder,4317,1.0,10000,-200,120000,train_only_cost_100_avg_then_median_pf_stop,4317,0,57,2546,1714,0.01320361362056984,0.5897614083854529,0.3970349779939773,206,1508,0.8798133022170361,69.56845031271716,-200.0,300327.0,1.4435352027185688,99,4317,0,57,2546,1714,0.01320361362056984,0.5897614083854529,0.3970349779939773,192,1522,0.8879813302217037,-30.431549687282835,-300.0,-131373.0,0.8787432113624533,99
S1_F5,candidate_ladder,1154,0.26731526523048416,7500,-100,30000,train_only_cost_100_avg_then_median_pf_stop,1154,0,15,954,185,0.012998266897746967,0.8266897746967071,0.16031195840554593,178,7,0.03783783783783784,293.9428076256499,-100.0,339210.0,4.543588404283103,41,1154,0,15,954,185,0.012998266897746967,0.8266897746967071,0.16031195840554593,171,14,0.07567567567567568,193.94280762564992,-200.0,223810.0,2.1645368077091183,41
C1,candidate_ladder,768,0.17790132036136205,7500,-100,30000,train_only_cost_100_avg_then_median_pf_stop,768,0,10,623,135,0.013020833333333334,0.8111979166666666,0.17578125,130,5,0.037037037037037035,305.46484375,-100.0,234597.0,4.754513155367774,31,768,0,10,623,135,0.013020833333333334,0.8111979166666666,0.17578125,126,9,0.06666666666666667,205.46484375,-200.0,157797.0,2.257877828883911,31
C2,candidate_ladder,323,0.0748204771832291,10000,-200,40000,train_only_cost_100_avg_then_median_pf_stop,323,0,3,243,77,0.009287925696594427,0.7523219814241486,0.23839009287925697,59,18,0.23376623376623376,377.5758513931888,-200.0,121957.0,3.407933185910599,19,323,0,3,243,77,0.009287925696594427,0.7523219814241486,0.23839009287925697,57,20,0.2597402597402597,277.5758513931888,-300.0,89657.0,2.1664823512574647,19
C3,candidate_ladder,273,0.06323835997220292,10000,-200,40000,train_only_cost_100_avg_then_median_pf_stop,273,0,2,203,68,0.007326007326007326,0.7435897435897436,0.2490842490842491,51,17,0.25,359.8131868131868,-200.0,98229.0,3.3135024376457287,16,273,0,2,203,68,0.007326007326007326,0.7435897435897436,0.2490842490842491,50,18,0.2647058823529412,259.8131868131868,-300.0,70929.0,2.0995209970701763,16
C4,candidate_ladder,203,0.04702339587676627,10000,-200,30000,train_only_cost_100_avg_then_median_pf_stop,203,0,1,151,51,0.0049261083743842365,0.7438423645320197,0.2512315270935961,45,6,0.11764705882352941,352.320197044335,-200.0,71521.0,3.3088420440972333,13,203,0,1,151,51,0.0049261083743842365,0.7438423645320197,0.2512315270935961,42,9,0.17647058823529413,252.32019704433498,-300.0,51221.0,2.0936946170435378,13
C5,candidate_ladder,60,0.01389854065323141,10000,-200,30000,train_only_cost_100_avg_then_median_pf_stop,60,0,1,43,16,0.016666666666666666,0.7166666666666667,0.26666666666666666,16,0,0.0,426.18333333333334,-200.0,25571.0,3.9733720930232557,8,60,0,1,43,16,0.016666666666666666,0.7166666666666667,0.26666666666666666,14,2,0.125,326.18333333333334,-300.0,19571.0,2.5025719769673707,8
SEL_EQ_S1_F5,diagnostic_selector_shadow_score_equal_count,1154,0.26731526523048416,7500,-100,90000,train_only_cost_100_avg_then_median_pf_stop,1154,0,38,1037,79,0.03292894280762565,0.8986135181975736,0.0684575389948007,74,5,0.06329113924050633,304.38908145580587,-100.0,351265.0,4.378847633705271,60,1154,0,38,1037,79,0.03292894280762565,0.8986135181975736,0.0684575389948007,72,7,0.08860759493670886,204.3890814558059,-200.0,235865.0,2.1322244623655915,60
SEL_EQ_C1,diagnostic_selector_shadow_score_equal_count,768,0.17790132036136205,6000,-100,40000,train_only_cost_100_avg_then_median_pf_stop,768,0,24,645,99,0.03125,0.83984375,0.12890625,93,6,0.06060606060606061,323.3841145833333,-100.0,248359.0,4.82626446255527,37,768,0,24,645,99,0.03125,0.83984375,0.12890625,91,8,0.08080808080808081,223.38411458333334,-200.0,171559.0,2.3187614823469724,37
SEL_EQ_C2,diagnostic_selector_shadow_score_equal_count,323,0.0748204771832291,6000,-100,40000,train_only_cost_100_avg_then_median_pf_stop,323,0,8,280,35,0.02476780185758514,0.8668730650154799,0.10835913312693499,33,2,0.05714285714285714,330.2631578947368,-100.0,106675.0,4.789385812226919,36,323,0,8,280,35,0.02476780185758514,0.8668730650154799,0.10835913312693499,32,3,0.08571428571428572,230.26315789473685,-200.0,74375.0,2.3196181756888627,36
