rank,target_bps,stop_bps,max_hold_ms,roundtrip_cost_bps,eligible_count,avg_pnl_bps_after_cost,median_pnl_bps_after_cost,sum_pnl_bps_after_cost,profit_factor_after_cost,expected_pnl_sol_at_0_25_sol_after_cost,median_pnl_sol_at_0_25_sol_after_cost
1,10000,-100,90000,0,3600,63.61972222222222,-100.0,229031,1.6656794242797683,0.0015904930555555555,-0.0025
1,10000,-100,90000,50,3600,13.619722222222222,-150.0,49031,1.0949524956717418,0.0003404930555555556,-0.00375
1,10000,-100,90000,100,3600,-36.38027777777778,-200.0,-130969,0.8098837403413321,-0.0009095069444444444,-0.005
1,10000,-100,90000,150,3600,-86.38027777777778,-250.0,-310969,0.6390662141583717,-0.0021595069444444444,-0.00625
1,10000,-100,90000,200,3600,-136.3802777777778,-300.0,-490969,0.52534351927314,-0.0034095069444444446,-0.0075
2,10000,-100,40000,0,3600,63.07472222222222,-100.0,227069,1.6754005812033945,0.0015768680555555555,-0.0025
2,10000,-100,40000,50,3600,13.074722222222222,-150.0,47069,1.0931745748955797,0.00032686805555555556,-0.00375
2,10000,-100,40000,100,3600,-36.92527777777778,-200.0,-132931,0.8028978673748234,-0.0009231319444444445,-0.005
2,10000,-100,40000,150,3600,-86.92527777777778,-250.0,-312931,0.6291979192587063,-0.0021731319444444445,-0.00625
2,10000,-100,40000,200,3600,-136.92527777777778,-300.0,-492931,0.5137078602913031,-0.0034231319444444444,-0.0075
3,10000,-100,120000,0,3600,62.66583333333333,-100.0,225597,1.6526387960737006,0.0015666458333333333,-0.0025
3,10000,-100,120000,50,3600,12.665833333333333,-150.0,45597,1.0879024064866991,0.00031664583333333333,-0.00375
3,10000,-100,120000,100,3600,-37.33416666666667,-200.0,-134403,0.8057611348846082,-0.0009333541666666668,-0.005
3,10000,-100,120000,150,3600,-87.33416666666666,-250.0,-314403,0.636666936313314,-0.0021833541666666663,-0.00625
3,10000,-100,120000,200,3600,-137.33416666666668,-300.0,-494403,0.5240766285885358,-0.003433354166666667,-0.0075
4,10000,-100,60000,0,3600,61.165,-100.0,220194,1.6474275666997935,0.0015291249999999999,-0.0025
4,10000,-100,60000,50,3600,11.165,-150.0,40194,1.078714837415888,0.00027912499999999997,-0.00375
4,10000,-100,60000,100,3600,-38.835,-200.0,-139806,0.7948154225255992,-0.0009708750000000001,-0.005
4,10000,-100,60000,150,3600,-88.835,-250.0,-319806,0.6248037823949694,-0.0022208749999999998,-0.00625
4,10000,-100,60000,200,3600,-138.835,-300.0,-499806,0.5116874133519355,-0.003470875,-0.0075
5,10000,-100,30000,0,3600,60.812777777777775,-100.0,218926,1.6589809733940564,0.0015203194444444444,-0.0025
5,10000,-100,30000,50,3600,10.812777777777777,-150.0,38926,1.0779617701724027,0.00027031944444444445,-0.00375
5,10000,-100,30000,100,3600,-39.187222222222225,-200.0,-141074,0.7884284580925658,-0.0009796805555555557,-0.005
5,10000,-100,30000,150,3600,-89.18722222222222,-250.0,-321074,0.6152821213319434,-0.0022296805555555555,-0.00625
5,10000,-100,30000,200,3600,-139.18722222222223,-300.0,-501074,0.5002308971275998,-0.0034796805555555557,-0.0075
6,7500,-100,40000,0,3600,60.21194444444444,-100.0,216763,1.6455141319658486,0.0015052986111111111,-0.0025
6,7500,-100,40000,50,3600,10.211944444444445,-150.0,36763,1.0728600590601898,0.0002552986111111111,-0.00375
6,7500,-100,40000,100,3600,-39.78805555555556,-200.0,-143237,0.7873645207214082,-0.000994701388888889,-0.005
6,7500,-100,40000,150,3600,-89.78805555555556,-250.0,-323237,0.6165316218428577,-0.002244701388888889,-0.00625
