target_bps,stop_bps,max_hold_ms,eligible_count,excluded_count,target_count,stop_count,timeout_count,target_rate,stop_rate,timeout_rate,positive_timeout_count,negative_timeout_count,positive_timeout_rate,negative_timeout_rate,avg_pnl_bps,median_pnl_bps,sum_pnl_bps,p10_pnl_bps,p25_pnl_bps,p75_pnl_bps,p90_pnl_bps,min_pnl_bps,max_pnl_bps,positive_result_count,negative_result_count,win_rate,loss_rate,profit_factor,expected_gross_pnl_sol_at_0_25_sol,median_gross_pnl_sol_at_0_25_sol
100,-100,10000,3600,0,363,2528,709,0.10083333333333333,0.7022222222222222,0.19694444444444445,42,97,0.05923836389280677,0.1368124118476728,-61.360277777777775,-100.0,-220897,-100.0,-100.0,0.0,100.0,-100,100,405,2625,0.1125,0.7291666666666666,0.1462983860994311,-0.0015340069444444444,-0.0025
100,-200,10000,3600,0,380,1031,2189,0.10555555555555556,0.2863888888888889,0.6080555555555556,45,1574,0.02055733211512106,0.7190497944266788,-92.34694444444445,-102.0,-332449,-200.0,-200.0,0.0,100.0,-200,100,425,2605,0.11805555555555555,0.7236111111111111,0.10672570794450909,-0.002308673611111111,-0.00255
100,-300,10000,3600,0,383,901,2316,0.1063888888888889,0.25027777777777777,0.6433333333333333,45,1701,0.019430051813471502,0.7344559585492227,-119.02972222222222,-102.0,-428507,-300.0,-300.0,0.0,100.0,-300,100,428,2602,0.11888888888888889,0.7227777777777777,0.08541663554074792,-0.0029757430555555553,-0.00255
100,-500,10000,3600,0,393,761,2446,0.10916666666666666,0.21138888888888888,0.6794444444444444,46,1830,0.018806214227309895,0.7481602616516762,-163.20083333333332,-102.0,-587523,-500.0,-294.25,0.0,100.0,-500,100,439,2591,0.12194444444444444,0.7197222222222223,0.06535423676235473,-0.004080020833333333,-0.00255
100,-700,10000,3600,0,398,627,2575,0.11055555555555556,0.17416666666666666,0.7152777777777778,48,1957,0.018640776699029128,0.76,-199.1238888888889,-102.0,-716846,-700.0,-291.0,0.0,100.0,-700,100,446,2584,0.1238888888888889,0.7177777777777777,0.05501719658151206,-0.004978097222222222,-0.00255
100,-1000,10000,3600,0,405,507,2688,0.1125,0.14083333333333334,0.7466666666666667,49,2069,0.018229166666666668,0.7697172619047619,-242.2175,-102.0,-871983,-1000.0,-291.0,0.0,100.0,-1000,100,454,2576,0.12611111111111112,0.7155555555555555,0.04649624277203818,-0.0060554375,-0.00255
100,-1500,10000,3600,0,411,383,2806,0.11416666666666667,0.1063888888888889,0.7794444444444445,49,2187,0.017462580185317177,0.7794012829650748,-300.4013888888889,-102.0,-1081445,-1500.0,-288.0,0.0,100.0,-1500,100,460,2570,0.12777777777777777,0.7138888888888889,0.038344570260882865,-0.007510034722222223,-0.00255
100,-2000,10000,3600,0,416,312,2872,0.11555555555555555,0.08666666666666667,0.7977777777777778,49,2253,0.017061281337047353,0.7844707520891365,-344.27805555555557,-102.0,-1239401,-1554.5999999999995,-283.25,0.0,100.0,-2000,100,465,2565,0.12916666666666668,0.7125,0.03399863759156117,-0.00860695138888889,-0.00255
100,-3000,10000,3600,0,420,206,2974,0.11666666666666667,0.05722222222222222,0.8261111111111111,49,2355,0.01647612642905178,0.7918628110289173,-408.4525,-102.0,-1470429,-1510.1999999999996,-278.0,0.0,100.0,-3000,100,469,2561,0.13027777777777777,0.7113888888888888,0.02906731816831193,-0.0102113125,-0.00255
100,-5000,10000,3600,0,423,91,3086,0.1175,0.025277777777777777,0.8572222222222222,50,2466,0.016202203499675955,0.7990926766040182,-477.3988888888889,-102.0,-1718636,-1483.4999999999998,-276.0,0.0,100.0,-5000,100,473,2557,0.1313888888888889,0.7102777777777778,0.025182171859517093,-0.011934972222222222,-0.00255
100,-6000,10000,3600,0,424,51,3125,0.11777777777777777,0.014166666666666666,0.8680555555555556,50,2505,0.016,0.8016,-489.29055555555556,-102.0,-1761446,-1466.6999999999998,-274.5,0.0,100.0,-6000,100,474,2556,0.13166666666666665,0.71,0.02463920511333968,-0.01223226388888889,-0.00255
200,-100,10000,3600,0,339,2533,728,0.09416666666666666,0.7036111111111111,0.20222222222222222,60,98,0.08241758241758242,0.1346153846153846,-52.05722222222222,-100.0,-187406,-100.0,-100.0,0.0,70.19999999999982,-100,200,399,2631,0.11083333333333334,0.7308333333333333,0.2773454671653877,-0.0013014305555555555,-0.0025
200,-200,10000,3600,0,351,1036,2213,0.0975,0.2877777777777778,0.6147222222222222,68,1575,0.030727519204699502,0.7117035698147312,-82.79583333333333,-102.0,-298065,-200.0,-200.0,0.0,151.19999999999982,-200,200,419,2611,0.11638888888888889,0.7252777777777778,0.2014269371220666,-0.0020698958333333333,-0.00255
200,-300,10000,3600,0,354,906,2340,0.09833333333333333,0.25166666666666665,0.65,68,1702,0.02905982905982906,0.7273504273504273,-109.53416666666666,-102.0,-394323,-300.0,-300.0,0.0,165.29999999999882,-300,200,422,2608,0.11722222222222223,0.7244444444444444,0.1612022845959945,-0.0027383541666666667,-0.00255
200,-500,10000,3600,0,362,765,2473,0.10055555555555555,0.2125,0.6869444444444445,71,1832,0.028710068742418115,0.7408006469874646,-153.67277777777778,-102.0,-553222,-500.0,-296.25,0.0,200.0,-500,200,433,2597,0.12027777777777778,0.7213888888888889,0.12326010025372465,-0.0038418194444444446,-0.00255
