rank,tercile,stable,positive_sum_terciles,positive_avg_terciles,target_bps,stop_bps,max_hold_ms,eligible_count,excluded_count,target_count,stop_count,timeout_count,target_rate,stop_rate,timeout_rate,positive_timeout_count,negative_timeout_count,positive_timeout_rate,negative_timeout_rate,avg_pnl_bps,median_pnl_bps,sum_pnl_bps,p10_pnl_bps,p25_pnl_bps,p75_pnl_bps,p90_pnl_bps,min_pnl_bps,max_pnl_bps,positive_result_count,negative_result_count,win_rate,loss_rate,profit_factor,expected_gross_pnl_sol_at_0_25_sol,median_gross_pnl_sol_at_0_25_sol
1,early,True,3,3,10000,-100,90000,1200,0,10,1136,54,0.008333333333333333,0.9466666666666667,0.045,49,5,0.9074074074074074,0.09259259259259259,90.3825,-100.0,108459,-100.0,-100.0,-100.0,-100.0,-100,10000,59,1141,0.049166666666666664,0.9508333333333333,1.9522551076850136,0.0022595625,-0.0025
1,middle,True,3,3,10000,-100,90000,1200,0,7,1160,33,0.005833333333333334,0.9666666666666667,0.0275,26,7,0.7878787878787878,0.21212121212121213,13.781666666666666,-100.0,16538,-100.0,-100.0,-100.0,-100.0,-100,10000,33,1167,0.0275,0.9725,1.141871836664665,0.00034454166666666666,-0.0025
1,late,True,3,3,10000,-100,90000,1200,0,10,1134,56,0.008333333333333333,0.945,0.04666666666666667,53,3,0.9464285714285714,0.05357142857142857,86.695,-100.0,104034,-100.0,-100.0,-100.0,-100.0,-100,10000,63,1137,0.0525,0.9475,1.9158809391754483,0.002167375,-0.0025
2,early,True,3,3,10000,-100,40000,1200,0,8,1106,86,0.006666666666666667,0.9216666666666666,0.07166666666666667,73,13,0.8488372093023255,0.1511627906976744,89.95666666666666,-100.0,107948,-100.0,-100.0,-100.0,-100.0,-100,10000,81,1119,0.0675,0.9325,1.970022644764746,0.0022489166666666664,-0.0025
2,middle,True,3,3,10000,-100,40000,1200,0,5,1134,61,0.004166666666666667,0.945,0.050833333333333335,48,13,0.7868852459016393,0.21311475409836064,26.02,-100.0,31224,-100.0,-100.0,-100.0,-100.0,-100,10000,53,1147,0.04416666666666667,0.9558333333333333,1.2731543448022467,0.0006505,-0.0025
2,late,True,3,3,10000,-100,40000,1200,0,4,1101,95,0.0033333333333333335,0.9175,0.07916666666666666,86,9,0.9052631578947369,0.09473684210526316,73.2475,-100.0,87897,-100.0,-100.0,-100.0,-100.0,-100,10000,90,1110,0.075,0.925,1.794685640923639,0.0018311875000000001,-0.0025
3,early,True,3,3,10000,-100,120000,1200,0,14,1142,44,0.011666666666666667,0.9516666666666667,0.03666666666666667,40,4,0.9090909090909091,0.09090909090909091,86.565,-100.0,103878,-100.0,-100.0,-100.0,-100.0,-100,10000,54,1146,0.045,0.955,1.9075564175818416,0.002164125,-0.0025
3,middle,True,3,3,10000,-100,120000,1200,0,9,1164,27,0.0075,0.97,0.0225,22,5,0.8148148148148148,0.18518518518518517,24.579166666666666,-100.0,29495,-100.0,-100.0,-100.0,-100.0,-100,10000,31,1169,0.025833333333333333,0.9741666666666666,1.252480290358754,0.0006144791666666666,-0.0025
3,late,True,3,3,10000,-100,120000,1200,0,11,1142,47,0.009166666666666667,0.9516666666666667,0.03916666666666667,44,3,0.9361702127659575,0.06382978723404255,76.85333333333334,-100.0,92224,-100.0,-100.0,-100.0,-100.0,-100,10000,55,1145,0.04583333333333333,0.9541666666666667,1.8062313684008078,0.0019213333333333335,-0.0025
4,early,True,3,3,10000,-100,60000,1200,0,9,1120,71,0.0075,0.9333333333333333,0.059166666666666666,64,7,0.9014084507042254,0.09859154929577464,92.00666666666666,-100.0,110408,-100.0,-100.0,-100.0,-100.0,-100,10000,73,1127,0.060833333333333336,0.9391666666666667,1.9819980076846448,0.0023001666666666665,-0.0025
4,middle,True,3,3,10000,-100,60000,1200,0,6,1149,45,0.005,0.9575,0.0375,37,8,0.8222222222222222,0.17777777777777778,17.453333333333333,-100.0,20944,-100.0,-100.0,-100.0,-100.0,-100,10000,43,1157,0.035833333333333335,0.9641666666666666,1.181372591470015,0.00043633333333333333,-0.0025
