target_bps,stop_bps,max_hold_ms,eligible_count,excluded_count,target_count,stop_count,timeout_count,target_rate,stop_rate,timeout_rate,positive_timeout_count,negative_timeout_count,positive_timeout_rate,negative_timeout_rate,avg_pnl_bps,median_pnl_bps,sum_pnl_bps,p10_pnl_bps,p25_pnl_bps,p75_pnl_bps,p90_pnl_bps,min_pnl_bps,max_pnl_bps,positive_result_count,negative_result_count,win_rate,loss_rate,profit_factor,expected_gross_pnl_sol_at_0_25_sol,median_gross_pnl_sol_at_0_25_sol
10000,-100,90000,3600,0,27,3430,143,0.0075,0.9527777777777777,0.03972222222222222,128,15,0.8951048951048951,0.1048951048951049,63.61972222222222,-100.0,229031,-100.0,-100.0,-100.0,-100.0,-100,10000,155,3445,0.043055555555555555,0.9569444444444445,1.6656794242797683,0.0015904930555555555,-0.0025
10000,-100,40000,3600,0,17,3341,242,0.004722222222222222,0.9280555555555555,0.06722222222222222,207,35,0.8553719008264463,0.1446280991735537,63.07472222222222,-100.0,227069,-100.0,-100.0,-100.0,-100.0,-100,10000,224,3376,0.06222222222222222,0.9377777777777778,1.6754005812033945,0.0015768680555555555,-0.0025
10000,-100,120000,3600,0,34,3448,118,0.009444444444444445,0.9577777777777777,0.03277777777777778,106,12,0.8983050847457628,0.1016949152542373,62.66583333333333,-100.0,225597,-100.0,-100.0,-100.0,-100.0,-100,10000,140,3460,0.03888888888888889,0.9611111111111111,1.6526387960737006,0.0015666458333333333,-0.0025
10000,-100,60000,3600,0,22,3389,189,0.006111111111111111,0.9413888888888889,0.0525,170,19,0.8994708994708994,0.10052910052910052,61.165,-100.0,220194,-100.0,-100.0,-100.0,-100.0,-100,10000,192,3408,0.05333333333333334,0.9466666666666667,1.6474275666997935,0.0015291249999999999,-0.0025
10000,-100,30000,3600,0,13,3296,291,0.003611111111111111,0.9155555555555556,0.08083333333333333,250,41,0.8591065292096219,0.140893470790378,60.812777777777775,-100.0,218926,-100.0,-100.0,-100.0,-100.0,-100,10000,263,3337,0.07305555555555555,0.9269444444444445,1.6589809733940564,0.0015203194444444444,-0.0025
7500,-100,40000,3600,0,30,3337,233,0.008333333333333333,0.9269444444444445,0.06472222222222222,198,35,0.8497854077253219,0.15021459227467812,60.21194444444444,-100.0,216763,-100.0,-100.0,-100.0,-100.0,-100,7500,228,3372,0.06333333333333334,0.9366666666666666,1.6455141319658486,0.0015052986111111111,-0.0025
10000,-100,20000,3600,0,10,3230,360,0.002777777777777778,0.8972222222222223,0.1,298,61,0.8277777777777777,0.16944444444444445,59.568888888888885,-100.0,214448,-100.0,-100.0,-100.0,-87.70000000000027,-100,10000,308,3291,0.08555555555555555,0.9141666666666667,1.656712030084398,0.001489222222222222,-0.0025
6000,-100,120000,3600,0,70,3429,101,0.019444444444444445,0.9525,0.028055555555555556,89,12,0.8811881188118812,0.1188118811881188,59.345,-100.0,213642,-100.0,-100.0,-100.0,-100.0,-100,6000,159,3441,0.04416666666666667,0.9558333333333333,1.6214696496775451,0.001483625,-0.0025
7500,-100,90000,3600,0,44,3425,131,0.012222222222222223,0.9513888888888888,0.03638888888888889,116,15,0.8854961832061069,0.11450381679389313,59.20388888888889,-100.0,213134,-100.0,-100.0,-100.0,-100.0,-100,7500,160,3440,0.044444444444444446,0.9555555555555556,1.620376299642562,0.0014800972222222223,-0.0025
7500,-100,30000,3600,0,22,3294,284,0.006111111111111111,0.915,0.07888888888888888,243,41,0.8556338028169014,0.1443661971830986,58.913333333333334,-100.0,212088,-100.0,-100.0,-100.0,-100.0,-100,7500,265,3335,0.07361111111111111,0.9263888888888889,1.6387827202660088,0.0014728333333333334,-0.0025
