mask_name,target_bps,stop_bps,max_hold_ms,paired_delta_cost0,paired_delta_sum_cost0,paired_delta_avg_cost0,paired_delta_median_cost0,absolute_baseline_pnl_cost0,absolute_tsv2_pnl_cost0,paired_delta_cost50,paired_delta_sum_cost50,paired_delta_avg_cost50,paired_delta_median_cost50,absolute_baseline_pnl_cost50,absolute_tsv2_pnl_cost50,paired_delta_cost100,paired_delta_sum_cost100,paired_delta_avg_cost100,paired_delta_median_cost100,absolute_baseline_pnl_cost100,absolute_tsv2_pnl_cost100,paired_delta_cost150,paired_delta_sum_cost150,paired_delta_avg_cost150,paired_delta_median_cost150,absolute_baseline_pnl_cost150,absolute_tsv2_pnl_cost150,paired_delta_cost200,paired_delta_sum_cost200,paired_delta_avg_cost200,paired_delta_median_cost200,absolute_baseline_pnl_cost200,absolute_tsv2_pnl_cost200
M0_ALL,1000,-6000,30000,207479,207479,43.698188711036224,0.0,-1407444,-1199965,207479,207479,43.698188711036224,0.0,-1644844,-1437365,207479,207479,43.698188711036224,0.0,-1882244,-1674765,207479,207479,43.698188711036224,0.0,-2119644,-1912165,207479,207479,43.698188711036224,0.0,-2357044,-2149565
M0_ALL,1000,-6000,60000,403508,403508,84.98483572030328,0.0,-1605629,-1202121,403508,403508,84.98483572030328,0.0,-1843029,-1439521,403508,403508,84.98483572030328,0.0,-2080429,-1676921,403508,403508,84.98483572030328,0.0,-2317829,-1914321,403508,403508,84.98483572030328,0.0,-2555229,-2151721
M0_ALL,1000,-6000,120000,612366,612366,128.97346251053074,0.0,-1814063,-1201697,612366,612366,128.97346251053074,0.0,-2051463,-1439097,612366,612366,128.97346251053074,0.0,-2288863,-1676497,612366,612366,128.97346251053074,0.0,-2526263,-1913897,612366,612366,128.97346251053074,0.0,-2763663,-2151297
M0_ALL,1000,-5000,30000,199155,199155,41.94502948609941,0.0,-1371462,-1172307,199155,199155,41.94502948609941,0.0,-1608862,-1409707,199155,199155,41.94502948609941,0.0,-1846262,-1647107,199155,199155,41.94502948609941,0.0,-2083662,-1884507,199155,199155,41.94502948609941,0.0,-2321062,-2121907
M0_ALL,1000,-5000,60000,372951,372951,78.54907329401854,0.0,-1547427,-1174476,372951,372951,78.54907329401854,0.0,-1784827,-1411876,372951,372951,78.54907329401854,0.0,-2022227,-1649276,372951,372951,78.54907329401854,0.0,-2259627,-1886676,372951,372951,78.54907329401854,0.0,-2497027,-2124076
M0_ALL,1000,-5000,120000,589340,589340,124.12384161752317,0.0,-1763392,-1174052,589340,589340,124.12384161752317,0.0,-2000792,-1411452,589340,589340,124.12384161752317,0.0,-2238192,-1648852,589340,589340,124.12384161752317,0.0,-2475592,-1886252,589340,589340,124.12384161752317,0.0,-2712992,-2123652
M0_ALL,1000,-3000,30000,143105,143105,30.14005897219882,0.0,-1204587,-1061482,143105,143105,30.14005897219882,0.0,-1441987,-1298882,143105,143105,30.14005897219882,0.0,-1679387,-1536282,143105,143105,30.14005897219882,0.0,-1916787,-1773682,143105,143105,30.14005897219882,0.0,-2154187,-2011082
M0_ALL,1000,-3000,60000,237653,237653,50.05328559393429,0.0,-1293877,-1056224,237653,237653,50.05328559393429,0.0,-1531277,-1293624,237653,237653,50.05328559393429,0.0,-1768677,-1531024,237653,237653,50.05328559393429,0.0,-2006077,-1768424,237653,237653,50.05328559393429,0.0,-2243477,-2005824
M0_ALL,1000,-3000,120000,387351,387351,81.58192923336142,0.0,-1444437,-1057086,387351,387351,81.58192923336142,0.0,-1681837,-1294486,387351,387351,81.58192923336142,0.0,-1919237,-1531886,387351,387351,81.58192923336142,0.0,-2156637,-1769286,387351,387351,81.58192923336142,0.0,-2394037,-2006686
M0_ALL,1000,-2000,30000,79050,79050,16.649115417017693,0.0,-1016523,-937473,79050,79050,16.649115417017693,0.0,-1253923,-1174873,79050,79050,16.649115417017693,0.0,-1491323,-1412273,79050,79050,16.649115417017693,0.0,-1728723,-1649673,79050,79050,16.649115417017693,0.0,-1966123,-1887073
M0_ALL,1000,-2000,60000,133127,133127,28.03854254422915,0.0,-1067589,-934462,133127,133127,28.03854254422915,0.0,-1304989,-1171862,133127,133127,28.03854254422915,0.0,-1542389,-1409262,133127,133127,28.03854254422915,0.0,-1779789,-1646662,133127,133127,28.03854254422915,0.0,-2017189,-1884062
M0_ALL,1000,-2000,120000,238898,238898,50.315501263689974,0.0,-1174222,-935324,238898,238898,50.315501263689974,0.0,-1411622,-1172724,238898,238898,50.315501263689974,0.0,-1649022,-1410124,238898,238898,50.315501263689974,0.0,-1886422,-1647524,238898,238898,50.315501263689974,0.0,-2123822,-1884924
M0_ALL,1000,-1500,30000,56566,56566,11.913647851727044,0.0,-874940,-818374,56566,56566,11.913647851727044,0.0,-1112340,-1055774,56566,56566,11.913647851727044,0.0,-1349740,-1293174,56566,56566,11.913647851727044,0.0,-1587140,-1530574,56566,56566,11.913647851727044,0.0,-1824540,-1767974
M0_ALL,1000,-1500,60000,82891,82891,17.45808761583825,0.0,-899609,-816718,82891,82891,17.45808761583825,0.0,-1137009,-1054118,82891,82891,17.45808761583825,0.0,-1374409,-1291518,82891,82891,17.45808761583825,0.0,-1611809,-1528918,82891,82891,17.45808761583825,0.0,-1849209,-1766318
M0_ALL,1000,-1500,120000,180837,180837,38.08698399326032,0.0,-998417,-817580,180837,180837,38.08698399326032,0.0,-1235817,-1054980,180837,180837,38.08698399326032,0.0,-1473217,-1292380,180837,180837,38.08698399326032,0.0,-1710617,-1529780,180837,180837,38.08698399326032,0.0,-1948017,-1767180
M0_ALL,1000,-1000,30000,42468,42468,8.944397641112047,0.0,-706816,-664348,42468,42468,8.944397641112047,0.0,-944216,-901748,42468,42468,8.944397641112047,0.0,-1181616,-1139148,42468,42468,8.944397641112047,0.0,-1419016,-1376548,42468,42468,8.944397641112047,0.0,-1656416,-1613948
M0_ALL,1000,-1000,60000,55217,55217,11.629528222409435,0.0,-718663,-663446,55217,55217,11.629528222409435,0.0,-956063,-900846,55217,55217,11.629528222409435,0.0,-1193463,-1138246,55217,55217,11.629528222409435,0.0,-1430863,-1375646,55217,55217,11.629528222409435,0.0,-1668263,-1613046
M0_ALL,1000,-1000,120000,136254,136254,28.697135636057286,0.0,-799700,-663446,136254,136254,28.697135636057286,0.0,-1037100,-900846,136254,136254,28.697135636057286,0.0,-1274500,-1138246,136254,136254,28.697135636057286,0.0,-1511900,-1375646,136254,136254,28.697135636057286,0.0,-1749300,-1613046
