mask_name,target_bps,stop_bps,max_hold_ms,cost100_supported_rows,cost100_unsupported_rows,cost100_action_taken_count,cost100_no_action_count,cost100_baseline_target_count,cost100_baseline_stop_count,cost100_baseline_timeout_count,cost100_baseline_sum_after_cost_bps,cost100_baseline_avg_after_cost_bps,cost100_baseline_median_after_cost_bps,cost100_tsv2_sum_after_cost_bps,cost100_tsv2_avg_after_cost_bps,cost100_tsv2_median_after_cost_bps,cost100_delta_sum_bps,cost100_delta_avg_bps,cost100_delta_median_bps,cost100_action_delta_avg_bps,cost100_action_delta_median_bps,cost100_beneficial_exit_count,cost100_harmful_exit_count,cost100_neutral_exit_count,cost100_exit_action_precision,cost100_exit_action_precision_denominator,cost100_exit_action_precision_wilson95_lower,cost100_saved_stop_count,cost100_saved_stop_damage_bps,cost100_target_cut_count,cost100_target_cut_damage_bps,cost100_timeout_improved_count,cost100_timeout_improved_bps,cost100_generic_beneficial_count,cost100_generic_beneficial_bps,cost100_gross_saved_damage_bps,cost100_harmful_damage_bps,cost100_target_cut_damage_ratio,cost100_target_cut_damage_guard_pass,cost100_target_cut_count_guard_pass,cost100_target_cut_count_guard_limit,cost100_stale_no_action_exclusions,cost100_no_candidate_exclusions,cost100_not_active_exit_eligible_exclusions,cost100_candidate_after_baseline_exclusions,cost100_candidate_after_max_hold_exclusions,cost100_ambiguous_unjoined_exclusions,cost100_lifecycle_without_exit_replay_exclusions,cost100_exact_rows,cost100_path_approx_rows,cost100_baseline_unavailable_rows,cost100_max_consecutive_harmful_actions,cost100_classification_counts,cost100_exclusion_counts,cost100_aggregate_target_cut_damage_guard_pass,cost100_aggregate_target_cut_count_guard_pass,cost100_segment_target_cut_damage_guard_pass,cost100_segment_target_cut_damage_fail_segments,cost100_segment_target_cut_damage_ratios,cost100_row_verdict,cost100_public_row_verdict
M0_ALL,1000,-6000,30000,4748,856,4361,387,443,49,4256,-1882244,-396.42881213142374,-202.0,-1674765,-352.73062342038753,-202.0,207479,43.698188711036224,0.0,47.57601467553314,0.0,687,456,3218,0.6010498687664042,1143,0.5723686459361212,18,54008,142,176597,669,457996,0,0,512004,304525,0.34491332098967975,False,False,84.9,15,110,0,145,117,0,856,4748,0,0,,"{""cut_target"": 142, ""harmful_exit"": 314, ""neutral_exit"": 3218, ""no_active_exit"": 387, ""no_exit_replay"": 856, ""saved_stop"": 18, ""timeout_improved"": 669}","{""candidate_after_baseline_exit"": 145, ""candidate_after_max_hold"": 117, ""lifecycle_without_exit_replay"": 856, ""no_candidate"": 110, ""none"": 4361, ""stale_data_no_action"": 15}",False,False,False,"train,validation,holdout","{""holdout"": 0.3960741064111696, ""train"": 0.34815619821299487, ""validation"": 0.3036983793618527}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-6000,60000,4748,856,4389,359,584,75,4089,-2080429,-438.1695450716091,-202.0,-1676921,-353.18470935130586,-202.0,403508,84.98483572030328,0.0,91.93620414673046,0.0,1003,558,2828,0.6425368353619475,1561,0.6184390544618463,43,150218,274,352623,960,717544,0,0,867762,464254,0.406359116900717,False,False,139.0,15,110,0,218,16,0,856,4748,0,0,,"{""cut_target"": 274, ""harmful_exit"": 284, ""neutral_exit"": 2828, ""no_active_exit"": 359, ""no_exit_replay"": 856, ""saved_stop"": 43, ""timeout_improved"": 960}","{""candidate_after_baseline_exit"": 218, ""candidate_after_max_hold"": 16, ""lifecycle_without_exit_replay"": 856, ""no_candidate"": 110, ""none"": 4389, ""stale_data_no_action"": 15}",False,False,False,"train,validation,holdout","{""holdout"": 0.4162737137621773, ""train"": 0.41702174410076576, ""validation"": 0.3860544159651104}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-6000,120000,4748,856,4391,357,692,93,3963,-2288863,-482.0688711036226,-202.0,-1676497,-353.09540859309186,-202.0,612366,128.97346251053074,0.0,139.45934866772944,0.0,1358,576,2457,0.7021716649431231,1934,0.6814062050101617,61,225890,381,492198,1297,950594,0,0,1176484,564118,0.41836353065575055,False,False,190.70000000000002,15,110,0,229,3,0,856,4748,0,0,,"{""cut_target"": 381, ""harmful_exit"": 195, ""neutral_exit"": 2457, ""no_active_exit"": 357, ""no_exit_replay"": 856, ""saved_stop"": 61, ""timeout_improved"": 1297}","{""candidate_after_baseline_exit"": 229, ""candidate_after_max_hold"": 3, ""lifecycle_without_exit_replay"": 856, ""no_candidate"": 110, ""none"": 4391, ""stale_data_no_action"": 15}",False,False,False,"train,validation,holdout","{""holdout"": 0.4114159247700636, ""train"": 0.42565450871620186, ""validation"": 0.41580563574316826}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-5000,30000,4748,856,4344,404,442,89,4217,-1846262,-388.85046335299074,-202.0,-1647107,-346.9054338668913,-202.0,199155,41.94502948609941,0.0,45.84599447513812,0.0,678,449,3217,0.6015971606033718,1127,0.5727160358984946,38,104220,142,176597,640,390512,0,0,494732,295577,0.35695487657964314,False,False,102.0,15,110,0,162,117,0,856,4748,0,0,,"{""cut_target"": 142, ""harmful_exit"": 307, ""neutral_exit"": 3217, ""no_active_exit"": 404, ""no_exit_replay"": 856, ""saved_stop"": 38, ""timeout_improved"": 640}","{""candidate_after_baseline_exit"": 162, ""candidate_after_max_hold"": 117, ""lifecycle_without_exit_replay"": 856, ""no_candidate"": 110, ""none"": 4344, ""stale_data_no_action"": 15}",False,False,False,"train,validation,holdout","{""holdout"": 0.4024357028909381, ""train"": 0.3613351025824232, ""validation"": 0.31759323964835834}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-5000,60000,4748,856,4369,379,582,133,4033,-2022227,-425.9113310867734,-202.0,-1649276,-347.3622577927548,-202.0,372951,78.54907329401854,0.0,85.36301213092241,0.0,993,549,2827,0.6439688715953308,1542,0.6197389944623442,79,229476,274,352623,914,595276,0,0,824752,451801,0.4275503424059596,False,False,170.4,15,110,0,238,16,0,856,4748,0,0,,"{""cut_target"": 274, ""harmful_exit"": 275, ""neutral_exit"": 2827, ""no_active_exit"": 379, ""no_exit_replay"": 856, ""saved_stop"": 79, ""timeout_improved"": 914}","{""candidate_after_baseline_exit"": 238, ""candidate_after_max_hold"": 16, ""lifecycle_without_exit_replay"": 856, ""no_candidate"": 110, ""none"": 4369, ""stale_data_no_action"": 15}",False,False,False,"train,validation,holdout","{""holdout"": 0.4312083970030605, ""train"": 0.4387096572663776, ""validation"": 0.4114993870921981}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-5000,120000,4748,856,4371,377,687,162,3899,-2238192,-471.39679865206404,-202.0,-1648852,-347.27295703454087,-202.0,589340,124.12384161752317,0.0,134.82955845344316,0.0,1351,564,2456,0.7054830287206266,1915,0.6846723558933387,108,339239,378,481132,1243,791933,0,0,1131172,541832,0.42533938251654035,False,False,232.3,15,110,0,249,3,0,856,4748,0,0,,"{""cut_target"": 378, ""harmful_exit"": 186, ""neutral_exit"": 2456, ""no_active_exit"": 377, ""no_exit_replay"": 856, ""saved_stop"": 108, ""timeout_improved"": 1243}","{""candidate_after_baseline_exit"": 249, ""candidate_after_max_hold"": 3, ""lifecycle_without_exit_replay"": 856, ""no_candidate"": 110, ""none"": 4371, ""stale_data_no_action"": 15}",False,False,False,"train,validation,holdout","{""holdout"": 0.40798493815816733, ""train"": 0.4305899403590345, ""validation"": 0.4349947601013602}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-3000,30000,4748,856,4267,481,427,233,4088,-1679387,-353.70408593091827,-202.0,-1536282,-323.56402695871947,-202.0,143105,30.14005897219882,0.0,33.537614248886804,0.0,640,424,3203,0.6015037593984962,1064,0.5717716105162097,88,149412,139,163318,552,253206,0,0,402618,259513,0.40564008563948956,False,True,143.2,15,110,0,239,117,0,856,4748,0,0,,"{""cut_target"": 139, ""harmful_exit"": 285, ""neutral_exit"": 3203, ""no_active_exit"": 481, ""no_exit_replay"": 856, ""saved_stop"": 88, ""timeout_improved"": 552}","{""candidate_after_baseline_exit"": 239, ""candidate_after_max_hold"": 117, ""lifecycle_without_exit_replay"": 856, ""no_candidate"": 110, ""none"": 4267, ""stale_data_no_action"": 15}",False,True,False,"train,validation,holdout","{""holdout"": 0.4406414662084765, ""train"": 0.38632257249352453, ""validation"": 0.4000059170284683}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-3000,60000,4748,856,4289,459,561,298,3889,-1768677,-372.509898904802,-202.0,-1531024,-322.45661331086774,-202.0,237653,50.05328559393429,0.0,55.40988575425507,0.0,945,525,2819,0.6428571428571429,1470,0.6180194576552701,150,279825,265,320038,795,365203,0,0,645028,407375,0.4961614069466752,False,False,229.5,15,110,0,318,16,0,856,4748,0,0,,"{""cut_target"": 265, ""harmful_exit"": 260, ""neutral_exit"": 2819, ""no_active_exit"": 459, ""no_exit_replay"": 856, ""saved_stop"": 150, ""timeout_improved"": 795}","{""candidate_after_baseline_exit"": 318, ""candidate_after_max_hold"": 16, ""lifecycle_without_exit_replay"": 856, ""no_candidate"": 110, ""none"": 4289, ""stale_data_no_action"": 15}",False,False,False,"train,validation,holdout","{""holdout"": 0.46951429000880374, ""train"": 0.5177023404071311, ""validation"": 0.4949264321077421}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-3000,120000,4748,856,4290,458,662,348,3738,-1919237,-404.22009267059815,-202.0,-1531886,-322.6381634372367,-202.0,387351,81.58192923336142,0.0,90.29160839160839,0.0,1301,541,2448,0.7062975027144408,1842,0.6850859815111797,200,395056,366,441115,1101,485209,0,0,880265,492914,0.5011161411620364,False,False,310.1,15,110,0,330,3,0,856,4748,0,0,,"{""cut_target"": 366, ""harmful_exit"": 175, ""neutral_exit"": 2448, ""no_active_exit"": 458, ""no_exit_replay"": 856, ""saved_stop"": 200, ""timeout_improved"": 1101}","{""candidate_after_baseline_exit"": 330, ""candidate_after_max_hold"": 3, ""lifecycle_without_exit_replay"": 856, ""no_candidate"": 110, ""none"": 4290, ""stale_data_no_action"": 15}",False,False,False,"train,validation,holdout","{""holdout"": 0.4614871548907341, ""train"": 0.5230398077359312, ""validation"": 0.5130390876643162}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-2000,30000,4748,856,4175,573,411,370,3967,-1491323,-314.09498736310024,-202.0,-1412273,-297.44587194608255,-202.0,79050,16.649115417017693,0.0,18.934131736526947,0.0,598,394,3183,0.6028225806451613,992,0.5720327020858464,109,151117,136,154611,489,163730,0,0,314847,235797,0.4910670897292971,False,True,157.9,15,110,0,331,117,0,856,4748,0,0,,"{""cut_target"": 136, ""harmful_exit"": 258, ""neutral_exit"": 3183, ""no_active_exit"": 573, ""no_exit_replay"": 856, ""saved_stop"": 109, ""timeout_improved"": 489}","{""candidate_after_baseline_exit"": 331, ""candidate_after_max_hold"": 117, ""lifecycle_without_exit_replay"": 856, ""no_candidate"": 110, ""none"": 4175, ""stale_data_no_action"": 15}",False,True,False,"train,validation,holdout","{""holdout"": 0.42831038308425246, ""train"": 0.49825227530126864, ""validation"": 0.5398590508894169}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
