target_bps,stop_bps,max_hold_ms,roundtrip_cost_bps,supported_rows,unsupported_rows,action_taken_count,no_action_count,baseline_target_count,baseline_stop_count,baseline_timeout_count,baseline_sum_after_cost_bps,baseline_avg_after_cost_bps,baseline_median_after_cost_bps,tsv2_sum_after_cost_bps,tsv2_avg_after_cost_bps,tsv2_median_after_cost_bps,delta_sum_bps,delta_avg_bps,delta_median_bps,action_delta_avg_bps,action_delta_median_bps,beneficial_exit_count,harmful_exit_count,neutral_exit_count,exit_action_precision,exit_action_precision_denominator,exit_action_precision_wilson95_lower,saved_stop_count,saved_stop_damage_bps,target_cut_count,target_cut_damage_bps,timeout_improved_count,timeout_improved_bps,generic_beneficial_count,generic_beneficial_bps,gross_saved_damage_bps,harmful_damage_bps,target_cut_damage_guard_pass,target_cut_count_guard_pass,target_cut_count_guard_limit,stale_no_action_exclusions,no_candidate_exclusions,not_active_exit_eligible_exclusions,candidate_after_baseline_exclusions,candidate_after_max_hold_exclusions,ambiguous_unjoined_exclusions,lifecycle_without_exit_replay_exclusions,exact_rows,path_approx_rows,baseline_unavailable_rows,max_consecutive_harmful_actions,classification_counts,exclusion_counts
1000,-200,30000,0,3079,515,2316,763,220,784,2075,-105593,-34.294576161091264,-102.0,-130592,-42.41377070477428,-102.0,-24999,-8.119194543683014,0.0,-10.794041450777202,0.0,304,165,1847,0.6481876332622601,469,0.6039245176374485,203,32287,52,40633,101,6225,0,0,38512,63511,False,True,213.1,8,74,1,595,85,0,515,3079,0,0,2,"{""cut_target"": 52, ""harmful_exit"": 113, ""neutral_exit"": 1847, ""no_active_exit"": 763, ""no_exit_replay"": 515, ""saved_stop"": 203, ""timeout_improved"": 101}","{""candidate_after_baseline_exit"": 595, ""candidate_after_max_hold"": 85, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2316, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
1000,-200,30000,50,3079,515,2316,763,220,784,2075,-259543,-84.29457616109126,-152.0,-284542,-92.41377070477428,-152.0,-24999,-8.119194543683014,0.0,-10.794041450777202,0.0,304,165,1847,0.6481876332622601,469,0.6039245176374485,203,32287,52,40633,101,6225,0,0,38512,63511,False,True,213.1,8,74,1,595,85,0,515,3079,0,0,2,"{""cut_target"": 52, ""harmful_exit"": 113, ""neutral_exit"": 1847, ""no_active_exit"": 763, ""no_exit_replay"": 515, ""saved_stop"": 203, ""timeout_improved"": 101}","{""candidate_after_baseline_exit"": 595, ""candidate_after_max_hold"": 85, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2316, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
1000,-200,30000,100,3079,515,2316,763,220,784,2075,-413493,-134.29457616109127,-202.0,-438492,-142.41377070477427,-202.0,-24999,-8.119194543683014,0.0,-10.794041450777202,0.0,304,165,1847,0.6481876332622601,469,0.6039245176374485,203,32287,52,40633,101,6225,0,0,38512,63511,False,True,213.1,8,74,1,595,85,0,515,3079,0,0,2,"{""cut_target"": 52, ""harmful_exit"": 113, ""neutral_exit"": 1847, ""no_active_exit"": 763, ""no_exit_replay"": 515, ""saved_stop"": 203, ""timeout_improved"": 101}","{""candidate_after_baseline_exit"": 595, ""candidate_after_max_hold"": 85, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2316, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
1000,-200,30000,150,3079,515,2316,763,220,784,2075,-567443,-184.29457616109127,-252.0,-592442,-192.41377070477427,-252.0,-24999,-8.119194543683014,0.0,-10.794041450777202,0.0,304,165,1847,0.6481876332622601,469,0.6039245176374485,203,32287,52,40633,101,6225,0,0,38512,63511,False,True,213.1,8,74,1,595,85,0,515,3079,0,0,2,"{""cut_target"": 52, ""harmful_exit"": 113, ""neutral_exit"": 1847, ""no_active_exit"": 763, ""no_exit_replay"": 515, ""saved_stop"": 203, ""timeout_improved"": 101}","{""candidate_after_baseline_exit"": 595, ""candidate_after_max_hold"": 85, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2316, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
1000,-200,30000,200,3079,515,2316,763,220,784,2075,-721393,-234.29457616109127,-302.0,-746392,-242.41377070477427,-302.0,-24999,-8.119194543683014,0.0,-10.794041450777202,0.0,304,165,1847,0.6481876332622601,469,0.6039245176374485,203,32287,52,40633,101,6225,0,0,38512,63511,False,True,213.1,8,74,1,595,85,0,515,3079,0,0,2,"{""cut_target"": 52, ""harmful_exit"": 113, ""neutral_exit"": 1847, ""no_active_exit"": 763, ""no_exit_replay"": 515, ""saved_stop"": 203, ""timeout_improved"": 101}","{""candidate_after_baseline_exit"": 595, ""candidate_after_max_hold"": 85, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2316, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
1000,-200,60000,0,3079,515,2319,760,265,895,1919,-74610,-24.231893471906464,-102.0,-131032,-42.556674244884704,-102.0,-56422,-18.32478077297824,0.0,-24.33031479085813,0.0,478,222,1619,0.6828571428571428,700,0.6474648764492617,313,45229,95,77492,165,8213,0,0,53442,109864,False,True,329.5,8,74,1,667,10,0,515,3079,0,0,3,"{""cut_target"": 95, ""harmful_exit"": 127, ""neutral_exit"": 1619, ""no_active_exit"": 760, ""no_exit_replay"": 515, ""saved_stop"": 313, ""timeout_improved"": 165}","{""candidate_after_baseline_exit"": 667, ""candidate_after_max_hold"": 10, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2319, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
1000,-200,60000,50,3079,515,2319,760,265,895,1919,-228560,-74.23189347190646,-152.0,-284982,-92.5566742448847,-152.0,-56422,-18.32478077297824,0.0,-24.33031479085813,0.0,478,222,1619,0.6828571428571428,700,0.6474648764492617,313,45229,95,77492,165,8213,0,0,53442,109864,False,True,329.5,8,74,1,667,10,0,515,3079,0,0,3,"{""cut_target"": 95, ""harmful_exit"": 127, ""neutral_exit"": 1619, ""no_active_exit"": 760, ""no_exit_replay"": 515, ""saved_stop"": 313, ""timeout_improved"": 165}","{""candidate_after_baseline_exit"": 667, ""candidate_after_max_hold"": 10, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2319, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
1000,-200,60000,100,3079,515,2319,760,265,895,1919,-382510,-124.23189347190646,-202.0,-438932,-142.5566742448847,-202.0,-56422,-18.32478077297824,0.0,-24.33031479085813,0.0,478,222,1619,0.6828571428571428,700,0.6474648764492617,313,45229,95,77492,165,8213,0,0,53442,109864,False,True,329.5,8,74,1,667,10,0,515,3079,0,0,3,"{""cut_target"": 95, ""harmful_exit"": 127, ""neutral_exit"": 1619, ""no_active_exit"": 760, ""no_exit_replay"": 515, ""saved_stop"": 313, ""timeout_improved"": 165}","{""candidate_after_baseline_exit"": 667, ""candidate_after_max_hold"": 10, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2319, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
1000,-200,60000,150,3079,515,2319,760,265,895,1919,-536460,-174.23189347190646,-252.0,-592882,-192.5566742448847,-252.0,-56422,-18.32478077297824,0.0,-24.33031479085813,0.0,478,222,1619,0.6828571428571428,700,0.6474648764492617,313,45229,95,77492,165,8213,0,0,53442,109864,False,True,329.5,8,74,1,667,10,0,515,3079,0,0,3,"{""cut_target"": 95, ""harmful_exit"": 127, ""neutral_exit"": 1619, ""no_active_exit"": 760, ""no_exit_replay"": 515, ""saved_stop"": 313, ""timeout_improved"": 165}","{""candidate_after_baseline_exit"": 667, ""candidate_after_max_hold"": 10, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2319, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
1000,-200,60000,200,3079,515,2319,760,265,895,1919,-690410,-224.23189347190646,-302.0,-746832,-242.5566742448847,-302.0,-56422,-18.32478077297824,0.0,-24.33031479085813,0.0,478,222,1619,0.6828571428571428,700,0.6474648764492617,313,45229,95,77492,165,8213,0,0,53442,109864,False,True,329.5,8,74,1,667,10,0,515,3079,0,0,3,"{""cut_target"": 95, ""harmful_exit"": 127, ""neutral_exit"": 1619, ""no_active_exit"": 760, ""no_exit_replay"": 515, ""saved_stop"": 313, ""timeout_improved"": 165}","{""candidate_after_baseline_exit"": 667, ""candidate_after_max_hold"": 10, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2319, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
1000,-200,120000,0,3079,515,2319,760,298,1080,1701,-68900,-22.377395258200714,-102.0,-131032,-42.556674244884704,-102.0,-62132,-20.17927898668399,0.0,-26.79258300991807,0.0,693,222,1404,0.7573770491803279,915,0.7285629087065073,498,65133,128,110580,195,7942,0,0,73075,135207,False,True,517.5,8,74,1,676,1,0,515,3079,0,0,3,"{""cut_target"": 128, ""harmful_exit"": 94, ""neutral_exit"": 1404, ""no_active_exit"": 760, ""no_exit_replay"": 515, ""saved_stop"": 498, ""timeout_improved"": 195}","{""candidate_after_baseline_exit"": 676, ""candidate_after_max_hold"": 1, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2319, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
1000,-200,120000,50,3079,515,2319,760,298,1080,1701,-222850,-72.37739525820072,-152.0,-284982,-92.5566742448847,-152.0,-62132,-20.17927898668399,0.0,-26.79258300991807,0.0,693,222,1404,0.7573770491803279,915,0.7285629087065073,498,65133,128,110580,195,7942,0,0,73075,135207,False,True,517.5,8,74,1,676,1,0,515,3079,0,0,3,"{""cut_target"": 128, ""harmful_exit"": 94, ""neutral_exit"": 1404, ""no_active_exit"": 760, ""no_exit_replay"": 515, ""saved_stop"": 498, ""timeout_improved"": 195}","{""candidate_after_baseline_exit"": 676, ""candidate_after_max_hold"": 1, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2319, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
