target_bps,stop_bps,max_hold_ms,segment,roundtrip_cost_bps,supported_rows,unsupported_rows,action_taken_count,no_action_count,baseline_target_count,baseline_stop_count,baseline_timeout_count,baseline_sum_after_cost_bps,baseline_avg_after_cost_bps,baseline_median_after_cost_bps,tsv2_sum_after_cost_bps,tsv2_avg_after_cost_bps,tsv2_median_after_cost_bps,delta_sum_bps,delta_avg_bps,delta_median_bps,action_delta_avg_bps,action_delta_median_bps,beneficial_exit_count,harmful_exit_count,neutral_exit_count,exit_action_precision,exit_action_precision_denominator,exit_action_precision_wilson95_lower,saved_stop_count,saved_stop_damage_bps,target_cut_count,target_cut_damage_bps,timeout_improved_count,timeout_improved_bps,generic_beneficial_count,generic_beneficial_bps,gross_saved_damage_bps,harmful_damage_bps,target_cut_damage_guard_pass,target_cut_count_guard_pass,target_cut_count_guard_limit,stale_no_action_exclusions,no_candidate_exclusions,not_active_exit_eligible_exclusions,candidate_after_baseline_exclusions,candidate_after_max_hold_exclusions,ambiguous_unjoined_exclusions,lifecycle_without_exit_replay_exclusions,exact_rows,path_approx_rows,baseline_unavailable_rows,max_consecutive_harmful_actions,classification_counts,exclusion_counts
1000,-200,30000,train,100,1027,0,757,270,71,291,665,-135795,-132.22492697176241,-202.0,-148136,-144.2414800389484,-202.0,-12341,-12.016553067185978,0.0,-16.30250990752972,0.0,115,73,569,0.6117021276595744,188,0.5404640289877606,79,11397,20,14057,36,2083,0,0,13480,25821,False,True,82.6,6,20,0,223,21,0,0,1027,0,0,2,"{""cut_target"": 20, ""harmful_exit"": 53, ""neutral_exit"": 569, ""no_active_exit"": 270, ""saved_stop"": 79, ""timeout_improved"": 36}","{""candidate_after_baseline_exit"": 223, ""candidate_after_max_hold"": 21, ""no_candidate"": 20, ""none"": 757, ""stale_data_no_action"": 6}"
1000,-200,30000,validation,100,1026,0,785,241,78,236,712,-134992,-131.57115009746587,-202.0,-135988,-132.541910331384,-202.0,-996,-0.9707602339181286,0.0,-1.2687898089171974,0.0,84,42,659,0.6666666666666666,126,0.5805019155164632,63,10902,13,9852,21,1779,0,0,12681,13677,False,True,65.1,1,24,0,185,31,0,0,1026,0,0,2,"{""cut_target"": 13, ""harmful_exit"": 29, ""neutral_exit"": 659, ""no_active_exit"": 241, ""saved_stop"": 63, ""timeout_improved"": 21}","{""candidate_after_baseline_exit"": 185, ""candidate_after_max_hold"": 31, ""no_candidate"": 24, ""none"": 785, ""stale_data_no_action"": 1}"
1000,-200,30000,holdout,100,1026,0,774,252,71,257,698,-142706,-139.0896686159844,-202.0,-154368,-150.4561403508772,-202.0,-11662,-11.366471734892787,0.0,-15.0671834625323,0.0,105,50,619,0.6774193548387096,155,0.6003054861223337,61,9988,19,16724,44,2363,0,0,12351,24013,False,True,65.4,1,30,1,187,33,0,0,1026,0,0,2,"{""cut_target"": 19, ""harmful_exit"": 31, ""neutral_exit"": 619, ""no_active_exit"": 252, ""saved_stop"": 61, ""timeout_improved"": 44}","{""candidate_after_baseline_exit"": 187, ""candidate_after_max_hold"": 33, ""no_candidate"": 30, ""none"": 774, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 1}"
1000,-200,60000,train,100,1027,0,758,269,91,333,603,-119941,-116.78773125608569,-202.0,-148899,-144.9844206426485,-202.0,-28958,-28.196689386562806,0.0,-38.20316622691293,0.0,169,91,498,0.65,260,0.5902217110745369,121,17461,40,33626,48,2450,0,0,19911,48869,False,True,125.8,6,20,0,242,1,0,0,1027,0,0,3,"{""cut_target"": 40, ""harmful_exit"": 51, ""neutral_exit"": 498, ""no_active_exit"": 269, ""saved_stop"": 121, ""timeout_improved"": 48}","{""candidate_after_baseline_exit"": 242, ""candidate_after_max_hold"": 1, ""no_candidate"": 20, ""none"": 758, ""stale_data_no_action"": 6}"
1000,-200,60000,validation,100,1026,0,786,240,92,262,672,-123470,-120.3411306042885,-202.0,-135816,-132.37426900584796,-202.0,-12346,-12.033138401559453,0.0,-15.707379134860052,0.0,140,65,581,0.6829268292682927,205,0.6163611957941513,89,13719,26,19639,51,2164,0,0,15883,28229,False,True,94.1,1,24,0,211,4,0,0,1026,0,0,2,"{""cut_target"": 26, ""harmful_exit"": 39, ""neutral_exit"": 581, ""no_active_exit"": 240, ""saved_stop"": 89, ""timeout_improved"": 51}","{""candidate_after_baseline_exit"": 211, ""candidate_after_max_hold"": 4, ""no_candidate"": 24, ""none"": 786, ""stale_data_no_action"": 1}"
1000,-200,60000,holdout,100,1026,0,775,251,82,300,644,-139099,-135.57407407407408,-202.0,-154217,-150.30896686159844,-202.0,-15118,-14.734892787524366,0.0,-19.50709677419355,0.0,169,66,540,0.7191489361702128,235,0.6585198055864645,103,14049,29,24227,66,3599,0,0,17648,32766,False,True,109.6,1,30,1,214,5,0,0,1026,0,0,2,"{""cut_target"": 29, ""harmful_exit"": 37, ""neutral_exit"": 540, ""no_active_exit"": 251, ""saved_stop"": 103, ""timeout_improved"": 66}","{""candidate_after_baseline_exit"": 214, ""candidate_after_max_hold"": 5, ""no_candidate"": 30, ""none"": 775, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 1}"
1000,-200,120000,train,100,1027,0,758,269,105,380,542,-117360,-114.27458617332034,-209.0,-148899,-144.9844206426485,-202.0,-31539,-30.70983446932814,0.0,-41.608179419525065,0.0,227,95,436,0.7049689440993789,322,0.6529754900053699,168,23258,54,47075,59,2567,0,0,25825,57364,False,True,173.9,6,20,0,243,0,0,0,1027,0,0,3,"{""cut_target"": 54, ""harmful_exit"": 41, ""neutral_exit"": 436, ""no_active_exit"": 269, ""saved_stop"": 168, ""timeout_improved"": 59}","{""candidate_after_baseline_exit"": 243, ""no_candidate"": 20, ""none"": 758, ""stale_data_no_action"": 6}"
1000,-200,120000,validation,100,1026,0,786,240,100,334,592,-124362,-121.21052631578948,-202.0,-135816,-132.37426900584796,-202.0,-11454,-11.163742690058479,0.0,-14.572519083969466,0.0,219,61,506,0.7821428571428571,280,0.7301509371170491,161,21264,34,27806,58,2168,0,0,23432,34886,False,True,166.8,1,24,0,215,0,0,0,1026,0,0,2,"{""cut_target"": 34, ""harmful_exit"": 27, ""neutral_exit"": 506, ""no_active_exit"": 240, ""saved_stop"": 161, ""timeout_improved"": 58}","{""candidate_after_baseline_exit"": 215, ""no_candidate"": 24, ""none"": 786, ""stale_data_no_action"": 1}"
1000,-200,120000,holdout,100,1026,0,775,251,93,366,567,-135078,-131.6549707602339,-202.0,-154217,-150.30896686159844,-202.0,-19139,-18.653996101364523,0.0,-24.695483870967742,0.0,247,66,462,0.7891373801916933,313,0.7405790009362658,169,20611,40,35699,78,3207,0,0,23818,42957,False,True,176.8,1,30,1,218,1,0,0,1026,0,0,2,"{""cut_target"": 40, ""harmful_exit"": 26, ""neutral_exit"": 462, ""no_active_exit"": 251, ""saved_stop"": 169, ""timeout_improved"": 78}","{""candidate_after_baseline_exit"": 218, ""candidate_after_max_hold"": 1, ""no_candidate"": 30, ""none"": 775, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 1}"
1000,-300,30000,train,100,1027,0,781,246,72,255,700,-160497,-156.27750730282375,-202.0,-166019,-161.6543330087634,-202.0,-5522,-5.37682570593963,0.0,-7.070422535211268,0.0,126,76,579,0.6237623762376238,202,0.5552330735548678,68,16040,20,14057,58,5279,0,0,21319,26841,False,True,73.8,6,20,0,199,21,0,0,1027,0,0,2,"{""cut_target"": 20, ""harmful_exit"": 56, ""neutral_exit"": 579, ""no_active_exit"": 246, ""saved_stop"": 68, ""timeout_improved"": 58}","{""candidate_after_baseline_exit"": 199, ""candidate_after_max_hold"": 21, ""no_candidate"": 20, ""none"": 781, ""stale_data_no_action"": 6}"
