target_bps,stop_bps,max_hold_ms,cost100_supported_rows,cost100_unsupported_rows,cost100_action_taken_count,cost100_no_action_count,cost100_baseline_target_count,cost100_baseline_stop_count,cost100_baseline_timeout_count,cost100_baseline_sum_after_cost_bps,cost100_baseline_avg_after_cost_bps,cost100_baseline_median_after_cost_bps,cost100_tsv2_sum_after_cost_bps,cost100_tsv2_avg_after_cost_bps,cost100_tsv2_median_after_cost_bps,cost100_delta_sum_bps,cost100_delta_avg_bps,cost100_delta_median_bps,cost100_action_delta_avg_bps,cost100_action_delta_median_bps,cost100_beneficial_exit_count,cost100_harmful_exit_count,cost100_neutral_exit_count,cost100_exit_action_precision,cost100_exit_action_precision_denominator,cost100_exit_action_precision_wilson95_lower,cost100_saved_stop_count,cost100_saved_stop_damage_bps,cost100_target_cut_count,cost100_target_cut_damage_bps,cost100_timeout_improved_count,cost100_timeout_improved_bps,cost100_generic_beneficial_count,cost100_generic_beneficial_bps,cost100_gross_saved_damage_bps,cost100_harmful_damage_bps,cost100_target_cut_damage_guard_pass,cost100_target_cut_count_guard_pass,cost100_target_cut_count_guard_limit,cost100_stale_no_action_exclusions,cost100_no_candidate_exclusions,cost100_not_active_exit_eligible_exclusions,cost100_candidate_after_baseline_exclusions,cost100_candidate_after_max_hold_exclusions,cost100_ambiguous_unjoined_exclusions,cost100_lifecycle_without_exit_replay_exclusions,cost100_exact_rows,cost100_path_approx_rows,cost100_baseline_unavailable_rows,cost100_max_consecutive_harmful_actions,cost100_classification_counts,cost100_exclusion_counts
1000,-200,30000,3079,515,2316,763,220,784,2075,-413493,-134.29457616109127,-202.0,-438492,-142.41377070477427,-202.0,-24999,-8.119194543683014,0.0,-10.794041450777202,0.0,304,165,1847,0.6481876332622601,469,0.6039245176374485,203,32287,52,40633,101,6225,0,0,38512,63511,False,True,213.1,8,74,1,595,85,0,515,3079,0,0,2,"{""cut_target"": 52, ""harmful_exit"": 113, ""neutral_exit"": 1847, ""no_active_exit"": 763, ""no_exit_replay"": 515, ""saved_stop"": 203, ""timeout_improved"": 101}","{""candidate_after_baseline_exit"": 595, ""candidate_after_max_hold"": 85, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2316, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
1000,-200,60000,3079,515,2319,760,265,895,1919,-382510,-124.23189347190646,-202.0,-438932,-142.5566742448847,-202.0,-56422,-18.32478077297824,0.0,-24.33031479085813,0.0,478,222,1619,0.6828571428571428,700,0.6474648764492617,313,45229,95,77492,165,8213,0,0,53442,109864,False,True,329.5,8,74,1,667,10,0,515,3079,0,0,3,"{""cut_target"": 95, ""harmful_exit"": 127, ""neutral_exit"": 1619, ""no_active_exit"": 760, ""no_exit_replay"": 515, ""saved_stop"": 313, ""timeout_improved"": 165}","{""candidate_after_baseline_exit"": 667, ""candidate_after_max_hold"": 10, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2319, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
1000,-200,120000,3079,515,2319,760,298,1080,1701,-376800,-122.37739525820072,-202.0,-438932,-142.5566742448847,-202.0,-62132,-20.17927898668399,0.0,-26.79258300991807,0.0,693,222,1404,0.7573770491803279,915,0.7285629087065073,498,65133,128,110580,195,7942,0,0,73075,135207,False,True,517.5,8,74,1,676,1,0,515,3079,0,0,3,"{""cut_target"": 128, ""harmful_exit"": 94, ""neutral_exit"": 1404, ""no_active_exit"": 760, ""no_exit_replay"": 515, ""saved_stop"": 498, ""timeout_improved"": 195}","{""candidate_after_baseline_exit"": 676, ""candidate_after_max_hold"": 1, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2319, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
1000,-300,30000,3079,515,2371,708,228,694,2157,-474911,-154.2419616758688,-202.0,-490107,-159.17733030204613,-202.0,-15196,-4.93536862617733,0.0,-6.4091100801349645,0.0,325,176,1870,0.6487025948103793,501,0.6059137789815009,170,43142,58,47459,155,13978,0,0,57120,72316,False,True,185.5,8,74,1,540,85,0,515,3079,0,0,2,"{""cut_target"": 58, ""harmful_exit"": 118, ""neutral_exit"": 1870, ""no_active_exit"": 708, ""no_exit_replay"": 515, ""saved_stop"": 170, ""timeout_improved"": 155}","{""candidate_after_baseline_exit"": 540, ""candidate_after_max_hold"": 85, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2371, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
1000,-300,60000,3079,515,2374,705,278,793,2008,-445732,-144.76518350113673,-202.0,-490647,-159.35271191945438,-202.0,-44915,-14.587528418317635,0.0,-18.9195450716091,0.0,494,242,1638,0.6711956521739131,736,0.6364440421859059,268,64152,106,89492,226,16947,0,0,81099,126014,False,True,290.6,8,74,1,612,10,0,515,3079,0,0,3,"{""cut_target"": 106, ""harmful_exit"": 136, ""neutral_exit"": 1638, ""no_active_exit"": 705, ""no_exit_replay"": 515, ""saved_stop"": 268, ""timeout_improved"": 226}","{""candidate_after_baseline_exit"": 612, ""candidate_after_max_hold"": 10, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2374, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
1000,-300,120000,3079,515,2374,705,314,929,1836,-455969,-148.08996427411498,-202.0,-490647,-159.35271191945438,-202.0,-34678,-11.262747645339395,0.0,-14.607413647851727,0.0,715,240,1419,0.7486910994764397,955,0.7202211442823724,404,93203,142,126152,311,23904,0,0,117107,151785,False,True,435.1,8,74,1,621,1,0,515,3079,0,0,3,"{""cut_target"": 142, ""harmful_exit"": 98, ""neutral_exit"": 1419, ""no_active_exit"": 705, ""no_exit_replay"": 515, ""saved_stop"": 404, ""timeout_improved"": 311}","{""candidate_after_baseline_exit"": 621, ""candidate_after_max_hold"": 1, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2374, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
1000,-500,30000,3079,515,2444,635,243,595,2241,-575180,-186.8074050016239,-202.0,-568866,-184.7567392010393,-202.0,6314,2.0506658005846052,0.0,2.583469721767594,0.0,356,191,1897,0.6508226691042047,547,0.609947248068856,156,62606,62,52215,200,25444,0,0,88050,81736,False,True,176.0,8,74,1,467,85,0,515,3079,0,0,3,"{""cut_target"": 62, ""harmful_exit"": 129, ""neutral_exit"": 1897, ""no_active_exit"": 635, ""no_exit_replay"": 515, ""saved_stop"": 156, ""timeout_improved"": 200}","{""candidate_after_baseline_exit"": 467, ""candidate_after_max_hold"": 85, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2444, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
1000,-500,60000,3079,515,2447,632,302,677,2100,-553162,-179.65638194218903,-202.0,-568582,-184.66450146151348,-202.0,-15420,-5.008119519324456,0.0,-6.301593788312219,0.0,530,261,1656,0.6700379266750948,791,0.636517717432962,238,95571,118,104812,292,33192,0,0,128763,144183,False,True,267.2,8,74,1,539,10,0,515,3079,0,0,3,"{""cut_target"": 118, ""harmful_exit"": 143, ""neutral_exit"": 1656, ""no_active_exit"": 632, ""no_exit_replay"": 515, ""saved_stop"": 238, ""timeout_improved"": 292}","{""candidate_after_baseline_exit"": 539, ""candidate_after_max_hold"": 10, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2447, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
1000,-500,120000,3079,515,2447,632,343,795,1941,-582871,-189.30529392659955,-202.0,-567959,-184.46216303994802,-202.0,14912,4.84313088665151,0.0,6.093992644053944,0.0,754,262,1431,0.7421259842519685,1016,0.7143497089124716,356,142843,159,146607,398,45971,0,0,188814,173902,False,True,395.8,8,74,1,548,1,0,515,3079,0,0,3,"{""cut_target"": 159, ""harmful_exit"": 103, ""neutral_exit"": 1431, ""no_active_exit"": 632, ""no_exit_replay"": 515, ""saved_stop"": 356, ""timeout_improved"": 398}","{""candidate_after_baseline_exit"": 548, ""candidate_after_max_hold"": 1, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2447, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
1000,-700,30000,3079,515,2504,575,255,495,2329,-661100,-214.71256901591426,-202.0,-646799,-210.06787918155246,-202.0,14301,4.644689834361806,0.0,5.711261980830671,0.0,361,207,1936,0.6355633802816901,568,0.5951964007948598,120,68782,71,65226,241,43944,0,0,112726,98425,False,True,144.1,8,74,1,407,85,0,515,3079,0,0,3,"{""cut_target"": 71, ""harmful_exit"": 136, ""neutral_exit"": 1936, ""no_active_exit"": 575, ""no_exit_replay"": 515, ""saved_stop"": 120, ""timeout_improved"": 241}","{""candidate_after_baseline_exit"": 407, ""candidate_after_max_hold"": 85, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2504, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
