view,mask_name,target_bps,stop_bps,max_hold_ms,bucket_dimension,bucket_value,total_actions,beneficial_exit_count,harmful_exit_count,neutral_exit_count,exit_action_precision,exit_action_precision_wilson95_lower,saved_stop_count,timeout_improved_count,target_cut_count,target_cut_damage_bps,gross_saved_damage_bps,target_cut_damage_ratio,delta_sum_bps,delta_avg_bps,delta_median_bps,max_consecutive_harmful_actions
canonical,M0_ALL,6000,-6000,120000,candidate_class,heartbeat_only_candidate,7,3,3,1,0.5,0.1876163064826505,0,3,0,0,9652,0.0,6166,880.8571428571429,0.0,1
canonical,M0_ALL,6000,-6000,120000,candidate_class,no_progress_with_volume_candidate,372,184,147,41,0.5558912386706949,0.5020269995243489,24,160,47,239662,414582,0.5780810551350517,7059,18.975806451612904,0.0,5
canonical,M0_ALL,6000,-6000,120000,candidate_class,weak_no_progress_candidate,4239,1380,431,2428,0.7620099392600773,0.7418550597609621,74,1306,82,487717,1365879,0.35707189289827285,412834,97.38947865062515,0.0,3
canonical,M0_ALL,6000,-6000,120000,candidate_age_ms_bucket,000000-015000ms,4278,1403,452,2423,0.75633423180593,0.7362817446237345,65,1338,89,549857,1410599,0.3898039060002169,372137,86.98854604955586,0.0,3
canonical,M0_ALL,6000,-6000,120000,candidate_age_ms_bucket,015001-030000ms,227,111,70,46,0.6132596685082873,0.5406594215876114,18,93,20,96769,237638,0.40721180955907726,69017,304.0396475770925,0.0,3
canonical,M0_ALL,6000,-6000,120000,candidate_age_ms_bucket,030001-060000ms,100,48,51,1,0.48484848484848486,0.38882226793653446,14,34,19,77715,135186,0.5748746171940882,-6037,-60.37,-9.5,6
canonical,M0_ALL,6000,-6000,120000,candidate_age_ms_bucket,060001-120000ms,13,5,8,0,0.38461538461538464,0.17709707797762572,1,4,1,3038,6690,0.4541106128550075,-9058,-696.7692307692307,-414.0,6
canonical,M0_ALL,6000,-6000,120000,candidate_pnl_bps_bucket,-2999..-1000bps,284,170,74,40,0.6967213114754098,0.6363626268595249,30,140,21,161549,314091,0.5143382013492905,33365,117.48239436619718,308.5,5
canonical,M0_ALL,6000,-6000,120000,candidate_pnl_bps_bucket,-5999..-3000bps,104,74,20,10,0.7872340425531915,0.6940820730069563,24,50,4,38923,58190,0.6688949991407458,-3222,-30.98076923076923,155.0,3
canonical,M0_ALL,6000,-6000,120000,candidate_pnl_bps_bucket,-999..0bps,3857,1139,308,2410,0.7871458189357291,0.765309463429086,25,1114,38,236969,834878,0.2838366803293415,294349,76.3155302048224,0.0,3
canonical,M0_ALL,6000,-6000,120000,candidate_pnl_bps_bucket,1..300bps,126,65,57,4,0.5327868852459017,0.44460958924920835,2,63,12,70875,171599,0.41302688244103986,25180,199.84126984126985,50.0,4
canonical,M0_ALL,6000,-6000,120000,candidate_pnl_bps_bucket,1001..3000bps,110,52,56,2,0.48148148148148145,0.38951373394028815,5,47,29,118469,167718,0.7063582918947281,6190,56.27272727272727,-109.0,7
canonical,M0_ALL,6000,-6000,120000,candidate_pnl_bps_bucket,301..1000bps,117,61,53,3,0.5350877192982456,0.44388388545852037,11,50,14,75120,225745,0.33276484529003963,77855,665.4273504273505,397.0,8
canonical,M0_ALL,6000,-6000,120000,candidate_pnl_bps_bucket,>3000bps,20,6,13,1,0.3157894736842105,0.1536437908779228,1,5,11,25474,17892,1.4237648110887549,-7658,-382.9,-1695.5,5
