target_bps,stop_bps,max_hold_ms,total_positions,eligible_positions,baseline_target_count,baseline_stop_count,baseline_timeout_count,baseline_sum_pnl_bps,baseline_avg_pnl_bps,tsv2_target_count,tsv2_stop_count,tsv2_timeout_count,tsv2_exit_count,tsv2_sum_pnl_bps,tsv2_avg_pnl_bps,pnl_delta_sum_bps,pnl_delta_avg_bps,targets_cut_by_tsv2,stops_saved_by_tsv2,timeouts_cut_by_tsv2,beneficial_tsv2_exits,harmful_tsv2_exits,neutral_tsv2_exits,target_cut_rate_over_baseline_targets,beneficial_rate_over_tsv2_exits,harmful_rate_over_tsv2_exits,delta_vs_baseline_sum_pct,tsv2_exit_rate,exact_rows,path_approx_rows,unsupported_rows
1000,-6000,30000,648,625,60,8,580,-202360,-312.28395061728395,39,4,11,594,-182100,-281.01851851851853,20260,34.10774410774411,21,4,569,119,81,394,0.35,0.20033670033670034,0.13636363636363635,10.011860051393557,0.9166666666666666,648,0,0
1000,-6000,60000,648,625,85,9,554,-225173,-347.4891975308642,40,4,6,598,-183110,-282.57716049382714,42063,70.33946488294315,45,5,548,158,104,336,0.5294117647058824,0.26421404682274247,0.17391304347826086,18.68030358879617,0.9228395061728395,648,0,0
1000,-6000,120000,648,625,104,12,532,-270112,-416.8395061728395,40,4,6,598,-183110,-282.57716049382714,87002,145.48829431438128,64,8,526,202,103,293,0.6153846153846154,0.3377926421404682,0.17224080267558528,32.209601942897756,0.9228395061728395,648,0,0
1000,-5000,30000,648,625,60,14,574,-193236,-298.2037037037037,39,5,11,593,-177802,-274.3858024691358,15434,26.02698145025295,21,9,563,119,80,394,0.35,0.20067453625632378,0.13490725126475547,7.987124552360844,0.9151234567901234,648,0,0
1000,-5000,60000,648,625,85,17,546,-215537,-332.6188271604938,40,5,6,597,-178812,-275.94444444444446,36725,61.515912897822446,45,12,540,158,103,336,0.5294117647058824,0.2646566164154104,0.17252931323283083,17.038837879343223,0.9212962962962963,648,0,0
1000,-5000,120000,648,625,104,25,519,-262977,-405.8287037037037,40,5,6,597,-178812,-275.94444444444446,84165,140.97989949748742,64,20,513,203,101,293,0.6153846153846154,0.34003350083752093,0.16917922948073702,32.004700030801175,0.9212962962962963,648,0,0
1000,-3000,30000,648,625,58,32,558,-167372,-258.2901234567901,39,20,10,579,-149421,-230.58796296296296,17951,31.003454231433505,19,12,548,111,76,392,0.3275862068965517,0.19170984455958548,0.13126079447322972,10.725210907439715,0.8935185185185185,648,0,0
1000,-3000,60000,648,625,83,42,523,-174936,-269.962962962963,40,20,6,582,-149304,-230.40740740740742,25632,44.04123711340206,43,22,517,149,99,334,0.5180722891566265,0.25601374570446733,0.17010309278350516,14.652215667444093,0.8981481481481481,648,0,0
1000,-3000,120000,648,625,101,53,494,-205270,-316.7746913580247,40,20,6,582,-149304,-230.40740740740742,55966,96.16151202749141,61,33,488,194,97,291,0.6039603960396039,0.3333333333333333,0.16666666666666666,27.264578360208507,0.8981481481481481,648,0,0
1000,-2000,30000,648,625,57,49,542,-141206,-217.9104938271605,38,33,9,568,-130959,-202.09722222222223,10247,18.04049295774648,19,16,533,107,71,390,0.3333333333333333,0.18838028169014084,0.125,7.2567737914819475,0.8765432098765432,648,0,0
1000,-2000,60000,648,625,80,67,501,-145927,-225.195987654321,39,33,6,570,-131207,-202.47993827160494,14720,25.82456140350877,41,34,495,148,90,332,0.5125,0.2596491228070175,0.15789473684210525,10.087235398521178,0.8796296296296297,648,0,0
1000,-2000,120000,648,625,95,78,475,-166183,-256.45524691358025,39,33,6,570,-131207,-202.47993827160494,34976,61.36140350877193,56,45,469,191,90,289,0.5894736842105263,0.3350877192982456,0.15789473684210525,21.04667745798307,0.8796296296296297,648,0,0
1000,-1500,30000,648,625,55,68,525,-126272,-194.8641975308642,37,47,9,555,-116480,-179.7530864197531,9792,17.643243243243244,18,21,516,103,66,386,0.32727272727272727,0.18558558558558558,0.11891891891891893,7.754688291941206,0.8564814814814815,648,0,0
1000,-1500,60000,648,625,75,79,494,-126958,-195.92283950617283,38,47,6,557,-116728,-180.1358024691358,10230,18.36624775583483,37,32,488,142,85,330,0.49333333333333335,0.25493716337522443,0.1526032315978456,8.057782888829376,0.8595679012345679,648,0,0
1000,-1500,120000,648,625,89,90,469,-141359,-218.1466049382716,38,47,6,557,-116728,-180.1358024691358,24631,44.22082585278277,51,43,463,184,85,288,0.5730337078651685,0.3303411131059246,0.1526032315978456,17.42442999738255,0.8595679012345679,648,0,0
1000,-1000,30000,648,625,52,94,502,-98702,-152.3179012345679,37,69,7,535,-91518,-141.2314814814815,7184,13.42803738317757,15,25,495,94,60,381,0.28846153846153844,0.17570093457943925,0.11214953271028037,7.27847460031205,0.8256172839506173,648,0,0
1000,-1000,60000,648,625,67,109,472,-104123,-160.68364197530863,37,69,6,536,-92281,-142.40895061728395,11842,22.09328358208955,30,40,466,137,74,325,0.44776119402985076,0.2555970149253731,0.13805970149253732,11.373087598321217,0.8271604938271605,648,0,0
1000,-1000,120000,648,625,80,118,450,-111436,-171.96913580246914,37,69,6,536,-92281,-142.40895061728395,19155,35.73694029850746,43,49,444,174,76,286,0.5375,0.3246268656716418,0.1417910447761194,17.189238666140206,0.8271604938271605,648,0,0
1000,-700,30000,648,625,45,115,488,-81745,-126.1496913580247,33,84,7,524,-76673,-118.32253086419753,5072,9.679389312977099,12,31,481,95,54,375,0.26666666666666666,0.18129770992366412,0.10305343511450382,6.204660835525109,0.808641975308642,648,0,0
1000,-700,60000,648,625,58,134,456,-84412,-130.26543209876544,33,84,6,525,-77436,-119.5,6976,13.287619047619048,25,50,450,136,69,320,0.43103448275862066,0.259047619047619,0.13142857142857142,8.26422783490499,0.8101851851851852,648,0,0
1000,-700,120000,648,625,70,148,430,-90566,-139.76234567901236,33,84,6,525,-77436,-119.5,13130,25.00952380952381,37,64,424,174,70,281,0.5285714285714286,0.3314285714285714,0.13333333333333333,14.497714374047657,0.8101851851851852,648,0,0
1000,-500,30000,648,625,42,132,474,-62422,-96.33024691358025,32,93,7,516,-60544,-93.4320987654321,1878,3.63953488372093,10,39,467,94,51,371,0.23809523809523808,0.1821705426356589,0.09883720930232558,3.0085546762359425,0.7962962962962963,648,0,0
1000,-500,60000,648,625,55,157,436,-60864,-93.92592592592592,32,93,6,517,-61307,-94.60956790123457,-443,-0.8568665377176016,23,64,430,134,66,317,0.41818181818181815,0.25918762088974856,0.1276595744680851,-0.7278522607781283,0.7978395061728395,648,0,0
1000,-500,120000,648,625,67,177,404,-63879,-98.57870370370371,32,93,6,517,-61307,-94.60956790123457,2572,4.974854932301741,35,84,398,170,68,279,0.5223880597014925,0.3288201160541586,0.13152804642166344,4.026362341301523,0.7978395061728395,648,0,0
1000,-300,30000,648,625,37,161,450,-41358,-63.824074074074076,29,117,7,495,-43670,-67.39197530864197,-2312,-4.670707070707071,8,44,443,84,47,364,0.21621621621621623,0.1696969696969697,0.09494949494949495,-5.590212292664056,0.7638888888888888,648,0,0
