mask_name,target_bps,stop_bps,max_hold_ms,paired_delta_cost0,paired_delta_sum_cost0,paired_delta_avg_cost0,paired_delta_median_cost0,absolute_baseline_pnl_cost0,absolute_tsv2_pnl_cost0,paired_delta_cost50,paired_delta_sum_cost50,paired_delta_avg_cost50,paired_delta_median_cost50,absolute_baseline_pnl_cost50,absolute_tsv2_pnl_cost50,paired_delta_cost100,paired_delta_sum_cost100,paired_delta_avg_cost100,paired_delta_median_cost100,absolute_baseline_pnl_cost100,absolute_tsv2_pnl_cost100,paired_delta_cost150,paired_delta_sum_cost150,paired_delta_avg_cost150,paired_delta_median_cost150,absolute_baseline_pnl_cost150,absolute_tsv2_pnl_cost150,paired_delta_cost200,paired_delta_sum_cost200,paired_delta_avg_cost200,paired_delta_median_cost200,absolute_baseline_pnl_cost200,absolute_tsv2_pnl_cost200
M0_ALL,1000,-6000,30000,277094,277094,75.79157549234135,0.0,-1368914,-1091820,277094,277094,75.79157549234135,0.0,-1551714,-1274620,277094,277094,75.79157549234135,0.0,-1734514,-1457420,277094,277094,75.79157549234135,0.0,-1917314,-1640220,277094,277094,75.79157549234135,0.0,-2100114,-1823020
M0_ALL,1000,-6000,60000,436118,436118,119.2882932166302,0.0,-1531283,-1095165,436118,436118,119.2882932166302,0.0,-1714083,-1277965,436118,436118,119.2882932166302,0.0,-1896883,-1460765,436118,436118,119.2882932166302,0.0,-2079683,-1643565,436118,436118,119.2882932166302,0.0,-2262483,-1826365
M0_ALL,1000,-6000,120000,553071,553071,151.27762582056891,0.0,-1651963,-1098892,553071,553071,151.27762582056891,0.0,-1834763,-1281692,553071,553071,151.27762582056891,0.0,-2017563,-1464492,553071,553071,151.27762582056891,0.0,-2200363,-1647292,553071,553071,151.27762582056891,0.0,-2383163,-1830092
M0_ALL,1000,-5000,30000,253563,253563,69.35530634573304,0.0,-1307295,-1053732,253563,253563,69.35530634573304,0.0,-1490095,-1236532,253563,253563,69.35530634573304,0.0,-1672895,-1419332,253563,253563,69.35530634573304,0.0,-1855695,-1602132,253563,253563,69.35530634573304,0.0,-2038495,-1784932
M0_ALL,1000,-5000,60000,414750,414750,113.44365426695842,0.0,-1471063,-1056313,414750,414750,113.44365426695842,0.0,-1653863,-1239113,414750,414750,113.44365426695842,0.0,-1836663,-1421913,414750,414750,113.44365426695842,0.0,-2019463,-1604713,414750,414750,113.44365426695842,0.0,-2202263,-1787513
M0_ALL,1000,-5000,120000,529214,529214,144.75218818380745,0.0,-1587331,-1058117,529214,529214,144.75218818380745,0.0,-1770131,-1240917,529214,529214,144.75218818380745,0.0,-1952931,-1423717,529214,529214,144.75218818380745,0.0,-2135731,-1606517,529214,529214,144.75218818380745,0.0,-2318531,-1789317
M0_ALL,1000,-3000,30000,179323,179323,49.04896061269147,0.0,-1103907,-924584,179323,179323,49.04896061269147,0.0,-1286707,-1107384,179323,179323,49.04896061269147,0.0,-1469507,-1290184,179323,179323,49.04896061269147,0.0,-1652307,-1472984,179323,179323,49.04896061269147,0.0,-1835107,-1655784
M0_ALL,1000,-3000,60000,288461,288461,78.90071115973741,0.0,-1210749,-922288,288461,288461,78.90071115973741,0.0,-1393549,-1105088,288461,288461,78.90071115973741,0.0,-1576349,-1287888,288461,288461,78.90071115973741,0.0,-1759149,-1470688,288461,288461,78.90071115973741,0.0,-1941949,-1653488
M0_ALL,1000,-3000,120000,402193,402193,110.0090262582057,0.0,-1325565,-923372,402193,402193,110.0090262582057,0.0,-1508365,-1106172,402193,402193,110.0090262582057,0.0,-1691165,-1288972,402193,402193,110.0090262582057,0.0,-1873965,-1471772,402193,402193,110.0090262582057,0.0,-2056765,-1654572
M0_ALL,1000,-2000,30000,112636,112636,30.808533916849015,0.0,-887598,-774962,112636,112636,30.808533916849015,0.0,-1070398,-957762,112636,112636,30.808533916849015,0.0,-1253198,-1140562,112636,112636,30.808533916849015,0.0,-1435998,-1323362,112636,112636,30.808533916849015,0.0,-1618798,-1506162
