mask_name,target_bps,stop_bps,max_hold_ms,cost100_supported_rows,cost100_unsupported_rows,cost100_action_taken_count,cost100_no_action_count,cost100_baseline_target_count,cost100_baseline_stop_count,cost100_baseline_timeout_count,cost100_baseline_sum_after_cost_bps,cost100_baseline_avg_after_cost_bps,cost100_baseline_median_after_cost_bps,cost100_tsv2_sum_after_cost_bps,cost100_tsv2_avg_after_cost_bps,cost100_tsv2_median_after_cost_bps,cost100_delta_sum_bps,cost100_delta_avg_bps,cost100_delta_median_bps,cost100_action_delta_avg_bps,cost100_action_delta_median_bps,cost100_beneficial_exit_count,cost100_harmful_exit_count,cost100_neutral_exit_count,cost100_exit_action_precision,cost100_exit_action_precision_denominator,cost100_exit_action_precision_wilson95_lower,cost100_saved_stop_count,cost100_saved_stop_damage_bps,cost100_target_cut_count,cost100_target_cut_damage_bps,cost100_timeout_improved_count,cost100_timeout_improved_bps,cost100_generic_beneficial_count,cost100_generic_beneficial_bps,cost100_gross_saved_damage_bps,cost100_harmful_damage_bps,cost100_target_cut_damage_ratio,cost100_target_cut_damage_guard_pass,cost100_target_cut_count_guard_pass,cost100_target_cut_count_guard_limit,cost100_stale_no_action_exclusions,cost100_no_candidate_exclusions,cost100_not_active_exit_eligible_exclusions,cost100_candidate_after_baseline_exclusions,cost100_candidate_after_max_hold_exclusions,cost100_ambiguous_unjoined_exclusions,cost100_lifecycle_without_exit_replay_exclusions,cost100_exact_rows,cost100_path_approx_rows,cost100_baseline_unavailable_rows,cost100_max_consecutive_harmful_actions,cost100_classification_counts,cost100_exclusion_counts,cost100_aggregate_target_cut_damage_guard_pass,cost100_aggregate_target_cut_count_guard_pass,cost100_segment_target_cut_damage_guard_pass,cost100_segment_target_cut_damage_fail_segments,cost100_segment_target_cut_damage_ratios,cost100_row_verdict,cost100_public_row_verdict
M0_ALL,1000,-6000,30000,3656,1175,3354,302,312,58,3286,-1734514,-474.4294310722101,-202.0,-1457420,-398.6378555798687,-202.0,277094,75.79157549234135,0.0,82.6159809183065,0.0,628,329,2397,0.6562173458725182,957,0.6255540300823789,23,60853,106,130657,605,434756,0,0,495609,218515,0.2636291915602824,False,False,83.5,13,80,3,103,103,0,1175,3656,0,0,,"{""cut_target"": 106, ""harmful_exit"": 223, ""neutral_exit"": 2397, ""no_active_exit"": 302, ""no_exit_replay"": 1175, ""saved_stop"": 23, ""timeout_improved"": 605}","{""candidate_after_baseline_exit"": 103, ""candidate_after_max_hold"": 103, ""lifecycle_without_exit_replay"": 1175, ""no_candidate"": 80, ""none"": 3354, ""not_active_exit_eligible"": 3, ""stale_data_no_action"": 13}",False,False,False,"train,validation","{""holdout"": 0.1538641571462006, ""train"": 0.3331320320644164, ""validation"": 0.3243936175753963}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-6000,60000,3656,1175,3381,275,418,72,3166,-1896883,-518.8410831509847,-202.0,-1460765,-399.5527899343545,-202.0,436118,119.2882932166302,0.0,128.9908311150547,0.0,911,412,2058,0.6885865457294029,1323,0.6631180995805054,36,118557,200,264912,875,664251,0,0,782808,346690,0.33841248428733484,False,False,123.5,13,80,3,157,22,0,1175,3656,0,0,,"{""cut_target"": 200, ""harmful_exit"": 212, ""neutral_exit"": 2058, ""no_active_exit"": 275, ""no_exit_replay"": 1175, ""saved_stop"": 36, ""timeout_improved"": 875}","{""candidate_after_baseline_exit"": 157, ""candidate_after_max_hold"": 22, ""lifecycle_without_exit_replay"": 1175, ""no_candidate"": 80, ""none"": 3381, ""not_active_exit_eligible"": 3, ""stale_data_no_action"": 13}",False,False,False,"train,validation,holdout","{""holdout"": 0.3079220454088667, ""train"": 0.42123591571252467, ""validation"": 0.3087641454270285}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-6000,120000,3656,1175,3387,269,480,87,3089,-2017563,-551.8498358862145,-202.0,-1464492,-400.5722100656455,-202.0,553071,151.27762582056891,0.0,163.29229406554472,0.0,1150,429,1808,0.7283090563647878,1579,0.705833800916527,50,177357,262,361017,1100,813135,0,0,990492,437421,0.3644824996062563,False,False,160.0,13,80,3,173,0,0,1175,3656,0,0,,"{""cut_target"": 262, ""harmful_exit"": 167, ""neutral_exit"": 1808, ""no_active_exit"": 269, ""no_exit_replay"": 1175, ""saved_stop"": 50, ""timeout_improved"": 1100}","{""candidate_after_baseline_exit"": 173, ""lifecycle_without_exit_replay"": 1175, ""no_candidate"": 80, ""none"": 3387, ""not_active_exit_eligible"": 3, ""stale_data_no_action"": 13}",False,False,False,"train,validation,holdout","{""holdout"": 0.37193410579284075, ""train"": 0.38291752620138725, ""validation"": 0.34350869538284196}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-5000,30000,3656,1175,3333,323,311,100,3245,-1672895,-457.57521881838073,-202.0,-1419332,-388.2199124726477,-202.0,253563,69.35530634573304,0.0,76.07650765076508,0.0,615,325,2393,0.6542553191489362,940,0.6232786000288754,42,128204,106,130657,573,338916,0,0,467120,213557,0.27970756978934747,False,False,99.30000000000001,13,80,3,124,103,0,1175,3656,0,0,,"{""cut_target"": 106, ""harmful_exit"": 219, ""neutral_exit"": 2393, ""no_active_exit"": 323, ""no_exit_replay"": 1175, ""saved_stop"": 42, ""timeout_improved"": 573}","{""candidate_after_baseline_exit"": 124, ""candidate_after_max_hold"": 103, ""lifecycle_without_exit_replay"": 1175, ""no_candidate"": 80, ""none"": 3333, ""not_active_exit_eligible"": 3, ""stale_data_no_action"": 13}",False,False,False,"train,validation","{""holdout"": 0.16196009006376652, ""train"": 0.36511125819465456, ""validation"": 0.3383394199136812}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-5000,60000,3656,1175,3359,297,415,134,3107,-1836663,-502.3695295404814,-202.0,-1421913,-388.925875273523,-202.0,414750,113.44365426695842,0.0,123.474248288181,0.0,900,405,2054,0.6896551724137931,1305,0.6640287888646029,74,234842,198,254907,826,511606,0,0,746448,331698,0.34149331232718155,False,False,156.60000000000002,13,80,3,179,22,0,1175,3656,0,0,,"{""cut_target"": 198, ""harmful_exit"": 207, ""neutral_exit"": 2054, ""no_active_exit"": 297, ""no_exit_replay"": 1175, ""saved_stop"": 74, ""timeout_improved"": 826}","{""candidate_after_baseline_exit"": 179, ""candidate_after_max_hold"": 22, ""lifecycle_without_exit_replay"": 1175, ""no_candidate"": 80, ""none"": 3359, ""not_active_exit_eligible"": 3, ""stale_data_no_action"": 13}",False,False,False,"train,validation,holdout","{""holdout"": 0.3270147504334508, ""train"": 0.38999122916927703, ""validation"": 0.3207338859511219}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-5000,120000,3656,1175,3364,292,477,161,3018,-1952931,-534.171498905908,-202.0,-1423717,-389.41931072210065,-202.0,529214,144.75218818380745,0.0,157.3168846611177,0.0,1138,422,1804,0.7294871794871794,1560,0.706899431244736,100,331916,260,351012,1038,617002,0,0,948918,419704,0.36990762110108566,False,False,203.8,13,80,3,196,0,0,1175,3656,0,0,,"{""cut_target"": 260, ""harmful_exit"": 162, ""neutral_exit"": 1804, ""no_active_exit"": 292, ""no_exit_replay"": 1175, ""saved_stop"": 100, ""timeout_improved"": 1038}","{""candidate_after_baseline_exit"": 196, ""lifecycle_without_exit_replay"": 1175, ""no_candidate"": 80, ""none"": 3364, ""not_active_exit_eligible"": 3, ""stale_data_no_action"": 13}",False,False,False,"train,validation,holdout","{""holdout"": 0.38785645727564344, ""train"": 0.36169730953793067, ""validation"": 0.360300577708095}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-3000,30000,3656,1175,3268,388,299,227,3130,-1469507,-401.9439277899344,-202.0,-1290184,-352.89496717724285,-202.0,179323,49.04896061269147,0.0,54.87239902080783,0.0,581,310,2377,0.6520763187429854,891,0.6202086209865758,84,169754,101,113200,497,196699,0,0,366453,187130,0.30890728142490304,False,True,133.7,13,80,3,189,103,0,1175,3656,0,0,,"{""cut_target"": 101, ""harmful_exit"": 209, ""neutral_exit"": 2377, ""no_active_exit"": 388, ""no_exit_replay"": 1175, ""saved_stop"": 84, ""timeout_improved"": 497}","{""candidate_after_baseline_exit"": 189, ""candidate_after_max_hold"": 103, ""lifecycle_without_exit_replay"": 1175, ""no_candidate"": 80, ""none"": 3268, ""not_active_exit_eligible"": 3, ""stale_data_no_action"": 13}",False,True,False,"train,validation","{""holdout"": 0.17208060782582704, ""train"": 0.4620000441218646, ""validation"": 0.35290060482954116}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-3000,60000,3656,1175,3285,371,397,292,2967,-1576349,-431.16766958424506,-202.0,-1287888,-352.26695842450766,-202.0,288461,78.90071115973741,0.0,87.81156773211568,0.0,862,379,2044,0.6946011281224819,1241,0.668408143090752,146,301755,188,221457,716,270645,0,0,572400,283939,0.38689203354297697,False,True,217.60000000000002,13,80,3,253,22,0,1175,3656,0,0,,"{""cut_target"": 188, ""harmful_exit"": 191, ""neutral_exit"": 2044, ""no_active_exit"": 371, ""no_exit_replay"": 1175, ""saved_stop"": 146, ""timeout_improved"": 716}","{""candidate_after_baseline_exit"": 253, ""candidate_after_max_hold"": 22, ""lifecycle_without_exit_replay"": 1175, ""no_candidate"": 80, ""none"": 3285, ""not_active_exit_eligible"": 3, ""stale_data_no_action"": 13}",False,True,False,"train,validation,holdout","{""holdout"": 0.3353572198831616, ""train"": 0.4703995353611756, ""validation"": 0.38038399939348566}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-3000,120000,3656,1175,3287,369,449,329,2878,-1691165,-462.5724835886214,-202.0,-1288972,-352.56345733041576,-202.0,402193,110.0090262582057,0.0,122.35868573167022,0.0,1107,385,1795,0.7419571045576407,1492,0.7191532046656243,183,382903,240,289252,924,360281,0,0,743184,340991,0.38920644147344396,False,True,275.4,13,80,3,273,0,0,1175,3656,0,0,,"{""cut_target"": 240, ""harmful_exit"": 145, ""neutral_exit"": 1795, ""no_active_exit"": 369, ""no_exit_replay"": 1175, ""saved_stop"": 183, ""timeout_improved"": 924}","{""candidate_after_baseline_exit"": 273, ""lifecycle_without_exit_replay"": 1175, ""no_candidate"": 80, ""none"": 3287, ""not_active_exit_eligible"": 3, ""stale_data_no_action"": 13}",False,True,False,"train,validation,holdout","{""holdout"": 0.37625154642343955, ""train"": 0.425466952327919, ""validation"": 0.3732952029520295}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-2000,30000,3656,1175,3207,449,291,325,3040,-1253198,-342.7784463894967,-202.0,-1140562,-311.9699124726477,-202.0,112636,30.808533916849015,0.0,35.12192079825382,0.0,558,284,2365,0.66270783847981,842,0.6300987045270353,112,147003,98,103381,446,131619,0,0,278622,165986,0.37104392330828145,False,True,156.6,13,80,3,250,103,0,1175,3656,0,0,,"{""cut_target"": 98, ""harmful_exit"": 186, ""neutral_exit"": 2365, ""no_active_exit"": 449, ""no_exit_replay"": 1175, ""saved_stop"": 112, ""timeout_improved"": 446}","{""candidate_after_baseline_exit"": 250, ""candidate_after_max_hold"": 103, ""lifecycle_without_exit_replay"": 1175, ""no_candidate"": 80, ""none"": 3207, ""not_active_exit_eligible"": 3, ""stale_data_no_action"": 13}",False,True,False,"train,validation","{""holdout"": 0.22368302159573508, ""train"": 0.5945293758605517, ""validation"": 0.376829430889306}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
