view,mask_name,target_bps,stop_bps,max_hold_ms,bucket_dimension,bucket_value,total_actions,beneficial_exit_count,harmful_exit_count,neutral_exit_count,exit_action_precision,exit_action_precision_wilson95_lower,saved_stop_count,timeout_improved_count,target_cut_count,target_cut_damage_bps,gross_saved_damage_bps,target_cut_damage_ratio,delta_sum_bps,delta_avg_bps,delta_median_bps,max_consecutive_harmful_actions
canonical,M0_ALL,6000,-6000,120000,candidate_class,heartbeat_only_candidate,3,2,1,0,0.6666666666666666,0.20765960080204768,0,2,1,9453,19,497.5263157894737,-9434,-3144.6666666666665,6.0,1
canonical,M0_ALL,6000,-6000,120000,candidate_class,no_progress_with_volume_candidate,293,167,78,48,0.6816326530612244,0.620881157497506,21,146,22,119832,380219,0.31516573343257437,183879,627.5733788395904,33.0,4
canonical,M0_ALL,6000,-6000,120000,candidate_class,weak_no_progress_candidate,3261,1153,339,1769,0.7727882037533512,0.7508411685321416,66,1087,74,448534,1153699,0.38877904895471005,397143,121.78564857405703,0.0,3
canonical,M0_ALL,6000,-6000,120000,candidate_age_ms_bucket,000000-015000ms,3307,1201,331,1775,0.7839425587467362,0.7626374441018854,63,1138,75,462902,1251425,0.3698999140979284,513623,155.3138796492289,0.0,5
canonical,M0_ALL,6000,-6000,120000,candidate_age_ms_bucket,015001-030000ms,149,73,37,39,0.6636363636363637,0.5711495969124046,10,63,15,90053,149494,0.6023853800152514,31832,213.63758389261744,0.0,3
canonical,M0_ALL,6000,-6000,120000,candidate_age_ms_bucket,030001-060000ms,79,38,38,3,0.5,0.39032595445464624,12,26,7,24864,106543,0.23337056399763476,25845,327.1518987341772,0.0,5
canonical,M0_ALL,6000,-6000,120000,candidate_age_ms_bucket,060001-120000ms,22,10,12,0,0.45454545454545453,0.26920294180813314,2,8,0,0,26475,0.0,288,13.090909090909092,-735.5,3
canonical,M0_ALL,6000,-6000,120000,candidate_pnl_bps_bucket,-2999..-1000bps,211,124,65,22,0.656084656084656,0.5858603181789133,19,105,14,111555,250826,0.44475054420195675,50021,237.06635071090048,208.0,3
canonical,M0_ALL,6000,-6000,120000,candidate_pnl_bps_bucket,-5999..-3000bps,97,57,23,17,0.7125,0.6053965378701002,21,36,5,48088,52035,0.9241472086095897,-22898,-236.06185567010309,48.0,2
canonical,M0_ALL,6000,-6000,120000,candidate_pnl_bps_bucket,-999..0bps,2984,989,223,1772,0.816006600660066,0.7932053183090195,24,965,32,200437,739939,0.2708831403669762,373752,125.2520107238606,0.0,3
canonical,M0_ALL,6000,-6000,120000,candidate_pnl_bps_bucket,1..300bps,77,46,26,5,0.6388888888888888,0.5235248046738358,4,42,8,46754,121758,0.3839911956503885,41694,541.4805194805194,465.0,6
canonical,M0_ALL,6000,-6000,120000,candidate_pnl_bps_bucket,1001..3000bps,80,43,37,0,0.5375,0.42904357591268794,7,36,20,86806,146314,0.5932856732780185,30905,386.3125,85.0,5
canonical,M0_ALL,6000,-6000,120000,candidate_pnl_bps_bucket,301..1000bps,98,59,39,0,0.6020408163265306,0.5030495272292229,11,48,14,74172,206724,0.3587972368955709,92005,938.8265306122449,842.0,8
canonical,M0_ALL,6000,-6000,120000,candidate_pnl_bps_bucket,>3000bps,10,4,5,1,0.4444444444444444,0.18877852109766458,1,3,4,10007,16341,0.6123860228872162,6109,610.9,-112.5,2
canonical,M0_ALL,6000,-6000,120000,candidate_window_count_before_action_bucket,3,3557,1322,418,1817,0.7597701149425288,0.7391381027103509,87,1235,97,577819,1533937,0.3766901769759775,571588,160.69384312622998,0.0,4
canonical,M0_ALL,6000,-6000,120000,pre_entry_overextension_buckets,missing evidence: field unavailable,3557,1322,418,1817,0.7597701149425288,0.7391381027103509,87,1235,97,577819,1533937,0.3766901769759775,571588,160.69384312622998,0.0,4
canonical,M0_ALL,6000,-6000,120000,pre_entry_organicity_buckets,missing evidence: field unavailable,3557,1322,418,1817,0.7597701149425288,0.7391381027103509,87,1235,97,577819,1533937,0.3766901769759775,571588,160.69384312622998,0.0,4
canonical,M0_ALL,6000,-6000,120000,execution_toxicity_buckets,missing evidence: field unavailable,3557,1322,418,1817,0.7597701149425288,0.7391381027103509,87,1235,97,577819,1533937,0.3766901769759775,571588,160.69384312622998,0.0,4
canonical,M0_ALL,6000,-6000,120000,chronological_tercile,holdout,1194,494,126,574,0.7967741935483871,0.7633171022361747,24,470,27,157014,513948,0.3055056153540825,243792,204.18090452261308,0.0,3
canonical,M0_ALL,6000,-6000,120000,chronological_tercile,train,1172,405,133,634,0.7527881040892194,0.7146286319912575,30,375,32,196750,486177,0.4046880045744657,161259,137.5930034129693,0.0,4
canonical,M0_ALL,6000,-6000,120000,chronological_tercile,validation,1191,423,159,609,0.7268041237113402,0.6892032003050363,33,390,38,224055,533812,0.41972642053756753,166537,139.82955499580186,0.0,4
canonical,M1_NEGATIVE_OR_FLAT_ONLY,6000,-6000,120000,candidate_class,heartbeat_only_candidate,3,2,1,0,0.6666666666666666,0.20765960080204768,0,2,1,9453,19,497.5263157894737,-9434,-3144.6666666666665,6.0,1
canonical,M1_NEGATIVE_OR_FLAT_ONLY,6000,-6000,120000,candidate_class,no_progress_with_volume_candidate,203,110,45,48,0.7096774193548387,0.6338356233026123,11,99,10,65239,158891,0.4105896495081534,46729,230.192118226601,6.0,3
canonical,M1_NEGATIVE_OR_FLAT_ONLY,6000,-6000,120000,candidate_class,weak_no_progress_candidate,3086,1058,265,1763,0.799697656840514,0.7772775205041147,53,1005,40,285388,883890,0.3228772811096403,363580,117.81594296824368,0.0,2
canonical,M1_NEGATIVE_OR_FLAT_ONLY,6000,-6000,120000,candidate_age_ms_bucket,000000-015000ms,3151,1106,275,1770,0.8008689355539464,0.7789849348565775,50,1056,46,321338,924014,0.3477631291300781,368434,116.9260552205649,0.0,5
canonical,M1_NEGATIVE_OR_FLAT_ONLY,6000,-6000,120000,candidate_age_ms_bucket,015001-030000ms,94,38,17,39,0.6909090909090909,0.5597140984246408,5,33,5,38742,56221,0.6891019369986304,5504,58.5531914893617,0.0,2
canonical,M1_NEGATIVE_OR_FLAT_ONLY,6000,-6000,120000,candidate_age_ms_bucket,030001-060000ms,38,22,14,2,0.6111111111111112,0.44864459096605147,9,13,0,0,57164,0.0,32623,858.5,112.5,4
canonical,M1_NEGATIVE_OR_FLAT_ONLY,6000,-6000,120000,candidate_age_ms_bucket,060001-120000ms,9,4,5,0,0.4444444444444444,0.18877852109766458,0,4,0,0,5401,0.0,-5686,-631.7777777777778,-1278.0,3
canonical,M1_NEGATIVE_OR_FLAT_ONLY,6000,-6000,120000,candidate_pnl_bps_bucket,-2999..-1000bps,211,124,65,22,0.656084656084656,0.5858603181789133,19,105,14,111555,250826,0.44475054420195675,50021,237.06635071090048,208.0,3
canonical,M1_NEGATIVE_OR_FLAT_ONLY,6000,-6000,120000,candidate_pnl_bps_bucket,-5999..-3000bps,97,57,23,17,0.7125,0.6053965378701002,21,36,5,48088,52035,0.9241472086095897,-22898,-236.06185567010309,48.0,2
canonical,M1_NEGATIVE_OR_FLAT_ONLY,6000,-6000,120000,candidate_pnl_bps_bucket,-999..0bps,2984,989,223,1772,0.816006600660066,0.7932053183090195,24,965,32,200437,739939,0.2708831403669762,373752,125.2520107238606,0.0,3
canonical,M1_NEGATIVE_OR_FLAT_ONLY,6000,-6000,120000,candidate_window_count_before_action_bucket,3,3292,1170,311,1811,0.7900067521944631,0.7685259249909555,64,1106,51,360080,1042800,0.34530111238972,400875,121.7724787363305,0.0,3
canonical,M1_NEGATIVE_OR_FLAT_ONLY,6000,-6000,120000,pre_entry_overextension_buckets,missing evidence: field unavailable,3292,1170,311,1811,0.7900067521944631,0.7685259249909555,64,1106,51,360080,1042800,0.34530111238972,400875,121.7724787363305,0.0,3
canonical,M1_NEGATIVE_OR_FLAT_ONLY,6000,-6000,120000,pre_entry_organicity_buckets,missing evidence: field unavailable,3292,1170,311,1811,0.7900067521944631,0.7685259249909555,64,1106,51,360080,1042800,0.34530111238972,400875,121.7724787363305,0.0,3
canonical,M1_NEGATIVE_OR_FLAT_ONLY,6000,-6000,120000,execution_toxicity_buckets,missing evidence: field unavailable,3292,1170,311,1811,0.7900067521944631,0.7685259249909555,64,1106,51,360080,1042800,0.34530111238972,400875,121.7724787363305,0.0,3
canonical,M1_NEGATIVE_OR_FLAT_ONLY,6000,-6000,120000,chronological_tercile,holdout,1106,437,98,571,0.8168224299065421,0.7818256571481572,21,416,15,99159,361937,0.2739675689415561,176217,159.32820976491863,0.0,3
canonical,M1_NEGATIVE_OR_FLAT_ONLY,6000,-6000,120000,chronological_tercile,train,1093,360,99,634,0.7843137254901961,0.7444093867310457,16,344,18,133927,273359,0.4899308235690063,56327,51.53430924062214,0.0,2
canonical,M1_NEGATIVE_OR_FLAT_ONLY,6000,-6000,120000,chronological_tercile,validation,1093,373,114,606,0.7659137577002053,0.7263159497261297,27,346,18,126994,407504,0.31163865876163177,168331,154.0082342177493,0.0,3
canonical,M2_LOW_PROFIT_ONLY,6000,-6000,120000,candidate_class,heartbeat_only_candidate,3,2,1,0,0.6666666666666666,0.20765960080204768,0,2,1,9453,19,497.5263157894737,-9434,-3144.6666666666665,6.0,1
canonical,M2_LOW_PROFIT_ONLY,6000,-6000,120000,candidate_class,no_progress_with_volume_candidate,225,128,49,48,0.7231638418079096,0.6530390927252062,12,116,12,77000,217289,0.35436676499960884,89329,397.0177777777778,20.0,2
canonical,M2_LOW_PROFIT_ONLY,6000,-6000,120000,candidate_class,weak_no_progress_candidate,3141,1086,287,1768,0.7909686817188638,0.768663645286973,56,1030,46,320381,947250,0.3382222222222222,362674,115.4645017510347,0.0,2
canonical,M2_LOW_PROFIT_ONLY,6000,-6000,120000,candidate_age_ms_bucket,000000-015000ms,3208,1142,291,1775,0.7969295184926727,0.775319865693709,54,1088,52,356409,1029294,0.34626549848731264,426763,133.03086034912718,0.0,5
canonical,M2_LOW_PROFIT_ONLY,6000,-6000,120000,candidate_age_ms_bucket,015001-030000ms,104,44,21,39,0.676923076923077,0.5561398872118913,5,39,7,50425,67750,0.7442804428044281,52,0.5,0.0,3
canonical,M2_LOW_PROFIT_ONLY,6000,-6000,120000,candidate_age_ms_bucket,030001-060000ms,45,24,19,2,0.5581395348837209,0.411076144528241,9,15,0,0,59537,0.0,21544,478.75555555555553,60.0,4
canonical,M2_LOW_PROFIT_ONLY,6000,-6000,120000,candidate_age_ms_bucket,060001-120000ms,12,6,6,0,0.5,0.2537815976337061,0,6,0,0,7977,0.0,-5790,-482.5,-602.0,2
canonical,M2_LOW_PROFIT_ONLY,6000,-6000,120000,candidate_pnl_bps_bucket,-2999..-1000bps,211,124,65,22,0.656084656084656,0.5858603181789133,19,105,14,111555,250826,0.44475054420195675,50021,237.06635071090048,208.0,3
canonical,M2_LOW_PROFIT_ONLY,6000,-6000,120000,candidate_pnl_bps_bucket,-5999..-3000bps,97,57,23,17,0.7125,0.6053965378701002,21,36,5,48088,52035,0.9241472086095897,-22898,-236.06185567010309,48.0,2
canonical,M2_LOW_PROFIT_ONLY,6000,-6000,120000,candidate_pnl_bps_bucket,-999..0bps,2984,989,223,1772,0.816006600660066,0.7932053183090195,24,965,32,200437,739939,0.2708831403669762,373752,125.2520107238606,0.0,3
canonical,M2_LOW_PROFIT_ONLY,6000,-6000,120000,candidate_pnl_bps_bucket,1..300bps,77,46,26,5,0.6388888888888888,0.5235248046738358,4,42,8,46754,121758,0.3839911956503885,41694,541.4805194805194,465.0,6
canonical,M2_LOW_PROFIT_ONLY,6000,-6000,120000,candidate_window_count_before_action_bucket,3,3369,1216,337,1816,0.7830006439150032,0.76181486623005,68,1148,59,406834,1164558,0.3493462755826674,442569,131.36509349955477,0.0,3
canonical,M2_LOW_PROFIT_ONLY,6000,-6000,120000,pre_entry_overextension_buckets,missing evidence: field unavailable,3369,1216,337,1816,0.7830006439150032,0.76181486623005,68,1148,59,406834,1164558,0.3493462755826674,442569,131.36509349955477,0.0,3
canonical,M2_LOW_PROFIT_ONLY,6000,-6000,120000,pre_entry_organicity_buckets,missing evidence: field unavailable,3369,1216,337,1816,0.7830006439150032,0.76181486623005,68,1148,59,406834,1164558,0.3493462755826674,442569,131.36509349955477,0.0,3
