scope,run_id,session_id,pool_id,base_mint,decision_ts_ms,entry_ts_ms,state_ts_ms,state_slot,entry_price_logged,entry_price_reconstructed,entry_price_diff_bps,reconstruction_status,source_fields,failure_reason
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,2XQAW8hbQovHUDxQsdFASXQbGMpQMaxjMkjQBivREuSU,9voQmGgYyfBwujp2mCUTB4HRDTKgtzBpbZeKpCcspump,1782405875656,1782405875656,,,1.2276541874447916e-07,,,ENTRY_RECONSTRUCTION_BLOCKED,shadow_exit_replay_v1.entry_price,no decision materialized_feature_snapshot reserve evidence
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,2KNcCaTtG6htM2x8RvBNFzzBGozAVLTSHbSEnZABiB7y,7mfGVbDkaxkU12STCuB6fzUESKdNqZHRQnx5rpfGpump,1782405885467,1782405885467,,,1.5756512872961546e-08,,,ENTRY_RECONSTRUCTION_BLOCKED,shadow_exit_replay_v1.entry_price,no decision materialized_feature_snapshot reserve evidence
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,6cAJoMZmpf6hLgYbGCQzPNpQcxmAFAxt6UToRxNU1Lon,EkfopKRL6GwyjiDqyJfKvkre8CHwLPyejh6A2oG8pump,1782405892225,1782405892225,,,3.00270077654535e-08,,,ENTRY_RECONSTRUCTION_BLOCKED,shadow_exit_replay_v1.entry_price,no decision materialized_feature_snapshot reserve evidence
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,3C1KUYdfLhvG9eYd3vHnZEr43wGc3ej3fG5msXMmNG14,86mPHqPT3zsmBG7hMa5ipGzZTe2hKpFfvqRQmk4Ypump,1782405894064,1782405894064,,,3.3279867653078726e-08,,,ENTRY_RECONSTRUCTION_BLOCKED,shadow_exit_replay_v1.entry_price,no decision materialized_feature_snapshot reserve evidence
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,GcKfiLvNDFSULs2FH37QHsrPESyqG3KyicvJ3mDLWgmk,HghTGv1U6sMS8UoV753DAiZttsxuCBp2fEESYbwtpump,1782405897367,1782405897367,,,5.2137100876179666e-08,,,ENTRY_RECONSTRUCTION_BLOCKED,shadow_exit_replay_v1.entry_price,no decision materialized_feature_snapshot reserve evidence
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,C1FbDLBb7FeYVXkaYCZMxdT3jQaDp43WaqQCTc7etSho,66yPSt3YiUSNu9mfVjicamwYnhCJHvkEAyVRaNJ1pump,1782405902066,1782405902066,,,3.3492126381558253e-08,,,ENTRY_RECONSTRUCTION_BLOCKED,shadow_exit_replay_v1.entry_price,no decision materialized_feature_snapshot reserve evidence
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,EpYcBs1oCnV8Tq9UBV1jpf68AnwAxAdzXSycFCmyiATJ,CUMRhhsyUKyA1iq7bviiJuL6pW4HV6i57WJAngJTpump,1782405908036,1782405908036,,,8.1787757085071e-09,,,ENTRY_RECONSTRUCTION_BLOCKED,shadow_exit_replay_v1.entry_price,no decision materialized_feature_snapshot reserve evidence
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,9zvycRq4zCdzVQ9M45em4rvzdV3p8UAmLrCgbjUkBbSg,EtLKxPvkHyBwzPE3XpgUFJDNJ1onTFsTmsCDVuNmpump,1782405911169,1782405911169,,,2.8821422978654233e-08,,,ENTRY_RECONSTRUCTION_BLOCKED,shadow_exit_replay_v1.entry_price,no decision materialized_feature_snapshot reserve evidence
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,76m9f21HW6FVwKUQLX5oRxwxLhtEdAaQqdVVU6cGDhst,CwgpiTw1w9p7CNAaUK26G6p2Q64JkBthaYmzhQVppump,1782405916691,1782405916691,,,2.9027589739062073e-08,,,ENTRY_RECONSTRUCTION_BLOCKED,shadow_exit_replay_v1.entry_price,no decision materialized_feature_snapshot reserve evidence
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,BiqS5D1DCQ8oWGZQuHdGDkuchhRM74WfGJudnXUncKk7,2LmZ1QBh4ynDLqahpShFQxPyTh2K8x2EJ6BcweP6pump,1782405921806,1782405921806,,,2.965070676330788e-08,,,ENTRY_RECONSTRUCTION_BLOCKED,shadow_exit_replay_v1.entry_price,no decision materialized_feature_snapshot reserve evidence
