scope,run_id,session_id,pool_id,base_mint,entry_ts_ms,target_bps,stop_bps,max_hold_ms,logged_result,path_recomputed_result,exact_recomputed_result,logged_pnl_bps,recomputed_pnl_bps,diff_bps,result_match,result_quality,pnl_quality,failure_reason
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,2XQAW8hbQovHUDxQsdFASXQbGMpQMaxjMkjQBivREuSU,9voQmGgYyfBwujp2mCUTB4HRDTKgtzBpbZeKpCcspump,1782405875656,6000,-6000,120000,stop,stop,stop,-7718,-7718,0,True,OK,OK,
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,2KNcCaTtG6htM2x8RvBNFzzBGozAVLTSHbSEnZABiB7y,7mfGVbDkaxkU12STCuB6fzUESKdNqZHRQnx5rpfGpump,1782405885467,6000,-6000,120000,timeout,timeout,timeout,-4883,-4883,0,True,OK,OK,
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,6cAJoMZmpf6hLgYbGCQzPNpQcxmAFAxt6UToRxNU1Lon,EkfopKRL6GwyjiDqyJfKvkre8CHwLPyejh6A2oG8pump,1782405892225,6000,-6000,120000,timeout,timeout,timeout,-302,-302,0,True,OK,OK,
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,3C1KUYdfLhvG9eYd3vHnZEr43wGc3ej3fG5msXMmNG14,86mPHqPT3zsmBG7hMa5ipGzZTe2hKpFfvqRQmk4Ypump,1782405894064,6000,-6000,120000,timeout,timeout,timeout,-1599,-1599,0,True,OK,OK,
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,GcKfiLvNDFSULs2FH37QHsrPESyqG3KyicvJ3mDLWgmk,HghTGv1U6sMS8UoV753DAiZttsxuCBp2fEESYbwtpump,1782405897367,6000,-6000,120000,timeout,timeout,timeout,2784,2784,0,True,OK,OK,
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,C1FbDLBb7FeYVXkaYCZMxdT3jQaDp43WaqQCTc7etSho,66yPSt3YiUSNu9mfVjicamwYnhCJHvkEAyVRaNJ1pump,1782405902066,6000,-6000,120000,timeout,timeout,timeout,-1652,-1652,0,True,OK,OK,
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,EpYcBs1oCnV8Tq9UBV1jpf68AnwAxAdzXSycFCmyiATJ,CUMRhhsyUKyA1iq7bviiJuL6pW4HV6i57WJAngJTpump,1782405908036,6000,-6000,120000,timeout,timeout,timeout,-108,-108,0,True,OK,OK,
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,9zvycRq4zCdzVQ9M45em4rvzdV3p8UAmLrCgbjUkBbSg,EtLKxPvkHyBwzPE3XpgUFJDNJ1onTFsTmsCDVuNmpump,1782405911169,6000,-6000,120000,timeout,timeout,timeout,-162,-162,0,True,OK,OK,
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,76m9f21HW6FVwKUQLX5oRxwxLhtEdAaQqdVVU6cGDhst,CwgpiTw1w9p7CNAaUK26G6p2Q64JkBthaYmzhQVppump,1782405916691,6000,-6000,120000,timeout,timeout,timeout,-368,-368,0,True,OK,OK,
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,BiqS5D1DCQ8oWGZQuHdGDkuchhRM74WfGJudnXUncKk7,2LmZ1QBh4ynDLqahpShFQxPyTh2K8x2EJ6BcweP6pump,1782405921806,6000,-6000,120000,timeout,timeout,timeout,-565,-565,0,True,OK,OK,
