scope,run_id,session_id,pool_id,base_mint,entry_ts_ms,path_point_count,first_path_point_age_ms,median_interval_ms,p90_interval_ms,max_interval_ms,coverage_1000ms,coverage_2000ms,coverage_3000ms,coverage_5000ms,coverage_10000ms,coverage_20000ms,coverage_30000ms,coverage_60000ms,coverage_120000ms,coverage_300000ms,coverage_500000ms,target_stop_crossing_between_samples_possible,same_slot_ambiguity_represented,long_horizon_exceeds_replay,path_status
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,2XQAW8hbQovHUDxQsdFASXQbGMpQMaxjMkjQBivREuSU,9voQmGgYyfBwujp2mCUTB4HRDTKgtzBpbZeKpCcspump,1782405875656,122,0,1000.0,1499.0,9441,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,EVALUABLE_APPROX,EVALUABLE_APPROX,EVALUABLE_APPROX,EVALUABLE_APPROX,NOT_EVALUABLE_NO_COVERAGE,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,True,False,True,OK
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,2KNcCaTtG6htM2x8RvBNFzzBGozAVLTSHbSEnZABiB7y,7mfGVbDkaxkU12STCuB6fzUESKdNqZHRQnx5rpfGpump,1782405885467,99,0,1001.0,1500.0,3921,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,EVALUABLE_APPROX,EVALUABLE_APPROX,EVALUABLE_APPROX,EVALUABLE_APPROX,NOT_EVALUABLE_NO_COVERAGE,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,True,False,True,OK
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,6cAJoMZmpf6hLgYbGCQzPNpQcxmAFAxt6UToRxNU1Lon,EkfopKRL6GwyjiDqyJfKvkre8CHwLPyejh6A2oG8pump,1782405892225,102,0,1001.0,1500.0,4106,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,EVALUABLE_APPROX,EVALUABLE_APPROX,EVALUABLE_APPROX,EVALUABLE_APPROX,NOT_EVALUABLE_NO_COVERAGE,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,True,False,True,OK
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,3C1KUYdfLhvG9eYd3vHnZEr43wGc3ej3fG5msXMmNG14,86mPHqPT3zsmBG7hMa5ipGzZTe2hKpFfvqRQmk4Ypump,1782405894064,100,0,1001.0,1500.0,5774,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,EVALUABLE_APPROX,EVALUABLE_APPROX,EVALUABLE_APPROX,EVALUABLE_APPROX,NOT_EVALUABLE_NO_COVERAGE,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,True,False,True,OK
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,GcKfiLvNDFSULs2FH37QHsrPESyqG3KyicvJ3mDLWgmk,HghTGv1U6sMS8UoV753DAiZttsxuCBp2fEESYbwtpump,1782405897367,130,0,1000.0,1371.0,7980,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,EVALUABLE_APPROX,EVALUABLE_APPROX,EVALUABLE_APPROX,EVALUABLE_APPROX,NOT_EVALUABLE_NO_COVERAGE,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,True,False,True,OK
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,C1FbDLBb7FeYVXkaYCZMxdT3jQaDp43WaqQCTc7etSho,66yPSt3YiUSNu9mfVjicamwYnhCJHvkEAyVRaNJ1pump,1782405902066,108,0,1001.0,1500.0,4277,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,EVALUABLE_APPROX,EVALUABLE_APPROX,EVALUABLE_APPROX,EVALUABLE_APPROX,NOT_EVALUABLE_NO_COVERAGE,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,True,False,True,OK
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,EpYcBs1oCnV8Tq9UBV1jpf68AnwAxAdzXSycFCmyiATJ,CUMRhhsyUKyA1iq7bviiJuL6pW4HV6i57WJAngJTpump,1782405908036,98,0,1000.0,1500.0,8295,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,EVALUABLE_APPROX,EVALUABLE_APPROX,EVALUABLE_APPROX,EVALUABLE_APPROX,NOT_EVALUABLE_NO_COVERAGE,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,True,False,True,OK
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,9zvycRq4zCdzVQ9M45em4rvzdV3p8UAmLrCgbjUkBbSg,EtLKxPvkHyBwzPE3XpgUFJDNJ1onTFsTmsCDVuNmpump,1782405911169,100,0,1000.0,1500.0,9164,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,EVALUABLE_APPROX,EVALUABLE_APPROX,EVALUABLE_APPROX,EVALUABLE_APPROX,NOT_EVALUABLE_NO_COVERAGE,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,True,False,True,OK
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,76m9f21HW6FVwKUQLX5oRxwxLhtEdAaQqdVVU6cGDhst,CwgpiTw1w9p7CNAaUK26G6p2Q64JkBthaYmzhQVppump,1782405916691,100,0,1000.0,1500.0,7139,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,EVALUABLE_APPROX,EVALUABLE_APPROX,EVALUABLE_APPROX,EVALUABLE_APPROX,NOT_EVALUABLE_NO_COVERAGE,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,True,False,True,OK
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,BiqS5D1DCQ8oWGZQuHdGDkuchhRM74WfGJudnXUncKk7,2LmZ1QBh4ynDLqahpShFQxPyTh2K8x2EJ6BcweP6pump,1782405921806,97,0,1001.0,1500.0,9209,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,EVALUABLE_APPROX,EVALUABLE_APPROX,EVALUABLE_APPROX,EVALUABLE_APPROX,NOT_EVALUABLE_NO_COVERAGE,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,True,False,True,OK
R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,36cYX5wCqX1rF17PCJV1ZFetDWXgtajVZWka7UoWswXe,G2HcQX9mHqdN8jGofsQLkYbgZRrMfkGZ7eDpJsHspump,1782405928821,97,0,1001.0,1500.0,7010,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,SPARSE_APPROX_ONLY,EVALUABLE_APPROX,EVALUABLE_APPROX,EVALUABLE_APPROX,EVALUABLE_APPROX,NOT_EVALUABLE_NO_COVERAGE,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,True,False,True,OK
