row_type,scope,run_id,session_id,pool_id,base_mint,entry_ts_ms,exact_join,fallback_join,ambiguous_join,missing_replay,missing_lifecycle,duplicate_terminal,replay_close_reason,lifecycle_close_reason,close_reason_match,replay_pnl_bps,lifecycle_pnl_bps,final_pnl_match,replay_close_age_ms,lifecycle_close_age_ms,close_age_match,pnl_diff_bps,failure_reason
position,R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,2XQAW8hbQovHUDxQsdFASXQbGMpQMaxjMkjQBivREuSU,9voQmGgYyfBwujp2mCUTB4HRDTKgtzBpbZeKpCcspump,1782405875656,True,False,False,False,False,True,stop,stop,True,-7408,-7433.845714285714,False,50590,50675,True,25.845714285714166,DUPLICATE_TERMINAL_RECORDS
position,R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,2KNcCaTtG6htM2x8RvBNFzzBGozAVLTSHbSEnZABiB7y,7mfGVbDkaxkU12STCuB6fzUESKdNqZHRQnx5rpfGpump,1782405885467,True,False,False,False,False,True,timeout,stop,False,-4883,-4935.855714285714,False,120000,52866,False,52.855714285714384,DUPLICATE_TERMINAL_RECORDS
position,R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,6cAJoMZmpf6hLgYbGCQzPNpQcxmAFAxt6UToRxNU1Lon,EkfopKRL6GwyjiDqyJfKvkre8CHwLPyejh6A2oG8pump,1782405892225,True,False,False,False,False,True,timeout,stop,False,-102,-203.38857142857142,False,120000,30106,False,101.38857142857142,DUPLICATE_TERMINAL_RECORDS
position,R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,3C1KUYdfLhvG9eYd3vHnZEr43wGc3ej3fG5msXMmNG14,86mPHqPT3zsmBG7hMa5ipGzZTe2hKpFfvqRQmk4Ypump,1782405894064,True,False,False,False,False,True,timeout,stop,False,-1599,-1684.4685714285713,False,120000,53268,False,85.4685714285713,DUPLICATE_TERMINAL_RECORDS
position,R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,GcKfiLvNDFSULs2FH37QHsrPESyqG3KyicvJ3mDLWgmk,HghTGv1U6sMS8UoV753DAiZttsxuCBp2fEESYbwtpump,1782405897367,True,False,False,False,False,True,timeout,stop,False,2784,-4539.92,False,120000,237464,False,7323.92,DUPLICATE_TERMINAL_RECORDS
position,R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,C1FbDLBb7FeYVXkaYCZMxdT3jQaDp43WaqQCTc7etSho,66yPSt3YiUSNu9mfVjicamwYnhCJHvkEAyVRaNJ1pump,1782405902066,True,False,False,False,False,True,timeout,stop,False,-1652,-1737.1585714285723,False,120000,116265,False,85.15857142857226,DUPLICATE_TERMINAL_RECORDS
position,R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,EpYcBs1oCnV8Tq9UBV1jpf68AnwAxAdzXSycFCmyiATJ,CUMRhhsyUKyA1iq7bviiJuL6pW4HV6i57WJAngJTpump,1782405908036,True,False,False,False,False,True,timeout,stop,False,-108,-214.1799999999998,False,120000,30298,False,106.17999999999981,DUPLICATE_TERMINAL_RECORDS
position,R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,9zvycRq4zCdzVQ9M45em4rvzdV3p8UAmLrCgbjUkBbSg,EtLKxPvkHyBwzPE3XpgUFJDNJ1onTFsTmsCDVuNmpump,1782405911169,True,False,False,False,False,True,timeout,stop,False,-102,-203.4814285714292,False,120000,53162,False,101.4814285714292,DUPLICATE_TERMINAL_RECORDS
position,R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,76m9f21HW6FVwKUQLX5oRxwxLhtEdAaQqdVVU6cGDhst,CwgpiTw1w9p7CNAaUK26G6p2Q64JkBthaYmzhQVppump,1782405916691,True,False,False,False,False,True,timeout,stop,False,-368,-466.59142857142893,False,120000,46140,False,98.59142857142893,DUPLICATE_TERMINAL_RECORDS
position,R48/R2,shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2,BiqS5D1DCQ8oWGZQuHdGDkuchhRM74WfGJudnXUncKk7,2LmZ1QBh4ynDLqahpShFQxPyTh2K8x2EJ6BcweP6pump,1782405921806,True,False,False,False,False,True,timeout,stop,False,-565,-661.3285714285719,False,120000,67526,False,96.32857142857188,DUPLICATE_TERMINAL_RECORDS
