metric,value
run_id,shadow-burnin-v2-entry-l1-diagnostic-pr34c-r1
scope,reports/selector/shadow-v2-entry-l1-diagnostic-pr34c-r1
main_head,57c6e313e2b583ea09bde98d0eff5367fd048f88
final_verdict,PR34_ENTRY_L1_DIAGNOSTIC_BURNIN_PASS
entry_attempt_rows,81
entry_pool_state_sample_rows,163
entry_fill_rows,81
ENTRY_BOUNDARY_BASE_MINT_MISMATCH_count,0
ENTRY_BOUNDARY_HANDOFF_VALIDATION_FAILED_count,0
ENTRY_BOUNDARY_POOL_ID_MISMATCH_count,0
ENTRY_FILL_POOL_STATE_AFTER_FILL_BOUNDARY_count,0
ENTRY_FILL_POOL_STATE_NOT_STRICTLY_BEFORE_FILL_BOUNDARY_count,0
ENTRY_FILL_POOL_STATE_SAME_SLOT_ORDER_AMBIGUOUS_count,0
POOL_STATE_ACCOUNT_DATA_HASH_UNAVAILABLE_IN_RUNTIME_affected_entry_fills,81
POOL_STATE_ACCOUNT_DATA_HASH_UNAVAILABLE_IN_RUNTIME_count,162
accepted_shadow_handoff_count,81
entry_boundary_payload_count,81
entry_boundary_payload_missing_count,0
entry_fill_BLOCKED_BY_DATA_count,0
entry_fill_FILLED_count,81
execution_label_grade_DIAGNOSTIC_SIM_count,81
execution_label_grade_LIVE_CONFIRMED_count,0
execution_label_grade_RESEARCH_CANDIDATE_count,0
execution_simulation_ready_false_count,0
execution_simulation_ready_true_count,81
research_provenance_ready_false_count,81
research_provenance_ready_true_count,0
unknown_or_untyped_blocker_count,0
ENTRY_BOUNDARY_BASE_MINT_MISMATCH_count_eq_0,True
ENTRY_BOUNDARY_HANDOFF_VALIDATION_FAILED_count_eq_0,True
ENTRY_BOUNDARY_POOL_ID_MISMATCH_count_eq_0,True
entry_boundary_payload_count_gt_0,True
entry_fill_FILLED_count_gt_0,True
execution_label_grade_LIVE_CONFIRMED_count_eq_0,True
execution_simulation_ready_true_count_gt_0,True
