metric,value,notes
run_id,shadow-burnin-v2-exit-l1-diagnostic-pr38b-r1,
scope,reports/selector/shadow-v2-exit-l1-diagnostic-pr38b-r1,
main_head,1f3db1022c901d20ed145049d1623559a41c8de4,
pr39_merge_commit,1f3db1022c901d20ed145049d1623559a41c8de4,
config_path,configs/rollout/shadow-v2-exit-l1-diagnostic-pr38b-r1.local.toml,
launcher_command,./target/release/ghost-launcher --config configs/rollout/shadow-v2-exit-l1-diagnostic-pr38b-r1.local.toml,
controller_command,"bash controller: launch ghost-launcher, sleep 3000s, send SIGINT, wait up to 300s, SIGTERM only on drain timeout",
start_utc,2026-07-03T13:43:39Z,
sigint_utc,2026-07-03T14:33:40Z,
end_utc,2026-07-03T14:34:08Z,
duration_seconds,3029,
configured_run_seconds,3000,
shutdown_method,SIGINT,
controller_exit_status,0,
forced_sigterm,False,
launcher_wait_status,PASS_ALL_COMPONENTS_SHUT_DOWN,
runtime_post_run_manifest_status,PASS,
pre_run_manifest_status,PASS,
post_run_strict_audit_status,PASS,
postbuy_runtime_shutdown_status,PASS,
clean_shutdown_proven,True,
no_sigterm,True,
no_reconnect_disconnect_flood_after_shutdown,True,
no_forced_component_abort,True,
component_join_timeout_seen,False,
schema_counts,"{""pool_state_sample_v2"": 258, ""shadow_entry_attempt_v2"": 129, ""shadow_entry_fill_v2"": 129, ""shadow_exit_attempt_v2"": 129, ""shadow_exit_fill_v2"": 129, ""shadow_path_sample_v2"": 258, ""shadow_position_v2"": 130, ""shadow_terminal_truth_v2"": 129}",json
event_kind_counts,"{""ENTRY_ATTEMPT"": 129, ""ENTRY_FILL"": 129, ""EXIT_ATTEMPT"": 129, ""EXIT_FILL"": 129, ""PATH_SAMPLE"": 258, ""POOL_STATE_SAMPLE"": 258, ""POSITION_CREATED"": 130, ""TERMINAL_TRUTH"": 129}",json
accepted_shadow_handoff_count,129,
validation_smoke_marker_count,1,
entry_boundary_payload_count,129,
entry_boundary_payload_missing_count,0,
entry_fill_FILLED_count,129,
entry_fill_BLOCKED_BY_DATA_count,0,
entry_execution_simulation_ready_true_count,129,
entry_execution_simulation_ready_false_count,0,
entry_execution_label_grade_DIAGNOSTIC_SIM_count,129,
exit_attempt_rows,129,
exit_pool_state_before_count,129,
exit_pool_state_before_missing_count,0,
exit_pool_state_sample_count,129,
exit_token_amount_raw_count,129,
exit_token_amount_raw_missing_count,0,
exit_token_amount_raw_persisted_field_count,0,
exit_token_amount_raw_count_basis,engine_path_precondition_for_shadow_exit_fill_v2_FILLED; raw input amount is not serialized as standalone field in shadow_exit_fill_v2,
exit_fill_FILLED_count,129,
exit_fill_BLOCKED_BY_DATA_count,0,
exit_execution_simulation_ready_true_count,129,
exit_execution_simulation_ready_false_count,0,
exit_execution_label_grade_DIAGNOSTIC_SIM_count,129,
exit_execution_label_grade_RESEARCH_CANDIDATE_count,0,
exit_execution_label_grade_LIVE_CONFIRMED_count,0,
exit_research_provenance_ready_true_count,0,
exit_research_provenance_ready_false_count,129,
EXIT_FILL_POOL_STATE_SAME_SLOT_ORDER_AMBIGUOUS_count,0,
EXIT_FILL_POOL_STATE_AFTER_FILL_BOUNDARY_count,0,
EXIT_FILL_POOL_STATE_NOT_STRICTLY_BEFORE_FILL_BOUNDARY_count,0,
EXIT_FILL_TOKEN_AMOUNT_RAW_UNAVAILABLE_count,0,
EXIT_POOL_STATE_BEFORE_UNAVAILABLE_count,0,
EXIT_FILL_POOL_STATE_SAMPLE_NOT_AVAILABLE_IN_RUNTIME_count,0,
POOL_STATE_ACCOUNT_DATA_HASH_UNAVAILABLE_IN_RUNTIME_count,129,
unknown_or_untyped_exit_blocker_count,0,
terminal_truth_rows,129,
terminal_truth_with_final_pnl_mark_bps_count,129,
terminal_truth_with_final_pnl_executable_bps_count,0,
terminal_truth_without_final_pnl_executable_bps_count,129,
complete_executable_roundtrip_positions,0,
entry_FILLED_exit_FILLED_same_position_count,129,
entry_FILLED_exit_BLOCKED_same_position_count,0,
entry_BLOCKED_exit_FILLED_same_position_count,0,
density_rows,9037,
EVALUABLE_EXACT_count,0,
EVALUABLE_APPROX_count,0,
SPARSE_APPROX_ONLY_count,0,
NOT_EVALUABLE_NO_COVERAGE_count,3619,
NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY_count,5418,
malformed_canonical_rows,0,
temporal_audit_verdict,BLOCKED_TEMPORAL_AMBIGUITY_REMAINS,
event_order_key_missing_required_rows,0,
event_order_key_missing_rows,0,
non_monotonic_event_seq_in_process,0,
post_entry_fields_used_in_pre_decision_context,0,
terminal_truth_used_as_pre_entry_evidence,0,
derived_replay_lifecycle_used_as_canonical_input,0,
explicit_unknown_chain_order_components,"{""block_time"": 1161, ""inner_instruction_index_or_unknown"": 1161, ""instruction_index_or_unknown"": 1161, ""log_index_or_unknown"": 1161, ""signature"": 774, ""transaction_index_or_unknown"": 1161}",json
