metric,value,notes
final_verdict,BLOCKED_CANDIDATE_UNIVERSE_DENOMINATOR_UNKNOWN,L2-E audit verdict only; not L2 research approval
candidate_universe_count,0,event-level denominator rows
eligible_denominator_count,0,candidate_universe_status=ok rows
candidate_universe_status_counts,{},
denominator_contract_failures,"[""candidate_universe_file_missing"",""candidate_universe_empty"",""eligible_denominator_zero""]",
gatekeeper_decision_path_count,0,
gatekeeper_decision_count,0,
gatekeeper_decision_joined_to_candidate_count,0,
gatekeeper_decision_unmatched_count,0,
gatekeeper_buy_count,0,
gatekeeper_reject_count,0,
gatekeeper_timeout_count,0,
gatekeeper_reject_reason_top_n,[],typed reject reason distribution
checkpoint_reach_count,0,unique eligible candidates with joined Gatekeeper decision row
entry_research_candidate_count,,
exit_research_candidate_count,0,
research_candidate_roundtrip_count,,explicit metric only; not inferred from entry/exit separately
complete_executable_roundtrip_positions,28,
threshold_starvation_verdict,NOT_EVALUATED_DENOMINATOR_UNKNOWN,
unknown_reason_count,0,missing or generic non-BUY reason rows
unknown_reason_samples,[],
runtime_decision_behavior_changes,False,audit-only
runtime_evidence_schema_changes,False,no Shadow V2 runtime schema change
runtime_approval,False,not granted
research_grade,False,not granted
live_equivalence,False,not granted
strategy_research_unblocked,False,not granted
shadow_close_only,False,not enabled
active_close,False,not enabled
recommended_next_stage,repair_candidate_universe_denominator_before_l2_f,
