metric,value,notes
artifact_budget_verdict,L2_G_ARTIFACT_BUDGET_COMPACT_EMISSION_READY,default L2 profile is compact and fail-closed on budget breach
compact_density_enabled,true,default harness config writes compact final density rows only
declared_horizons_only_by_default,true,default horizons are 2000/3000/10000/30000/120000
undeclared_long_horizons_default_emission,false,300000/500000 require SHADOW_V2_DENSITY_FULL_STREAM=1 or explicit full-stream config
density_rows_before_estimate,1508430,R1 measured shadow_path_density_v2 row count before cleanup
density_rows_after_estimate,5480,R1-like terminal scope estimate: 1096 terminal positions * 5 declared horizons
density_bytes_before,13086613504,R1 measured size before cleanup
density_bytes_after_estimate,47542572,estimated from R1 avg density row size and compact terminal rows
replay_bytes_before,9681437395,R1 measured shadow_replay_v2 size before cleanup
lifecycle_bytes_before,8004169728,R1 measured shadow_lifecycle_v2 size before cleanup
position_event_bytes_before,1295433728,R1 measured canonical stream size before cleanup
stdout_bytes_before,1541640192,R1 measured launcher stdout size before cleanup
system_log_bytes_before,1259556864,R1 measured system log size before cleanup
selected_artifact_bytes_before,34868851411,selected oversized R1 files measured before operator cleanup
replay_lifecycle_full_refs_repeated,false,compact mode clears repeated full source_event_ids/path_sample_event_ids arrays after manifesting range hashes
replay_lifecycle_compact_refs_enabled,true,default harness config uses compact refs
source_ref_manifest_enabled,true,shadow_source_ref_manifest_v2.jsonl is required post-run artifact
compression_enabled,false,no runtime zst writer added in L2-G; rotation+compact+budget is the enforced default
rotation_enabled,true,large JSONL artifacts rotate to .part-000001.jsonl with shadow_artifact_rotation_manifest_v2 rows before budget failure
rotation_manifest_enabled,true,shadow_artifact_rotation_manifest_v2.jsonl records rotated path/size/row_count/blake3 hash
max_total_artifact_bytes,5368709120,default 5 GiB L2 profile budget
max_file_bytes,2147483648,default 2 GiB per-file budget
max_rows_per_file,2000000,default per-file row budget
max_density_rows,250000,default density row budget
max_stdout_bytes,268435456,default compact research stdout budget expectation
max_system_log_bytes,536870912,default compact research system log budget expectation
budget_breach_verdict,BLOCKED_L2_ARTIFACT_BUDGET_EXCEEDED,harness returns fail-closed write status when budgets are exceeded
l2_audit_compatibility_verdict,PASS_COMPACT_ARTIFACTS_KEEP_L2_AUDIT_INPUTS,canonical stream unchanged; density audit reads compact latest rows; replay/lifecycle audit uses terminal fields; manifest audit requires source ref manifest
runtime_decision_behavior_changes,NONE,no Gatekeeper/BUY/REJECT/selector/TX/Jito/live path change
gatekeeper_policy_changes,NONE,hard boundary preserved
provider_stream_changes,NONE,hard boundary preserved
approval_flags,"runtime_approval=false;research_grade=false;live_equivalence=false;strategy_research_unblocked=false;shadow_close_only=false;active_close=false",offline evidence hardening only
oversized_r1_status,deleted_by_operator,operator removed reports/selector/shadow-v2-l2-f-research-codex-20260706-r1 before final L2-G report generation
