metric,value
scope_root,reports/selector/shadow-v2-fidelity-validation-pr18c-45m-r1
main_head_after_pr28_merge,8d804824febaf0ff4d45570319d8009008444a10
final_verdict,BLOCKED_EXECUTABLE_FILL_PROVENANCE_MISSING
research_grade,NOT_GRANTED
live_equivalence,NOT_GRANTED
runtime_approval,false
shadow_close_only_approval,false
active_close_approval,false
strategy_research_unblocked,false
runtime_approval_candidate,true_for_shadow_v2_logging_validation_only
strategy_research_unblocked_candidate,false_until_executable_fill_provenance_and_density_temporal_blocks_are_resolved
entry_audit_verdict,BLOCKED_ENTRY_FILLS_BLOCKED_BY_DATA
shadow_entry_attempt_v2_rows,127
shadow_entry_fill_v2_rows,127
entry_fill_blocked_by_data_rows,127
entry_fills_with_pool_state_before_present,0
entry_fills_with_pool_state_after_present,0
entry_fills_with_fill_price_present,0
entry_fills_with_slippage_bps_present,0
entry_fills_with_own_impact_bps_present,0
entry_fills_with_fee_bps_present,0
entry_reconstruction_ready_count,0
entry_reconstruction_blocked_count,127
entry_blocked_reason_ENTRY_FILL_BLOCKED_BY_MISSING_POOL_STATE,127
entry_blocked_reason_ENTRY_FILL_NOT_EXECUTABLE_WITHOUT_POOL_STATE_PROVENANCE,127
entry_blocked_reason_ENTRY_FILL_POOL_STATE_SAMPLE_MISSING,127
exit_audit_verdict,BLOCKED_EXIT_FILLS_BLOCKED_BY_DATA
shadow_exit_attempt_v2_rows,127
shadow_exit_fill_v2_rows,127
exit_fill_blocked_by_data_rows,127
exit_fills_with_pool_state_before_present,0
exit_fills_with_pool_state_after_present,0
exit_fills_with_fill_price_present,0
exit_fills_with_slippage_bps_present,0
exit_fills_with_own_impact_bps_present,0
exit_fills_with_fee_bps_present,0
exit_reconstruction_ready_count,0
exit_reconstruction_blocked_count,127
exit_blocked_reason_EXIT_FILL_BLOCKED_BY_MISSING_POOL_STATE,127
exit_blocked_reason_EXIT_FILL_NOT_EXECUTABLE_WITHOUT_POOL_STATE_PROVENANCE,127
exit_blocked_reason_EXIT_FILL_POOL_STATE_SAMPLE_MISSING,127
exit_blocked_reason_SESSION_ID_MISSING_FROM_LIFECYCLE_EXPLICIT_UNKNOWN,127
exit_blocked_reason_EXIT_FILL_LEGACY_EXIT_PRICE_MISSING,2
exit_blocked_reason_EXIT_FILL_LEGACY_LIFECYCLE_EXIT_BLOCKED,1
terminal_truth_rows,129
terminal_truth_with_final_pnl_mark_bps,128
terminal_truth_with_final_pnl_executable_bps,0
replay_lifecycle_audit_verdict,PASS_REPLAY_LIFECYCLE_RECONCILED
shadow_replay_v2_rows,1022
shadow_lifecycle_v2_rows,1022
replay_rows_derived_from_canonical_terminal,129
lifecycle_rows_derived_from_canonical_terminal,129
replay_rows_open_or_blocked,893
lifecycle_rows_open_or_blocked,893
exact_join_match_count,129
terminal_event_id_match_count,129
terminal_reason_match_count,129
final_pnl_mark_match_count,129
final_pnl_executable_match_count,129
close_age_match_count,129
mismatch_count,0
missing_terminal_link_count,0
density_audit_verdict,BLOCKED_DENSITY_NOT_EVALUABLE_FOR_REQUIRED_HORIZONS
density_rows,7154
density_horizon_count,7
density_malformed_rows,0
density_unknown_horizon_rows,0
density_evaluable_exact_total,0
density_evaluable_approx_total,0
density_sparse_approx_only_total,0
density_not_evaluable_no_coverage_total,2716
density_not_evaluable_horizon_exceeds_replay_total,4438
density_horizon_2000_total_rows,1022
density_horizon_2000_not_evaluable_no_coverage,391
density_horizon_2000_not_evaluable_horizon_exceeds_replay,631
density_horizon_3000_total_rows,1022
density_horizon_3000_not_evaluable_no_coverage,391
density_horizon_3000_not_evaluable_horizon_exceeds_replay,631
density_horizon_10000_total_rows,1022
density_horizon_10000_not_evaluable_no_coverage,391
density_horizon_10000_not_evaluable_horizon_exceeds_replay,631
density_horizon_30000_total_rows,1022
density_horizon_30000_not_evaluable_no_coverage,391
density_horizon_30000_not_evaluable_horizon_exceeds_replay,631
density_horizon_120000_total_rows,1022
density_horizon_120000_not_evaluable_no_coverage,384
density_horizon_120000_not_evaluable_horizon_exceeds_replay,638
density_horizon_300000_total_rows,1022
density_horizon_300000_not_evaluable_no_coverage,384
density_horizon_300000_not_evaluable_horizon_exceeds_replay,638
density_horizon_500000_total_rows,1022
density_horizon_500000_not_evaluable_no_coverage,384
density_horizon_500000_not_evaluable_horizon_exceeds_replay,638
temporal_audit_verdict,BLOCKED_TEMPORAL_AMBIGUITY_REMAINS
event_order_key_present_rows,763
event_order_key_missing_rows,259
non_monotonic_event_seq_in_process,0
post_entry_fields_used_in_pre_decision_context,0
terminal_truth_used_as_pre_entry_evidence,0
derived_replay_lifecycle_used_as_canonical_input,0
unknown_component_block_time_rows,763
unknown_component_signature_rows,509
unknown_component_transaction_index_rows,763
unknown_component_instruction_index_rows,763
unknown_component_inner_instruction_index_rows,763
unknown_component_log_index_rows,763
manifest_retention_audit_verdict,PASS_MANIFEST_RETENTION_AUDIT
runtime_post_run_manifest_status,PASS
strict_audit_status,PASS
artifact_count,6
total_size_bytes,25059202
raw_jsonl_not_staged,true
logs_not_staged,true
runtime_scope_not_staged,true
local_configs_not_staged,true
forbidden_staged_files,0
