metric,value
run_id,shadow-smoke-v2-terminal-executable-pnl-pr41-r1
scope,reports/selector/shadow-v2-terminal-executable-pnl-pr41-r1
main_head,b68ec301e3b17a3a0a81ef005fb1cf37083bc421
pr41_merge_commit,b68ec301e3b17a3a0a81ef005fb1cf37083bc421
final_verdict,PR41_TERMINAL_EXECUTABLE_PNL_SMOKE_PASS
plan_pr36_l1_candidate,PLAN_PR36_L1_DETERMINISTIC_EXECUTION_SIM_READY_CANDIDATE
configured_run_seconds,900
duration_seconds,932
shutdown_method,SIGINT
controller_exit_status,0
launcher_wait_status,All components shut down successfully; Ghost Launcher shutdown complete
runtime_post_run_manifest_status,PASS
post_run_strict_audit_status,PASS
clean_shutdown_proven,True
forced_sigterm,False
no_forced_component_abort,True
canonical_rows,281
malformed_canonical_rows,0
accepted_shadow_handoff_count,28
validation_smoke_marker_count,1
entry_fill_FILLED_count,28
entry_fill_BLOCKED_BY_DATA_count,0
entry_execution_simulation_ready_true_count,28
entry_execution_label_grade_DIAGNOSTIC_SIM_count,28
exit_fill_FILLED_count,28
exit_fill_BLOCKED_BY_DATA_count,0
exit_execution_simulation_ready_true_count,28
exit_execution_label_grade_DIAGNOSTIC_SIM_count,28
exit_execution_label_grade_RESEARCH_CANDIDATE_count,0
exit_execution_label_grade_LIVE_CONFIRMED_count,0
entry_FILLED_exit_FILLED_same_position_count,28
terminal_truth_rows,28
terminal_truth_with_final_pnl_mark_bps_count,28
terminal_truth_with_final_pnl_executable_bps_count,28
terminal_truth_without_final_pnl_executable_bps_count,0
complete_executable_roundtrip_positions,28
terminal_truth_exact_linked_entry_fill_count,28
terminal_truth_exact_linked_exit_fill_count,28
terminal_truth_exact_entry_exit_link_pair_count,28
terminal_truth_linked_entry_fill_missing_count,0
terminal_truth_linked_exit_fill_missing_count,0
unknown_or_untyped_terminal_blocker_count,0
unknown_or_untyped_exit_blocker_count,0
unknown_or_untyped_entry_blocker_count,0
density_rows,1967
dedicated_terminal_executable_pnl_audit_script,MISSING
terminal_link_counters_computed_from_canonical_stream,True
audit_entry_reconstruction,PASS_ENTRY_RECONSTRUCTION_READY
audit_exit_reconstruction,PASS_EXIT_RECONSTRUCTION_READY
audit_manifest_retention,PASS_MANIFEST_RETENTION_AUDIT
audit_path_density,BLOCKED_DENSITY_NOT_EVALUABLE_FOR_REQUIRED_HORIZONS
audit_replay_lifecycle_reconciliation,PASS_REPLAY_LIFECYCLE_RECONCILED
audit_temporal_no_lookahead,BLOCKED_TEMPORAL_AMBIGUITY_REMAINS
active_close_approval,False
live_equivalence,False
research_grade,False
runtime_approval,False
shadow_close_only_approval,False
strategy_research_unblocked,False
event_kind_ENTRY_ATTEMPT,28
event_kind_ENTRY_FILL,28
event_kind_EXIT_ATTEMPT,28
event_kind_EXIT_FILL,28
event_kind_PATH_SAMPLE,56
event_kind_POOL_STATE_SAMPLE,56
event_kind_POSITION_CREATED,29
event_kind_TERMINAL_TRUTH,28
density_NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY,1176
density_NOT_EVALUABLE_NO_COVERAGE,791
terminal_reconciliation_TERMINAL_TRUTH_WITH_DIAGNOSTIC_EXECUTABLE_PNL,28
terminal_limitation_NOT_LIVE_EQUIVALENT,28
terminal_limitation_SESSION_ID_MISSING_FROM_LIFECYCLE_EXPLICIT_UNKNOWN,28
terminal_limitation_SHADOW_V2_RECORD_NOT_CONSUMED_BY_DECISIONS,28
terminal_limitation_TERMINAL_EXECUTABLE_PNL_DIAGNOSTIC_ONLY_NOT_LIVE_CONFIRMED,28
terminal_limitation_TERMINAL_EXECUTABLE_PNL_FROM_CANONICAL_ENTRY_EXIT_FILLED_EVENTS,28
terminal_limitation_TERMINAL_TRUTH_DERIVED_FROM_LEGACY_LIFECYCLE_RECORD,28
terminal_limitation_TERMINAL_TRUTH_MARK_PATH_ONLY_NOT_EXECUTABLE_FILL,28
sample_entry_fill_status,FILLED
sample_exit_fill_status,FILLED
sample_final_pnl_executable_bps,-5486
sample_final_pnl_mark_bps,-5486
sample_linked_entry_fill_event_id,shadow_v2_entry_fill:CVzzi42CiPoY8L32fTuCyvcrssfx4wTTh5RyMuK7UgGS:FoUkPTEhD8NyaCPkCTWsR74TxiYcpSoNzLwBMGcEpump:1783101543594:1783101536771
sample_linked_exit_fill_event_id,shadow_v2_exit_fill:CVzzi42CiPoY8L32fTuCyvcrssfx4wTTh5RyMuK7UgGS:FoUkPTEhD8NyaCPkCTWsR74TxiYcpSoNzLwBMGcEpump:1783101543594:1783101543887:exit_filled
sample_position_id,CVzzi42CiPoY8L32fTuCyvcrssfx4wTTh5RyMuK7UgGS:FoUkPTEhD8NyaCPkCTWsR74TxiYcpSoNzLwBMGcEpump:1783101543594
sample_terminal_truth_event_id,shadow_v2_terminal_truth:CVzzi42CiPoY8L32fTuCyvcrssfx4wTTh5RyMuK7UgGS:FoUkPTEhD8NyaCPkCTWsR74TxiYcpSoNzLwBMGcEpump:1783101543594:1783101543956:STOP
