scope,row_type,entry_cohort,mask_name,target_bps,stop_bps,max_hold_ms,segment,evaluable,blocking_reason,retained_count,paired_delta_sum_bps,paired_delta_avg_bps,paired_delta_median_bps,exit_action_precision,wilson_lower95,target_cut_damage_ratio,target_cut_count,saved_stop_count,timeout_improved_count,max_consecutive_harmful_actions,segment_acceptance_pass,acceptance_failures
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M4_CONFIRM_2_WINDOWS,7500,-6000,60000,train,True,,1583,92390,58.363866077068856,0.0,0.6208609271523179,0.5815195674229087,0.18779721925872814,13,23,352,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M4_CONFIRM_2_WINDOWS,7500,-6000,60000,validation,True,,1583,-7643,-4.828174352495262,0.0,0.6243478260869565,0.5840614665690429,0.28555424041399435,15,18,341,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M4_CONFIRM_2_WINDOWS,7500,-6000,60000,holdout,True,,1582,-10494,-6.633375474083438,0.0,0.6631799163179917,0.6196590958217871,0.3869818987809383,14,16,301,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M4_CONFIRM_2_WINDOWS,7500,-6000,120000,train,True,,1583,241528,152.57612128869235,0.0,0.7235772357723578,0.6902160171408919,0.26641490496912185,28,35,499,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M4_CONFIRM_2_WINDOWS,7500,-6000,120000,validation,True,,1583,69861,44.13202779532533,0.0,0.7204450625869263,0.6865365345247991,0.42945544974911076,38,33,485,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M4_CONFIRM_2_WINDOWS,7500,-6000,120000,holdout,True,,1582,89742,56.72692793931732,0.0,0.7528641571194763,0.7171525501546171,0.40878650818694995,26,28,432,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M4_CONFIRM_2_WINDOWS,10000,-6000,60000,train,True,,1583,74349,46.96715097915351,0.0,0.6208609271523179,0.5815195674229087,0.15363617123284712,8,23,352,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M4_CONFIRM_2_WINDOWS,10000,-6000,60000,validation,True,,1583,-3294,-2.0808591282375235,0.0,0.6267361111111112,0.5865194885435828,0.2434857649471989,10,19,342,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M4_CONFIRM_2_WINDOWS,10000,-6000,60000,holdout,True,,1582,-20902,-13.212389380530974,0.0,0.6631799163179917,0.6196590958217871,0.23345770225341705,7,16,301,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M5_DELAY_4000MS_CONFIRM,7500,-6000,60000,train,True,,1583,90247,57.01010739102969,0.0,0.6218905472636815,0.5825299916554251,0.18791490906576308,13,23,352,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M5_DELAY_4000MS_CONFIRM,7500,-6000,60000,validation,True,,1583,-4949,-3.126342387871131,0.0,0.625,0.5847583744477585,0.2789109657255735,15,18,342,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M5_DELAY_4000MS_CONFIRM,7500,-6000,60000,holdout,True,,1582,-12166,-7.6902654867256635,0.0,0.6638655462184874,0.6202668855396611,0.3877837385551224,14,15,301,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M5_DELAY_4000MS_CONFIRM,7500,-6000,120000,train,True,,1583,239385,151.2223626026532,0.0,0.7235772357723578,0.6902160171408919,0.2666340294835095,28,35,499,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M5_DELAY_4000MS_CONFIRM,7500,-6000,120000,validation,True,,1583,72555,45.83385975994946,0.0,0.7222222222222222,0.6883920643058381,0.425380536504669,38,33,487,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M5_DELAY_4000MS_CONFIRM,7500,-6000,120000,holdout,True,,1582,88070,55.67003792667509,0.0,0.7536945812807881,0.7179551883422656,0.40927971001454755,26,27,432,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M5_DELAY_4000MS_CONFIRM,10000,-6000,60000,train,True,,1583,72206,45.61339229311434,0.0,0.6218905472636815,0.5825299916554251,0.15373245280409378,8,23,352,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M5_DELAY_4000MS_CONFIRM,10000,-6000,60000,validation,True,,1583,-600,-0.3790271636133923,0.0,0.6273830155979203,0.5872112148479859,0.23717589072700102,10,19,343,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M5_DELAY_4000MS_CONFIRM,10000,-6000,60000,holdout,True,,1582,-22574,-14.269279393173198,0.0,0.6638655462184874,0.6202668855396611,0.233977171333474,7,15,301,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M5_DELAY_4000MS_CONFIRM,10000,-6000,120000,train,True,,1583,252465,159.48515476942515,0.0,0.7262872628726287,0.6930096699118776,0.1603938553874129,13,35,501,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M5_DELAY_4000MS_CONFIRM,10000,-6000,120000,validation,True,,1583,90536,57.19267214150347,0.0,0.7267683772538142,0.6931036249704292,0.2532317256204429,17,36,488,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M5_DELAY_4000MS_CONFIRM,10000,-6000,120000,holdout,True,,1582,98693,62.38495575221239,0.0,0.7586206896551724,0.7230813692908792,0.2785346176793574,14,27,435,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M6_DELAY_8000MS_CONFIRM,7500,-6000,60000,train,True,,1583,75113,47.44977890082122,0.0,0.6056338028169014,0.5648621240056285,0.1613933923054474,12,21,323,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M6_DELAY_8000MS_CONFIRM,7500,-6000,60000,validation,True,,1583,2360,1.4908401768793431,0.0,0.6192236598890942,0.5776014820216097,0.24123292953901337,14,15,320,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M6_DELAY_8000MS_CONFIRM,7500,-6000,60000,holdout,True,,1582,-14072,-8.895069532237674,0.0,0.6592427616926503,0.6142173909084029,0.3734032086257227,14,13,283,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M6_DELAY_8000MS_CONFIRM,7500,-6000,120000,train,True,,1583,212831,134.44788376500316,0.0,0.7136871508379888,0.6795050687417205,0.2512883553065413,27,33,478,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M6_DELAY_8000MS_CONFIRM,7500,-6000,120000,validation,True,,1583,82150,51.89513581806696,0.0,0.7112068965517241,0.6764507383522178,0.4072361691453208,37,30,465,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M6_DELAY_8000MS_CONFIRM,7500,-6000,120000,holdout,True,,1582,86664,54.78128950695322,0.0,0.7538461538461538,0.7173575987171991,0.39929046604109575,26,25,416,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M6_DELAY_8000MS_CONFIRM,10000,-6000,60000,train,True,,1583,59572,37.63234365129501,0.0,0.6056338028169014,0.5648621240056285,0.13152492225945717,7,21,323,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
