scope,row_type,entry_cohort,mask_name,target_bps,stop_bps,max_hold_ms,evaluable,blocking_reason,retained_count,retained_pct,exact_join_rate,target_rate,stop_rate,timeout_rate,negative_timeout_rate,avg_pnl_bps,median_pnl_bps,sum_pnl_bps,paired_delta_sum_bps,paired_delta_avg_bps,paired_delta_median_bps,exit_action_precision,wilson_lower95,target_cut_damage_ratio,target_cut_count,saved_stop_count,timeout_improved_count,target_cut_count_guard_pass,aggregate_target_cut_guard_pass,segment_target_cut_guard_pass,max_consecutive_losses,max_consecutive_harmful_actions,passes_acceptance,acceptance_failures,metric_source
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,broad_acted_baseline_from_a2,BROAD_ACTED,NONE,7500,-6000,60000,True,,4748,1.0,1.0,0.017481044650379106,0.02274641954507161,0.9597725358045492,,-333.3034962089301,-202.0,-1582525,,,,,,,,,,,,,,,False,baseline_only,existing_a2_mask_summary_csv_baseline_columns
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,broad_acted_baseline_from_a2,BROAD_ACTED,NONE,10000,-6000,60000,True,,4748,1.0,1.0,0.009688289806234204,0.02358887952822241,0.9667228306655434,,-330.06908171861835,-202.0,-1567168,,,,,,,,,,,,,,,False,baseline_only,existing_a2_mask_summary_csv_baseline_columns
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,broad_acted_baseline_from_a2,BROAD_ACTED,NONE,7500,-6000,120000,True,,4748,1.0,1.0,0.03011794439764111,0.03201347935973041,0.9378685762426284,,-412.11583824768326,-202.0,-1956726,,,,,,,,,,,,,,,False,baseline_only,existing_a2_mask_summary_csv_baseline_columns
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,broad_acted_baseline_from_a2,BROAD_ACTED,NONE,10000,-6000,120000,True,,4748,1.0,1.0,0.016427969671440605,0.03369839932603201,0.9498736310025274,,-427.86036225779276,-202.0,-2031481,,,,,,,,,,,,,,,False,baseline_only,existing_a2_mask_summary_csv_baseline_columns
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,entry_exit_intersection,S1_F5,M4_CONFIRM_2_WINDOWS,7500,-6000,60000,False,shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1:missing_gatekeeper_v2_decisions_jsonl,,,,,,,,,,,,,,,,,,,,,,,,,False,shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1:missing_gatekeeper_v2_decisions_jsonl,blocked_before_metric_calculation
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,entry_exit_intersection,S1_F5,M4_CONFIRM_2_WINDOWS,10000,-6000,60000,False,shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1:missing_gatekeeper_v2_decisions_jsonl,,,,,,,,,,,,,,,,,,,,,,,,,False,shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1:missing_gatekeeper_v2_decisions_jsonl,blocked_before_metric_calculation
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,entry_exit_intersection,S1_F5,M4_CONFIRM_2_WINDOWS,7500,-6000,120000,False,shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1:missing_gatekeeper_v2_decisions_jsonl,,,,,,,,,,,,,,,,,,,,,,,,,False,shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1:missing_gatekeeper_v2_decisions_jsonl,blocked_before_metric_calculation
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,entry_exit_intersection,S1_F5,M4_CONFIRM_2_WINDOWS,10000,-6000,120000,False,shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1:missing_gatekeeper_v2_decisions_jsonl,,,,,,,,,,,,,,,,,,,,,,,,,False,shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1:missing_gatekeeper_v2_decisions_jsonl,blocked_before_metric_calculation
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,entry_exit_intersection,S1_F5,M5_DELAY_4000MS_CONFIRM,7500,-6000,60000,False,shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1:missing_gatekeeper_v2_decisions_jsonl,,,,,,,,,,,,,,,,,,,,,,,,,False,shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1:missing_gatekeeper_v2_decisions_jsonl,blocked_before_metric_calculation
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,entry_exit_intersection,S1_F5,M5_DELAY_4000MS_CONFIRM,10000,-6000,60000,False,shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1:missing_gatekeeper_v2_decisions_jsonl,,,,,,,,,,,,,,,,,,,,,,,,,False,shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1:missing_gatekeeper_v2_decisions_jsonl,blocked_before_metric_calculation
