family,cohort,field_or_rule,operator,threshold,source,used_in_eix,notes
entry,S1_F5,current_market_cap_sol,>=,30.2,ORG-A0 S1/F5 fixed floor,True,fixed ORG-A0 S1/F5 rule
entry,S1_F5,bonding_progress_pct,>=,36.5,ORG-A0 S1/F5 fixed floor,True,fixed ORG-A0 S1/F5 rule
entry,S1_F5,price_change_ratio,>=,1.012,ORG-A0 S1/F5 fixed floor,True,fixed ORG-A0 S1/F5 rule
entry,S1_F5,buy_count,>=,8.0,ORG-A0 S1/F5 fixed floor,True,fixed ORG-A0 S1/F5 rule
entry,S1_F5,sol_buy_ratio,>=,0.52,ORG-A0 S1/F5 fixed floor,True,fixed ORG-A0 S1/F5 rule
entry,C1,current_market_cap_sol,<=,78.026285883,ORG-A0 train_s1_distribution_cut; reports/selector/shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2/organic_candidate_policy_thresholds.csv,True,profile=medium; quantile=0.75; no R50 retuning
entry,C1,bonding_progress_pct,<=,60.0,ORG-A0 train_s1_distribution_cut; reports/selector/shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2/organic_candidate_policy_thresholds.csv,True,profile=medium; quantile=0.75; no R50 retuning
entry,C1,price_change_ratio,<=,1.8295869672926404,ORG-A0 train_s1_distribution_cut; reports/selector/shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2/organic_candidate_policy_thresholds.csv,True,profile=medium; quantile=0.75; no R50 retuning
entry,C2,avg_cpi_depth_50tx,<=,2.627906976744186,ORG-A0 train_s1_distribution_cut; reports/selector/shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2/organic_candidate_policy_thresholds.csv,True,profile=medium; quantile=0.75; no R50 retuning
entry,C2,max_single_tx_price_impact_pct_observed,<=,66.50471802361244,ORG-A0 train_s1_distribution_cut; reports/selector/shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2/organic_candidate_policy_thresholds.csv,True,profile=medium; quantile=0.75; no R50 retuning
entry,C2,compute_unit_cluster_dominance,<=,0.4453125,ORG-A0 train_s1_distribution_cut; reports/selector/shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2/organic_candidate_policy_thresholds.csv,True,profile=medium; quantile=0.75; no R50 retuning
entry,C3,unique_ratio,>=,0.5,ORG-A0 train_s1_distribution_cut; reports/selector/shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2/organic_candidate_policy_thresholds.csv,True,profile=medium; quantile=0.25; no R50 retuning
entry,C4,hhi,<=,0.06198347107438017,ORG-A0 train_s1_distribution_cut; reports/selector/shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2/organic_candidate_policy_thresholds.csv,True,profile=medium; quantile=0.75; no R50 retuning
entry,C4,top3_signer_volume_ratio,<=,0.5368185671073352,ORG-A0 train_s1_distribution_cut; reports/selector/shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2/organic_candidate_policy_thresholds.csv,True,profile=medium; quantile=0.75; no R50 retuning
entry,C4,top3_volume_pct,<=,0.5368185671073352,ORG-A0 train_s1_distribution_cut; reports/selector/shadow-burnin-v3-r48-r38-repeat-threshold-probe-target60-stop60-exit-replay-r2/organic_candidate_policy_thresholds.csv,False,profile=medium; quantile=0.75; no R50 retuning
exit_mask,TSV2,M4_CONFIRM_2_WINDOWS,fixed_mask,,PR-TSV2-A2 predeclared mask,True,no new masks; no R49/R50 tuning
exit_mask,TSV2,M5_DELAY_4000MS_CONFIRM,fixed_mask,,PR-TSV2-A2 predeclared mask,True,no new masks; no R49/R50 tuning
exit_mask,TSV2,M6_DELAY_8000MS_CONFIRM,fixed_mask,,PR-TSV2-A2 predeclared mask,True,no new masks; no R49/R50 tuning
exit_mask,TSV2,M7_CLASS_RESTRICTED,fixed_mask,,PR-TSV2-A2 predeclared mask,True,no new masks; no R49/R50 tuning
exit_cell,TSV2,"target=7500,stop=-6000,hold=60000",fixed_cell,,PR-TSV2-EIX-A0 predeclared fixed cell list,True,no other grid evaluated
exit_cell,TSV2,"target=10000,stop=-6000,hold=60000",fixed_cell,,PR-TSV2-EIX-A0 predeclared fixed cell list,True,no other grid evaluated
exit_cell,TSV2,"target=7500,stop=-6000,hold=120000",fixed_cell,,PR-TSV2-EIX-A0 predeclared fixed cell list,True,no other grid evaluated
exit_cell,TSV2,"target=10000,stop=-6000,hold=120000",fixed_cell,,PR-TSV2-EIX-A0 predeclared fixed cell list,True,no other grid evaluated
